trial, dist, RT, interstim, NumberofLED
1,60,733,740,1
2,60,314,436,2
3,90,330,487,1
4,30,429,456,1
5,30,317,637,2
6,250,303,426,1
7,30,345,433,2
8,200,253,444,1
9,120,0,315,1
10,60,312,782,1
11,90,280,386,1
12,250,0,647,1
13,200,326,525,1
14,90,300,629,2
15,250,319,319,1
16,60,330,790,1
17,250,287,522,1
18,250,382,660,2
19,60,304,310,1
20,160,295,701,2
21,250,282,327,1
22,250,295,329,1
23,160,292,323,1
24,30,438,750,1
25,90,305,448,1
26,160,258,515,1
27,250,755,407,1
28,60,311,636,2
29,90,237,432,1
30,60,385,792,2
31,200,284,501,1
32,160,289,635,2
33,160,699,589,1
34,250,449,702,2
35,120,305,480,2
36,250,0,380,2
37,60,335,352,1
38,250,303,662,1
39,160,347,486,2
40,60,305,797,1
41,160,351,414,2
42,120,330,582,2
43,200,767,489,1
44,250,338,789,1
45,60,324,479,1
46,60,0,306,2
47,90,294,458,2
48,200,0,373,1
49,160,404,456,1
50,30,469,641,2
51,120,372,522,2
52,250,352,579,1
53,30,419,389,1
54,60,333,681,1
55,250,374,799,1
56,120,324,714,1
57,120,0,661,2
58,160,573,743,1
59,60,0,517,2
60,60,378,348,1
61,30,331,538,1
62,30,352,703,1
63,160,349,725,1
64,250,396,633,1
65,30,481,456,1
66,30,367,562,2
67,160,327,432,2
68,250,388,482,2
69,200,749,461,1
70,250,0,408,1
71,120,0,486,2
72,250,0,518,1
73,200,399,768,1
74,250,493,624,2
75,60,421,682,1
76,30,0,545,2
77,60,344,619,1
78,120,515,669,2
79,200,323,617,1
80,60,357,611,1
81,200,0,510,2
82,60,285,634,2
83,250,346,627,1
84,30,269,394,1
85,120,308,532,1
86,60,358,655,1
87,250,358,678,1
88,120,338,644,2
89,90,0,440,1
90,60,489,417,2
91,90,0,787,2
92,160,348,709,1
93,30,352,538,1
94,120,419,454,2
95,60,365,720,1
96,250,0,752,1
97,120,351,516,1
98,250,487,778,1
99,30,360,634,1
100,90,307,438,1
101,250,378,636,1
102,200,383,418,1
103,30,375,735,1
104,90,309,757,2
105,250,338,636,1
106,120,369,655,2
107,120,330,719,1
108,200,429,589,1
109,120,0,468,2
110,30,309,731,1
111,250,386,304,1
112,160,362,491,1
113,120,339,781,1
114,200,402,458,1
115,90,406,795,1
116,120,338,548,2
117,120,296,655,2
118,30,0,461,1
119,30,339,622,1
120,160,283,332,1
121,60,450,604,2
122,90,0,670,2
123,250,284,723,2
124,120,337,522,1
125,200,330,539,2
126,160,337,568,1
127,30,0,512,1
128,90,424,636,2
129,250,419,363,2
130,90,308,709,2
131,90,285,444,1
132,30,0,426,2
133,120,380,784,2
134,250,795,650,1
135,160,367,308,2
136,60,281,781,1
137,120,479,764,1
138,250,425,799,2
139,200,430,596,1
140,200,447,771,2
141,120,318,693,1
142,90,346,574,1
143,30,379,320,2
144,60,347,486,2
145,250,366,372,1
146,200,0,380,1
147,200,342,474,2
148,90,298,590,1
149,200,286,602,1
150,30,0,587,1
151,160,0,615,2
152,200,330,560,2
153,160,460,377,1
154,90,0,474,1
155,120,275,506,1
156,90,315,357,1
157,120,0,624,1
158,200,422,777,2
159,60,371,703,2
160,160,543,624,1
161,200,0,683,1
162,120,439,629,1
163,30,476,396,2
164,60,344,519,1
165,60,345,746,1
166,90,299,735,1
167,250,615,768,1
168,160,434,588,1
169,60,313,782,1
170,60,0,351,1
171,60,381,516,1
172,90,788,580,2
173,200,368,677,2
174,160,817,406,1
175,60,329,312,1
176,30,381,330,1
177,120,272,551,1
178,200,394,443,2
179,200,856,785,1
180,120,422,376,2
181,200,431,421,1
182,160,402,642,1
183,120,346,467,1
184,250,0,334,1
185,30,510,759,1
186,200,421,676,1
187,200,412,384,2
188,200,427,641,2
189,60,815,392,1
190,30,385,313,1
191,120,312,366,1
192,60,347,340,2
193,90,336,321,1
194,60,296,333,1
195,250,359,334,1
196,90,330,368,2
197,200,807,743,1
198,160,534,485,2
199,30,378,738,1
200,30,376,754,2
201,160,375,747,2
202,120,436,646,1
203,250,516,650,2
204,60,789,741,1
205,120,535,371,2
206,30,383,714,2
207,250,422,459,2
208,120,398,350,1
209,60,313,347,2
210,200,424,384,1
211,250,377,581,1
212,250,484,737,2
213,30,357,301,2
214,90,379,606,2
215,60,336,468,1
216,160,371,686,1
217,90,360,778,1
218,160,0,545,1
219,90,380,618,2
220,120,358,657,1
221,160,430,661,1
222,200,343,449,1
223,90,296,633,1
224,250,359,427,1
225,250,413,607,2
226,160,369,343,1
227,120,327,727,2
228,90,326,704,1
229,60,335,356,1
