trial,dist,RT,interstim,NumberofLED
1,250,540,303,2
2,30,285,732,1
3,60,382,571,1
4,30,289,432,2
5,120,360,537,1
6,160,0,709,2
7,30,317,638,1
8,120,436,326,2
9,90,343,674,2
10,160,408,657,2
11,90,341,760,1
12,120,336,438,1
13,160,423,315,2
14,120,381,769,2
15,200,0,758,2
16,120,363,524,1
17,160,393,543,2
18,250,397,558,1
19,90,642,726,1
20,90,564,419,1
21,120,303,679,1
22,200,360,408,2
23,250,344,444,2
24,160,310,729,2
25,60,663,338,2
26,250,305,762,1
27,250,0,375,2
28,90,532,699,2
29,120,354,498,2
30,60,320,730,1
31,200,379,480,1
32,90,322,782,1
33,160,380,519,1
34,250,336,684,1
35,200,345,541,2
36,120,293,446,2
37,200,496,301,2
38,30,298,637,1
39,120,395,580,1
40,120,343,428,1
41,60,303,577,1
42,250,0,440,2
43,250,372,701,2
44,120,389,510,2
45,30,317,575,2
46,160,340,740,1
47,90,246,688,1
48,30,403,541,2
49,250,382,483,1
50,90,869,496,1
51,250,458,744,1
52,30,663,696,1
53,120,530,354,2
54,120,408,446,1
55,160,443,461,2
56,30,302,714,1
57,250,323,497,2
58,200,382,649,2
59,250,364,595,2
60,90,374,643,1
61,250,454,707,1
62,120,0,649,2
63,90,0,703,2
64,250,418,379,1
65,200,563,656,2
66,120,308,642,2
67,90,0,523,1
68,200,547,398,1
69,120,0,308,2
70,60,348,314,2
71,250,342,454,2
72,90,334,610,1
73,250,331,471,2
74,120,443,543,1
75,30,409,311,2
76,200,629,711,2
77,30,346,669,1
78,160,383,616,2
79,160,332,439,2
80,90,317,773,1
81,120,365,390,1
82,250,517,319,2
83,250,496,488,1
84,30,327,505,1
85,250,634,794,1
86,30,766,482,1
87,200,648,650,1
88,160,296,791,1
89,120,351,544,1
90,90,267,550,1
91,160,402,582,1
92,160,376,588,1
93,90,304,507,1
94,30,301,626,2
95,250,477,305,1
96,200,0,606,2
97,200,457,703,2
98,160,288,744,2
99,90,235,691,2
100,120,312,662,2
101,200,438,574,1
102,120,333,638,1
103,60,297,652,1
104,90,303,656,1
105,120,324,799,1
106,90,282,357,1
107,160,322,789,1
108,90,297,372,1
109,90,348,712,2
110,200,389,742,2
111,200,453,586,1
112,200,376,707,2
113,120,314,489,1
114,120,406,662,1
115,250,354,652,1
116,120,0,532,2
117,120,280,380,2
118,60,272,407,2
119,30,452,638,2
120,160,316,654,2
121,120,366,543,2
122,120,430,330,1
123,120,286,774,1
124,120,335,768,1
125,30,0,496,1
126,250,390,707,2
127,200,310,319,2
128,30,298,671,1
129,250,445,618,2
130,120,296,765,2
131,30,405,378,1
132,160,312,410,1
133,160,478,333,1
134,30,329,709,1
135,200,640,469,2
136,200,427,467,1
137,120,385,385,2
138,160,279,761,2
139,120,267,650,2
140,30,0,465,2
141,160,467,724,1
142,60,591,322,2
143,250,419,724,1
144,30,339,357,2
145,200,479,599,1
146,250,339,446,1
147,30,425,352,2
148,60,267,686,2
149,90,835,315,1
150,160,285,488,2
151,60,292,557,2
152,90,0,386,1
153,250,0,600,2
154,250,0,675,1
155,90,446,430,2
156,200,433,327,2
157,90,416,420,1
158,200,467,580,2
159,200,422,476,1
160,120,284,795,1
161,90,341,551,1
162,250,471,619,1
163,90,343,785,1
164,160,338,549,1
165,30,312,693,1
166,90,0,426,2
167,120,297,747,2
168,160,315,530,2
169,90,310,354,2
170,250,327,461,2
171,120,357,755,1
172,60,488,462,1
173,60,317,561,1
174,90,391,384,2
175,30,0,527,2
176,60,285,548,2
177,60,309,751,1
178,160,0,664,2
179,60,345,650,2
180,90,264,484,2
181,60,265,759,2
182,60,326,614,1
183,30,316,746,2
184,200,442,533,2
185,60,306,588,2
186,200,0,421,2
187,200,262,732,2
188,250,336,396,2
189,250,256,724,2
190,160,268,794,2
191,160,413,662,2
192,90,403,447,1
193,200,333,314,2
194,160,533,719,1
195,90,432,482,1
196,200,531,417,2
197,160,270,624,2
198,90,323,617,2
199,250,435,498,1
200,120,341,687,1
201,60,328,305,2
202,60,320,747,1
203,200,0,556,1
204,60,0,618,2
205,200,441,686,1
206,160,317,465,1
207,30,319,426,2
208,60,280,722,2
209,160,276,779,1
210,120,344,505,2
211,250,407,676,1
212,200,488,332,2
213,90,318,538,2
214,60,278,348,2
215,90,303,760,1
216,160,338,546,2
217,200,0,472,2
218,60,346,488,1
219,160,335,504,2
220,200,348,637,2
221,120,0,597,1
222,30,315,526,1
223,250,411,353,1
