trial,dist,RT,interstim,NumberofLED
1,200,564,337,1
2,120,322,765,2
3,30,0,358,1
4,250,0,364,1
5,90,350,544,2
6,90,302,544,1
7,250,461,337,1
8,30,332,483,1
9,60,285,750,1
10,250,0,513,2
11,30,333,542,1
12,250,632,551,2
13,200,414,780,1
14,120,356,437,1
15,30,291,509,2
16,90,325,479,1
17,120,345,572,1
18,250,504,781,2
19,90,372,408,1
20,120,337,486,1
21,250,430,711,1
22,250,460,456,1
23,30,322,519,1
24,60,333,487,2
25,60,345,709,1
26,160,339,467,2
27,90,333,316,1
28,60,356,351,1
29,120,315,614,1
30,250,0,663,2
31,250,685,431,1
32,90,328,762,1
33,90,348,589,2
34,90,295,790,2
35,200,336,397,2
36,200,455,497,2
37,120,548,678,1
38,200,349,697,2
39,60,343,717,1
40,250,475,608,1
41,60,383,315,2
42,90,328,761,2
43,160,0,681,1
44,250,538,714,2
45,250,470,336,2
46,30,393,614,2
47,160,414,498,1
48,250,387,390,1
49,60,330,708,2
50,90,0,449,2
51,120,345,745,1
52,250,0,563,2
53,250,503,596,1
54,120,317,408,1
55,120,480,339,2
56,60,345,310,2
57,30,0,516,2
58,90,0,492,2
59,90,337,335,1
60,160,331,325,2
61,30,436,343,1
62,160,341,541,2
63,250,536,781,1
64,160,357,628,2
65,250,523,787,1
66,200,542,634,1
67,200,349,652,2
68,250,490,367,2
69,200,396,568,2
70,120,392,656,1
71,200,425,448,2
72,160,371,515,1
73,30,387,717,2
74,90,403,646,2
75,250,0,738,2
76,160,348,372,2
77,250,545,730,1
78,160,642,751,1
79,30,365,633,2
80,90,431,587,1
81,30,348,612,2
82,120,342,341,1
83,90,467,786,2
84,250,537,441,1
85,60,303,334,2
86,250,433,798,2
87,30,340,661,1
88,160,409,697,2
89,60,0,733,2
90,90,280,759,2
91,60,314,563,1
92,200,0,461,1
93,120,301,627,2
94,200,322,780,1
95,160,379,389,2
96,160,546,731,1
97,60,344,700,1
98,120,432,772,2
99,90,462,700,1
100,30,447,746,1
101,160,380,539,2
102,200,351,597,2
103,90,270,534,2
104,90,372,303,1
105,60,335,335,1
106,30,331,528,1
107,60,353,315,1
108,200,394,568,1
109,120,359,676,1
110,60,289,664,1
111,250,388,752,1
112,90,443,586,2
113,90,0,591,2
114,60,313,524,1
115,90,308,305,1
116,160,328,615,2
117,90,332,610,2
118,120,521,448,1
119,90,312,619,2
120,90,316,337,2
121,90,468,305,1
122,90,350,316,2
123,250,481,589,2
124,160,320,410,2
125,200,422,375,1
126,250,479,697,1
127,120,368,615,1
128,200,505,589,1
129,250,539,548,2
130,250,368,616,2
131,90,314,721,2
132,160,437,322,1
133,60,390,458,1
134,200,383,386,2
135,200,416,380,1
136,90,348,466,2
137,30,336,544,2
138,60,326,581,2
139,250,0,344,2
140,120,536,497,1
141,250,503,411,1
142,160,437,420,1
143,30,348,301,2
144,60,358,398,1
145,250,435,721,1
146,60,351,434,1
147,60,286,311,2
148,90,294,617,1
149,200,415,517,1
150,120,453,314,2
151,250,428,751,1
152,200,352,332,1
153,200,354,300,2
154,120,325,677,1
155,200,516,645,1
156,60,392,585,2
157,90,409,559,2
158,30,289,636,1
159,30,439,567,2
160,160,314,747,2
161,120,377,693,1
162,90,360,482,2
163,200,331,551,1
164,200,378,460,1
165,60,308,306,2
166,120,343,739,2
167,90,428,525,1
168,120,397,341,1
169,200,363,463,2
170,30,454,781,1
171,250,0,522,1
172,30,402,576,1
173,200,456,450,2
174,90,372,717,2
175,250,387,375,2
176,60,308,511,2
177,60,318,649,2
178,200,356,635,2
179,120,309,752,2
180,30,312,700,2
181,60,395,477,1
182,90,332,711,1
183,30,294,510,2
184,200,387,432,1
185,250,0,572,1
186,90,414,479,2
187,30,343,365,1
188,250,295,570,2
189,30,401,311,2
190,30,0,593,1
191,120,351,673,1
192,200,313,335,1
193,200,330,717,1
194,250,521,467,2
195,120,337,483,1
196,90,293,371,2
197,60,347,622,2
198,30,270,380,2
199,60,329,731,1
200,60,549,561,1
201,160,328,578,1
202,90,464,736,2
203,160,392,728,1
204,160,359,301,2
205,30,323,729,1
206,90,281,538,1
207,250,0,623,1
208,160,337,657,2
209,250,394,389,2
210,120,365,760,2
211,90,278,662,2
212,200,383,765,2
213,160,410,425,1
214,120,546,390,2
215,200,330,628,2
216,160,587,472,1
217,120,389,750,1
218,250,413,595,2
