trial,dist,RT,interstim,NumberofLED
1,160,364,793,1
2,200,380,441,2
3,120,312,710,1
4,60,314,507,1
5,60,427,451,1
6,250,478,480,1
7,90,387,616,2
8,120,367,453,1
9,30,343,701,2
10,120,0,502,1
11,160,383,642,1
12,60,322,687,2
13,30,528,377,1
14,30,423,564,1
15,60,422,771,1
16,30,487,792,2
17,60,432,330,1
18,160,373,417,2
19,160,437,311,1
20,90,383,378,2
21,90,358,458,2
22,250,517,707,1
23,250,449,541,1
24,160,433,304,1
25,30,402,495,1
26,120,365,391,2
27,60,365,334,2
28,60,0,456,2
29,60,590,721,1
30,60,435,513,1
31,160,552,641,2
32,120,454,730,2
33,60,369,376,2
34,120,376,501,2
35,250,451,571,1
36,90,491,626,1
37,200,445,795,1
38,120,417,663,1
39,60,405,562,2
40,90,561,653,1
41,120,631,748,2
42,160,640,737,2
43,120,494,409,1
44,160,423,616,2
45,90,522,345,1
46,160,514,741,1
47,250,403,631,2
48,120,518,362,1
49,200,473,460,1
50,200,478,646,1
51,90,368,433,2
52,250,538,468,1
53,30,592,761,2
54,30,550,534,1
55,120,0,402,2
56,200,498,533,1
57,200,471,768,1
58,250,470,615,1
59,90,505,440,1
60,120,414,450,1
61,90,402,482,1
62,250,580,324,1
63,90,345,367,1
64,60,401,459,2
65,120,435,432,1
66,250,0,318,2
67,30,484,496,1
68,250,610,345,1
69,160,583,575,2
70,60,358,332,1
71,60,554,637,1
72,160,514,313,1
73,250,493,799,1
74,160,416,646,2
75,90,543,757,2
76,30,352,796,2
77,250,0,531,2
78,30,325,555,2
79,200,667,732,1
80,60,0,766,1
81,30,334,523,2
82,90,0,507,1
83,90,0,518,1
84,30,521,354,1
85,160,335,416,1
86,60,291,649,1
87,120,0,762,2
88,200,426,515,1
89,60,343,783,2
90,120,481,545,1
91,30,385,570,2
92,160,465,715,1
93,120,352,429,1
94,30,317,686,1
95,30,473,674,2
96,90,456,750,2
97,30,0,489,2
98,200,346,657,2
99,90,405,482,1
100,120,0,587,2
101,60,418,728,2
102,250,588,790,1
103,250,465,700,2
104,160,446,340,1
105,160,405,556,2
106,250,477,774,2
107,30,437,751,2
108,30,306,729,2
109,30,542,789,1
110,160,375,505,2
111,30,357,670,2
112,30,0,430,1
113,160,611,329,1
114,200,374,306,2
115,160,508,710,1
116,250,433,490,2
117,250,368,449,2
118,60,376,625,2
119,120,414,775,1
120,60,391,576,2
121,90,625,427,1
122,30,394,725,2
123,200,418,771,2
124,160,0,305,1
125,250,0,330,1
126,200,679,487,1
127,90,393,472,1
128,60,444,678,1
129,250,663,354,2
130,200,506,740,1
131,160,482,603,2
132,200,448,730,1
133,30,424,698,2
134,60,572,684,1
135,160,479,637,1
136,160,530,704,1
137,120,0,629,2
138,120,366,702,2
139,250,0,518,1
140,250,552,318,1
141,250,509,716,1
142,160,345,500,2
143,160,340,644,2
144,90,0,687,2
145,250,673,361,1
146,90,470,626,1
147,60,0,430,2
148,90,420,499,1
149,60,445,434,1
150,30,536,580,1
151,250,571,536,1
152,200,470,547,2
153,90,384,304,2
154,200,553,405,2
155,200,746,631,1
156,30,396,513,1
157,60,454,724,1
158,200,587,537,1
159,120,495,352,2
160,200,454,349,1
161,160,397,458,1
162,250,424,767,1
163,250,673,350,2
164,160,519,458,1
165,90,456,684,2
166,30,355,675,2
167,250,479,374,2
168,90,436,328,1
169,160,408,552,2
170,90,459,494,1
171,30,539,639,1
172,30,488,641,1
173,250,452,614,2
174,250,678,686,1
175,90,485,382,1
176,120,369,602,1
177,200,469,484,1
178,250,418,580,1
179,160,334,471,1
180,30,377,781,1
181,60,342,637,1
182,250,473,622,2
183,60,346,416,1
184,120,299,622,1
185,200,374,439,2
186,90,367,366,2
187,120,451,496,2
188,60,313,546,2
189,200,511,455,1
190,30,307,605,2
191,160,496,423,1
192,120,403,738,1
193,200,431,342,1
194,250,369,499,2
195,120,493,522,1
196,200,380,644,2
197,160,655,340,1
198,120,0,339,2
199,160,333,522,2
200,90,318,596,2
201,200,529,507,1
202,160,661,339,2
203,160,658,531,1
204,60,406,466,1
205,60,338,541,2
206,160,495,333,1
207,90,422,379,2
208,200,381,696,2
209,90,315,777,2
210,60,404,421,1
211,120,411,664,1
212,250,706,449,1
213,160,462,548,2
214,60,798,551,1
215,30,463,739,1
216,60,367,527,2
217,60,448,635,1
218,200,451,421,1
219,160,395,655,2
