trial,dist,RT,interstim,NumberofLED
1,90,442,512,1
2,30,439,598,2
3,60,0,311,1
4,250,364,708,1
5,160,321,757,1
6,30,381,708,2
7,120,0,367,2
8,120,363,709,2
9,30,394,516,1
10,90,410,464,2
11,30,356,586,2
12,200,471,579,1
13,160,427,403,1
14,30,493,639,1
15,90,329,688,2
16,90,447,310,1
17,30,506,393,1
18,30,411,342,1
19,120,442,785,1
20,160,382,505,2
21,60,458,380,1
22,250,365,380,2
23,200,384,562,1
24,90,355,518,2
25,90,489,555,1
26,60,473,553,1
27,120,343,648,1
28,60,327,760,1
29,30,393,305,1
30,30,334,617,2
31,90,321,749,1
32,60,348,401,2
33,60,401,519,1
34,90,424,420,1
35,200,518,643,2
36,60,390,389,2
37,30,371,470,2
38,120,369,679,1
39,160,0,387,1
40,120,327,348,1
41,120,335,521,2
42,90,435,344,2
43,90,374,478,2
44,160,343,588,2
45,30,359,798,1
46,250,386,669,2
47,200,349,568,2
48,120,551,637,2
49,60,563,433,1
50,90,343,366,2
51,30,0,781,1
52,120,0,303,2
53,30,423,380,1
54,250,515,618,1
55,250,563,341,2
56,60,391,779,2
57,60,427,638,1
58,90,378,608,2
59,200,320,641,2
60,200,321,712,2
61,200,521,645,1
62,200,541,635,2
63,90,577,682,1
64,120,486,394,1
65,60,463,457,1
66,120,421,720,2
67,250,0,510,1
68,250,427,596,2
69,90,324,634,2
70,120,371,570,1
71,90,369,715,2
72,120,366,619,2
73,250,0,477,1
74,90,639,771,1
75,250,0,496,1
76,250,476,583,2
77,160,512,395,1
78,60,340,370,2
79,250,694,391,2
80,200,503,345,1
81,200,573,378,1
82,90,531,551,2
83,120,462,511,1
84,120,414,364,1
85,200,512,741,1
86,30,424,553,2
87,90,417,701,1
88,90,414,632,1
89,250,745,665,1
90,60,319,524,2
91,200,405,460,1
92,60,539,479,1
93,30,356,387,2
94,90,333,501,1
95,90,368,651,2
96,160,281,669,2
97,160,351,798,1
98,200,370,409,1
99,120,409,493,2
100,60,393,444,1
101,160,392,365,1
102,60,356,395,1
103,60,425,402,2
104,60,398,312,1
105,160,365,702,2
106,30,306,532,2
107,160,378,501,1
108,160,409,435,2
109,60,312,588,2
110,90,373,384,2
111,200,331,595,2
112,90,320,569,2
113,200,342,412,2
114,120,325,317,2
115,60,283,769,2
116,250,488,537,2
117,200,358,309,2
118,160,349,799,2
119,120,339,794,1
120,160,303,639,2
121,60,472,440,1
122,120,485,539,2
123,120,391,382,1
124,30,337,751,2
125,60,344,635,1
126,60,316,526,2
127,160,390,510,1
128,160,400,665,2
129,250,424,563,1
130,250,415,397,2
131,60,301,753,2
132,250,367,722,2
133,120,0,311,1
134,200,0,501,1
135,30,361,606,1
136,30,324,412,1
137,200,519,545,2
138,200,0,415,1
139,90,431,759,2
140,250,338,434,2
141,120,0,717,1
142,90,348,784,1
143,90,334,722,2
144,60,295,768,2
145,250,378,699,2
146,160,353,784,1
147,200,352,341,2
148,90,304,399,2
149,160,347,570,1
150,60,317,454,2
151,30,390,796,2
152,60,0,776,1
153,90,466,625,1
154,160,448,360,2
155,120,546,513,2
156,250,438,643,1
157,30,437,468,2
158,250,380,503,2
159,120,322,737,1
160,120,342,573,2
161,60,364,727,1
162,60,659,413,1
163,120,468,320,2
164,200,554,667,2
165,60,0,307,1
166,160,391,767,1
167,60,406,770,1
168,60,351,418,2
169,160,385,311,2
170,160,367,318,2
171,60,374,531,2
172,200,362,474,2
173,60,486,742,1
174,90,408,598,2
175,250,504,485,1
176,250,710,358,1
177,60,425,457,2
178,200,465,647,1
179,60,375,749,2
180,30,480,659,1
181,250,415,591,1
182,90,496,613,1
183,120,375,764,1
184,30,315,739,2
185,120,360,649,2
186,60,321,306,2
187,120,331,495,1
188,160,443,403,1
189,60,357,467,2
190,120,403,307,2
191,90,370,741,2
192,250,401,315,2
193,250,525,332,1
194,60,0,317,1
195,120,522,388,1
196,160,387,555,2
197,120,420,487,1
198,250,477,432,1
199,90,0,519,1
200,250,462,413,1
201,30,379,606,2
202,90,0,771,1
203,120,460,322,2
204,200,471,585,2
205,250,550,465,1
206,250,436,493,1
207,60,454,581,1
208,250,371,654,1
209,120,410,653,2
210,90,378,730,2
211,200,455,580,2
212,250,536,395,1
213,160,375,313,2
214,90,447,349,1
215,160,472,486,2
216,200,595,335,1
217,120,332,762,2
