trial,dist,RT,interstim,NumberofLED
1,90,0,705,1
2,60,306,440,1
3,60,302,767,1
4,30,269,646,1
5,200,377,412,2
6,250,513,352,1
7,30,0,527,1
8,120,326,540,2
9,200,458,603,2
10,120,389,333,2
11,200,308,636,1
12,200,413,312,2
13,160,433,571,1
14,60,354,318,2
15,120,0,442,2
16,200,487,565,1
17,200,346,699,2
18,30,0,689,1
19,30,0,617,2
20,250,465,456,1
21,60,376,305,2
22,250,493,356,1
23,200,369,585,2
24,120,342,585,1
25,160,319,567,1
26,90,471,386,1
27,250,395,723,1
28,60,298,666,1
29,160,319,435,1
30,200,576,713,1
31,60,316,708,1
32,120,430,519,2
33,160,353,303,2
34,200,377,776,2
35,90,358,772,1
36,200,452,531,1
37,90,457,323,2
38,30,460,595,1
39,250,333,752,1
40,90,390,449,1
41,30,449,761,2
42,30,423,483,1
43,60,378,512,2
44,250,397,773,2
45,30,320,716,2
46,200,369,495,2
47,160,372,544,1
48,120,344,453,1
49,60,299,464,1
50,160,358,687,1
51,60,360,456,2
52,30,503,631,1
53,60,331,591,1
54,60,353,639,2
55,160,346,528,2
56,60,417,332,1
57,30,536,419,1
58,200,516,361,2
59,90,575,797,2
60,30,445,553,2
61,30,518,760,2
62,200,519,743,1
63,30,489,686,1
64,120,416,621,2
65,200,0,722,1
66,90,506,333,2
67,200,381,331,2
68,250,667,448,1
69,60,0,589,1
70,200,443,684,1
71,30,368,662,2
72,160,380,556,2
73,90,428,316,1
74,60,431,646,2
75,90,331,501,2
76,200,345,791,1
77,200,373,486,2
78,60,306,457,2
79,60,281,783,1
80,160,422,330,1
81,60,407,345,2
82,30,0,692,2
83,90,849,482,1
84,90,390,680,1
85,160,338,580,2
86,250,402,704,2
87,30,449,670,2
88,30,381,504,2
89,60,385,736,1
90,250,454,764,1
91,250,409,790,2
92,120,416,723,1
93,90,431,386,2
94,200,340,351,1
95,250,376,597,2
96,200,407,435,1
97,160,313,567,1
98,120,0,780,2
99,90,416,693,1
100,60,340,769,2
101,90,384,459,2
102,30,380,676,1
103,60,373,532,1
104,60,342,414,2
105,120,364,792,1
106,250,476,413,1
107,250,399,623,1
108,160,321,698,1
109,30,322,368,2
110,90,352,687,1
111,90,319,506,1
112,60,297,765,1
113,90,397,305,1
114,60,335,370,1
115,60,378,314,1
116,60,322,446,1
117,200,0,774,2
118,160,0,332,2
119,30,341,587,2
120,60,335,701,2
121,60,457,377,1
122,90,348,543,2
123,160,408,635,2
124,90,647,595,1
125,30,564,387,1
126,160,373,714,2
127,30,453,333,1
128,30,534,709,1
129,250,469,613,2
130,200,377,694,1
131,60,471,367,1
132,60,350,546,2
133,30,388,531,2
134,250,0,427,1
135,120,475,504,2
136,30,400,533,1
137,60,437,652,2
138,250,429,444,2
139,60,0,513,2
140,200,0,313,2
141,250,498,473,2
142,200,464,660,1
143,250,484,624,1
144,120,437,412,1
145,250,365,494,2
146,160,384,510,2
147,60,300,668,2
148,160,297,763,2
149,30,329,562,2
150,90,339,759,2
151,250,388,606,2
152,200,480,330,1
153,120,551,312,2
154,120,381,508,2
155,200,483,603,2
156,200,379,516,2
157,30,571,554,1
158,60,328,633,2
159,120,436,569,2
160,30,545,700,1
161,30,432,488,2
162,30,528,484,1
163,60,423,301,2
164,90,511,307,1
165,120,343,734,1
166,250,487,400,1
167,30,455,719,1
168,30,466,302,2
169,160,330,730,2
170,60,407,773,1
171,60,494,373,2
172,250,675,771,1
173,90,523,648,2
174,60,510,771,1
175,90,342,690,2
176,30,311,490,2
177,250,725,360,1
178,60,334,323,2
179,250,373,615,2
180,90,462,443,2
181,250,491,457,1
182,90,552,591,1
183,160,359,728,1
184,160,429,502,2
185,160,406,673,2
186,160,421,640,1
187,30,523,758,1
188,200,449,792,1
189,90,449,449,1
190,250,452,629,2
191,160,533,423,1
192,30,441,544,2
193,250,0,798,2
194,250,0,563,2
195,90,458,453,2
196,120,443,690,1
197,120,414,423,2
198,60,350,757,2
199,60,464,751,2
200,250,400,313,2
201,250,575,659,1
202,30,387,339,2
203,90,388,490,2
204,120,0,443,1
205,120,484,665,2
206,90,358,776,1
207,90,310,685,2
208,60,589,480,1
209,30,364,406,2
210,200,0,390,2
211,30,328,668,2
212,250,0,611,1
213,160,0,441,1
214,160,403,373,1
215,120,0,667,2
216,160,457,784,1
217,200,334,758,2
218,90,451,367,2
219,30,501,645,1
220,90,0,387,2
221,60,324,587,2
222,200,418,332,1
