trial,dist,RT,interstim,NumberofLED
1,90,0,784,2
2,250,555,760,1
3,30,279,635,2
4,160,343,313,2
5,60,493,730,1
6,90,330,490,2
7,200,487,301,1
8,90,281,474,2
9,160,308,364,2
10,160,355,793,1
11,200,445,639,1
12,160,375,511,2
13,120,335,428,1
14,200,0,502,1
15,200,461,557,1
16,90,343,477,1
17,60,478,764,2
18,60,316,524,2
19,250,312,760,1
20,200,810,309,1
21,120,389,580,1
22,250,335,431,2
23,200,500,301,1
24,160,323,786,1
25,120,320,662,1
26,200,509,591,1
27,30,331,389,2
28,60,392,531,2
29,160,467,325,2
30,250,526,442,1
31,250,531,644,1
32,160,596,667,1
33,250,429,449,1
34,200,468,491,1
35,60,413,306,2
36,90,0,751,2
37,250,383,588,2
38,30,520,696,1
39,200,430,641,2
40,200,367,399,2
41,90,337,481,2
42,60,837,606,1
43,250,638,614,1
44,60,413,534,1
45,250,449,617,1
46,160,424,679,1
47,30,404,325,2
48,60,398,401,2
49,250,335,557,1
50,160,346,444,2
51,160,321,687,2
52,250,325,674,2
53,250,486,724,1
54,160,339,702,1
55,250,463,736,2
56,250,486,491,1
57,200,400,762,1
58,60,327,620,1
59,60,456,765,1
60,90,432,723,2
61,160,419,752,2
62,160,315,567,1
63,60,308,639,2
64,60,0,302,1
65,120,385,311,2
66,250,745,378,1
67,90,359,441,2
68,250,401,357,2
69,250,370,454,2
70,60,450,379,1
71,30,348,797,2
72,250,423,720,1
73,250,426,333,2
74,160,323,771,1
75,200,363,310,2
76,160,0,621,2
77,60,372,318,1
78,250,409,718,2
79,30,490,665,1
80,90,311,579,1
81,160,332,599,1
82,90,383,468,2
83,250,393,395,2
84,250,0,481,1
85,30,432,450,2
86,200,379,304,1
87,160,0,724,1
88,90,0,473,2
89,90,467,390,1
90,30,449,631,1
91,90,317,780,1
92,160,332,602,2
93,60,406,736,1
94,60,519,548,1
95,160,406,435,1
96,60,428,733,1
97,200,370,727,2
98,120,356,540,2
99,30,438,352,1
100,30,386,597,2
101,90,580,594,2
102,160,531,372,1
103,90,524,569,1
104,30,421,720,1
105,90,361,768,2
106,160,509,409,1
107,160,422,783,2
108,120,287,781,1
109,250,453,355,1
110,160,429,390,2
111,200,388,386,2
112,250,490,500,2
113,30,581,543,1
114,60,353,676,1
115,30,498,743,1
116,90,417,673,2
117,30,451,316,2
118,90,259,784,2
119,250,607,466,1
120,160,403,593,2
121,60,368,629,1
122,160,432,408,1
123,30,637,541,2
124,160,397,627,2
125,160,484,584,1
126,200,353,631,2
127,60,371,655,1
128,250,482,694,1
129,250,532,410,1
130,90,360,732,1
131,30,422,562,2
132,250,433,518,2
133,120,437,691,1
134,160,472,352,1
135,160,486,551,2
136,250,442,543,2
137,60,430,326,2
138,160,414,678,2
139,200,393,422,2
140,60,402,450,1
141,120,381,388,1
142,90,441,494,2
143,120,384,477,1
144,60,323,550,1
145,250,504,379,2
146,160,378,688,1
147,200,385,355,2
148,90,455,708,1
149,90,384,538,2
150,120,405,321,2
151,160,338,330,2
152,160,325,345,2
153,30,353,373,2
154,30,331,746,2
155,120,496,520,1
156,120,298,782,1
157,160,477,312,1
158,30,289,729,1
159,200,392,418,2
160,120,430,375,1
161,120,338,418,1
162,250,339,697,2
163,250,362,744,1
164,90,347,668,1
165,60,346,368,2
166,250,376,446,2
167,120,423,419,1
168,200,349,601,1
169,60,338,693,1
170,250,350,785,1
171,30,0,399,2
172,90,354,515,2
173,160,649,660,1
174,30,370,790,2
175,200,389,658,1
176,200,420,386,2
177,250,478,363,1
178,160,364,498,2
179,160,278,713,1
180,120,0,795,2
181,250,502,761,1
182,30,422,731,1
183,90,0,561,2
184,90,436,644,1
185,30,437,392,2
186,160,391,789,2
187,90,375,753,1
188,120,360,665,2
189,90,457,395,1
190,30,800,301,2
191,90,438,616,1
192,120,435,437,2
193,90,402,343,1
194,60,367,301,2
195,30,425,795,1
196,30,432,595,2
197,90,428,378,1
198,60,377,379,2
199,200,370,300,2
200,200,497,719,1
201,120,399,318,2
202,60,311,396,2
203,30,0,494,1
204,120,417,576,2
205,90,634,559,2
206,200,506,419,2
207,120,385,703,1
208,60,373,458,1
209,200,411,459,1
210,250,403,723,2
211,160,0,579,2
212,250,480,406,1
213,30,694,678,1
