trial,dist,RT,interstim,NumberofLED
1,160,0,450,1
2,160,0,618,1
3,200,757,513,2
4,60,282,610,2
5,160,372,369,1
6,120,308,664,2
7,160,479,516,2
8,120,458,427,1
9,30,343,440,2
10,90,293,682,2
11,30,475,327,1
12,30,420,363,2
13,200,399,602,2
14,250,384,642,1
15,160,314,375,2
16,160,381,346,1
17,160,367,666,1
18,250,0,692,2
19,90,382,733,1
20,90,320,759,2
21,160,415,371,1
22,30,561,579,1
23,90,339,457,1
24,250,436,799,1
25,30,0,322,1
26,160,321,377,1
27,30,349,776,1
28,30,380,368,2
29,120,369,620,2
30,200,366,678,2
31,200,311,612,2
32,120,368,390,1
33,120,361,305,2
34,30,324,758,1
35,120,424,787,2
36,160,334,621,1
37,200,308,320,2
38,90,506,358,1
39,200,297,743,2
40,200,378,385,1
41,160,310,420,2
42,250,372,558,2
43,30,468,616,2
44,120,648,326,2
45,160,721,351,2
46,90,614,672,1
47,90,520,442,2
48,160,411,687,1
49,60,338,526,2
50,90,623,512,2
51,90,525,624,1
52,120,348,767,2
53,250,402,471,2
54,250,541,433,1
55,160,312,425,1
56,30,312,565,2
57,30,462,378,2
58,90,325,594,1
59,120,347,543,2
60,60,363,530,1
61,200,0,471,1
62,120,304,757,1
63,120,290,665,1
64,30,0,411,2
65,200,436,360,1
66,120,325,524,1
67,160,398,391,1
68,250,0,745,2
69,200,293,399,2
70,60,381,693,1
71,160,398,577,1
72,60,448,584,1
73,250,549,480,2
74,200,440,374,1
75,30,315,474,2
76,120,544,510,1
77,60,375,417,2
78,120,365,500,1
79,60,437,356,1
80,30,325,650,2
81,30,394,588,1
82,60,294,786,2
83,120,0,497,2
84,90,342,531,1
85,250,0,744,2
86,120,385,361,1
87,250,460,726,2
88,160,443,366,1
89,30,484,429,1
90,120,335,688,1
91,60,371,534,2
92,30,383,713,2
93,120,378,597,1
94,200,477,778,2
95,30,625,458,2
96,30,567,654,2
97,200,0,710,1
98,120,0,560,2
99,250,604,515,1
100,160,0,305,2
101,160,442,639,2
102,200,394,605,2
103,160,571,306,1
104,90,373,756,1
105,160,418,347,1
106,60,0,548,1
107,120,0,354,2
108,250,527,700,1
109,120,348,480,2
110,200,271,642,2
111,120,330,798,1
112,200,455,553,1
113,250,438,725,1
114,200,422,692,1
115,160,484,593,1
116,250,369,425,2
117,120,521,382,1
118,160,376,441,1
119,90,332,479,2
120,120,377,412,2
121,60,349,319,2
122,160,355,667,2
123,200,447,457,2
124,250,496,437,2
125,30,379,451,1
126,30,353,604,1
127,60,342,586,1
128,160,0,639,2
129,250,458,481,2
130,250,478,505,1
131,90,436,406,1
132,60,313,706,2
133,90,327,390,2
134,30,498,341,1
135,250,561,338,1
136,250,567,328,2
137,160,402,524,1
138,90,299,488,2
139,250,393,447,2
140,60,297,666,2
141,120,337,366,2
142,160,337,499,2
143,160,351,584,2
144,30,311,577,2
145,250,504,375,1
146,90,300,600,2
147,200,336,457,2
148,60,355,346,2
149,90,697,548,1
150,120,303,702,1
151,90,302,669,1
152,30,433,587,2
153,60,337,414,2
154,120,373,770,1
155,250,480,630,1
156,120,356,609,2
157,250,466,456,2
158,60,309,788,2
159,90,309,507,2
160,60,356,727,1
161,30,297,765,2
162,160,505,558,1
163,250,0,760,2
164,250,409,438,2
165,30,457,406,1
166,200,307,598,2
167,200,319,709,2
168,250,390,451,2
169,200,0,329,1
170,250,506,613,2
171,90,317,668,2
172,90,399,787,1
173,200,379,351,2
174,30,342,422,2
175,30,322,691,2
176,200,409,517,1
177,60,403,550,1
178,90,335,781,1
179,160,377,452,2
180,200,421,415,1
181,90,334,646,1
182,60,329,595,2
183,200,487,313,1
184,120,522,473,1
185,30,388,775,1
186,250,558,686,1
187,200,360,640,2
188,120,349,617,1
189,60,303,491,1
190,160,320,711,1
191,30,323,377,1
192,160,451,616,1
193,30,375,312,2
194,160,383,453,2
195,90,319,473,2
196,120,338,730,2
197,120,406,781,1
198,200,355,618,2
199,30,500,513,1
200,250,634,694,1
201,200,305,510,1
202,200,355,635,2
203,60,349,404,1
204,30,342,470,2
205,60,296,666,1
206,90,314,460,1
207,250,0,338,2
208,250,512,717,2
209,250,589,405,1
210,160,455,348,1
211,90,313,412,2
212,250,494,493,2
213,90,363,696,1
214,200,331,798,2
215,200,514,480,1
216,250,457,598,2
217,30,295,663,2
218,60,384,407,1
