trial,dist,RT,interstim,NumberofLED
1,60,0,433,2
2,90,0,778,2
3,90,0,443,2
4,90,0,394,1
5,60,0,792,2
6,160,0,570,1
7,160,530,740,2
8,200,585,422,1
9,60,543,402,2
10,60,367,651,1
11,30,452,436,2
12,250,728,380,1
13,200,383,546,1
14,120,0,308,2
15,30,327,573,2
16,200,0,545,2
17,200,454,328,1
18,250,412,507,2
19,200,350,642,2
20,250,0,652,1
21,250,473,605,2
22,250,455,305,2
23,160,402,346,2
24,60,343,317,2
25,160,0,313,1
26,200,559,348,1
27,90,309,482,2
28,60,327,542,2
29,30,309,562,2
30,250,739,535,1
31,160,459,313,1
32,30,363,753,1
33,30,394,520,1
34,60,314,558,2
35,30,306,609,2
36,120,327,669,1
37,120,330,705,2
38,120,567,578,1
39,250,531,498,1
40,30,466,398,1
41,30,336,654,2
42,60,314,721,2
43,160,393,523,2
44,90,0,327,1
45,60,499,544,1
46,30,352,485,2
47,60,400,787,2
48,160,326,689,2
49,120,406,340,2
50,90,489,609,1
51,160,414,550,2
52,160,409,760,1
53,90,307,600,2
54,120,358,702,2
55,160,353,486,2
56,120,343,767,2
57,120,391,442,1
58,30,0,349,2
59,200,499,673,1
60,120,409,689,2
61,60,484,653,1
62,250,553,311,2
63,90,377,376,2
64,200,354,360,2
65,160,334,368,2
66,250,494,675,1
67,120,398,753,1
68,250,463,687,2
69,160,441,416,1
70,30,417,522,1
71,60,318,580,2
72,30,471,455,1
73,60,317,607,2
74,200,0,646,2
75,160,286,687,2
76,30,470,753,1
77,60,379,563,1
78,120,322,756,1
79,30,321,509,2
80,30,395,743,1
81,60,436,477,1
82,250,648,775,1
83,200,443,598,2
84,250,548,563,1
85,90,427,724,1
86,60,361,306,1
87,200,520,647,1
88,60,310,516,1
89,200,445,511,2
90,30,303,657,2
91,90,289,617,2
92,250,534,600,1
93,90,0,537,2
94,250,0,304,1
95,200,0,666,1
96,30,389,518,2
97,120,469,785,1
98,160,363,649,1
99,250,455,334,1
100,90,306,763,2
101,160,526,730,1
102,160,397,699,1
103,30,848,365,2
104,90,343,359,2
105,200,334,579,1
106,120,310,536,1
107,200,367,341,2
108,200,561,352,2
109,90,0,748,2
110,30,375,681,1
111,90,275,715,2
112,120,438,687,1
113,30,325,527,2
114,120,329,511,2
115,90,303,340,2
116,200,388,457,2
117,160,385,767,2
118,250,451,347,2
119,160,398,415,2
120,60,405,747,1
121,60,497,688,2
122,60,301,674,2
123,30,535,476,1
124,250,475,366,2
125,160,364,438,2
126,30,359,609,1
127,120,0,688,1
128,160,324,680,2
129,250,492,413,2
130,60,430,506,1
131,90,0,411,2
132,60,343,750,2
133,30,332,504,2
134,60,552,576,1
135,250,437,559,2
136,60,351,402,2
137,250,445,371,2
138,30,345,328,2
139,160,487,350,2
140,120,693,650,1
141,250,533,449,2
142,200,0,450,1
143,160,379,369,2
144,120,453,483,2
145,250,496,667,2
146,200,481,606,2
147,60,355,654,2
148,160,348,454,2
149,60,375,594,2
150,30,812,539,1
151,120,507,572,2
152,90,485,614,1
153,200,397,564,1
154,60,386,769,2
155,200,309,596,1
156,60,301,730,2
157,120,0,710,1
158,30,297,760,2
159,90,376,388,2
160,30,330,751,2
161,160,329,444,2
162,90,371,700,2
163,200,456,377,1
164,200,0,306,2
165,120,309,673,2
166,160,0,368,2
167,200,555,717,2
168,120,563,619,1
169,30,511,701,1
170,250,557,453,2
171,60,466,358,2
172,120,0,730,1
173,250,399,730,2
174,120,355,579,1
175,160,411,517,2
176,90,408,462,1
177,60,344,601,2
178,60,454,619,2
179,120,371,651,2
180,250,0,307,1
181,200,0,787,2
182,160,0,473,1
183,200,0,578,1
184,120,0,597,1
185,60,357,783,2
186,30,0,657,1
187,60,527,500,1
188,30,398,530,2
189,60,554,521,1
190,90,512,635,1
191,160,374,548,2
192,120,385,422,2
193,120,331,787,2
194,250,699,579,1
195,200,0,399,2
196,60,0,503,1
197,200,0,679,2
198,250,565,310,2
199,250,0,323,1
200,250,564,507,2
201,120,417,447,2
202,60,345,714,2
203,200,572,318,1
204,200,564,452,2
205,30,350,571,1
206,120,346,497,2
207,30,327,563,1
208,200,0,676,1
209,200,507,600,1
210,60,327,544,2
211,60,427,669,2
212,250,647,453,1
213,60,340,429,2
214,160,372,630,1
215,30,436,649,1
216,120,400,635,2
217,160,386,774,2
218,200,466,780,1
219,120,428,694,1
220,60,355,703,2
221,200,291,605,1
222,200,0,455,2
223,120,395,416,1
224,200,397,609,1
225,160,281,728,1
226,250,525,795,1
227,30,534,688,1
228,120,438,694,1
229,30,384,390,1
230,60,0,580,2
231,250,481,651,2
232,200,0,748,2
233,90,338,584,2
234,30,407,599,2
235,160,415,701,2
236,160,357,718,1
237,60,300,683,1
238,90,415,342,2
