trial, dist, RT, interstim, NumberofLED
1,120,442,634,2
2,250,386,779,1
3,90,457,541,2
4,200,656,501,1
5,250,358,303,1
6,200,449,318,1
7,200,308,361,1
8,60,303,779,1
9,90,261,690,1
10,160,0,342,1
11,200,430,374,2
12,120,396,567,2
13,60,440,674,2
14,200,326,406,1
15,90,555,415,2
16,120,294,639,1
17,90,283,553,1
18,120,318,646,2
19,60,331,661,1
20,30,408,494,1
21,200,369,565,2
22,30,385,779,1
23,60,434,740,1
24,30,331,348,1
25,200,450,354,2
26,30,409,410,1
27,90,308,553,2
28,30,306,349,1
29,160,361,707,2
30,60,239,703,1
31,250,473,427,1
32,30,355,445,1
33,160,361,662,2
34,160,289,751,1
35,90,414,798,1
36,60,319,388,1
37,60,269,466,1
38,120,280,307,1
39,120,439,334,2
40,250,326,732,1
41,30,396,746,2
42,90,298,419,1
43,90,488,355,1
44,160,328,782,2
45,60,356,541,2
46,60,549,789,1
47,90,359,465,1
48,120,292,395,1
49,60,291,654,1
50,120,289,778,1
51,160,330,406,2
52,30,384,654,1
53,60,326,792,1
54,200,326,475,2
55,200,443,593,2
56,250,461,576,1
57,30,496,653,1
58,30,309,705,1
59,30,323,524,1
60,120,322,644,1
61,90,387,503,2
62,30,274,608,1
63,60,315,441,2
64,30,322,481,1
65,60,378,651,2
66,90,357,697,2
67,160,283,304,1
68,250,346,462,1
69,30,277,733,1
70,90,410,707,1
71,90,340,684,1
72,200,386,781,1
73,120,343,353,1
74,160,431,374,1
75,200,346,532,1
76,30,476,543,1
77,160,412,648,2
78,60,414,603,2
79,200,250,534,1
80,90,366,448,1
81,30,496,631,1
82,30,994,388,2
83,30,292,345,1
84,30,294,474,1
85,30,280,617,1
86,30,375,314,1
87,250,298,304,1
88,250,400,696,2
89,160,322,754,1
90,200,0,514,1
91,160,305,721,1
92,120,295,344,1
93,90,269,550,1
94,90,376,490,1
95,60,393,312,2
96,30,323,756,1
97,120,365,717,2
98,250,0,314,2
99,120,407,585,1
100,60,278,493,2
101,120,321,599,1
102,90,286,468,1
103,30,337,452,1
104,200,353,738,1
105,90,283,649,1
106,160,388,564,1
107,90,355,508,1
108,90,391,515,2
109,60,352,326,1
110,250,0,477,2
111,160,442,425,2
112,200,473,466,1
113,250,309,685,1
114,200,316,615,1
115,30,349,671,1
116,200,345,664,1
117,200,350,714,2
118,160,336,633,1
119,60,272,463,1
120,90,359,344,2
121,60,259,605,1
122,30,277,707,2
123,30,394,333,1
124,90,342,603,1
125,160,327,457,1
126,90,324,436,1
127,120,366,445,1
128,160,349,699,1
129,250,446,587,2
130,90,215,794,1
131,250,327,479,1
132,120,383,318,1
133,60,276,750,1
134,160,925,435,2
135,90,0,650,1
136,90,328,435,1
137,160,403,328,2
138,200,375,493,2
139,120,358,605,1
140,90,387,324,1
141,160,408,647,2
142,160,361,722,1
143,30,363,672,1
144,60,366,584,1
145,30,332,688,2
146,160,351,388,2
147,200,359,562,1
148,90,357,419,2
149,30,317,644,1
150,250,446,748,2
151,200,508,420,1
152,160,368,586,1
153,30,532,670,1
154,120,343,612,1
155,250,340,756,1
156,200,403,398,2
157,90,842,777,2
158,200,396,610,1
159,160,381,758,1
160,90,326,527,1
161,250,952,339,2
162,120,386,559,2
163,160,379,635,2
164,60,428,435,2
165,60,358,370,2
166,250,302,502,1
167,30,328,703,1
168,90,404,755,1
169,60,401,389,2
170,250,534,359,1
171,120,486,417,2
172,200,366,458,1
173,120,344,450,2
174,250,372,346,1
175,200,338,672,1
176,60,406,433,1
177,30,341,332,2
178,120,387,375,1
179,90,384,707,1
180,90,888,713,2
181,60,376,489,2
182,60,378,388,2
183,30,298,569,1
184,250,355,758,1
185,90,296,399,1
186,120,322,443,1
187,60,277,513,1
188,250,517,478,2
189,250,428,560,2
190,30,237,729,1
191,60,237,752,2
192,200,0,544,1
193,160,396,779,1
194,160,360,501,2
195,200,464,458,2
196,160,383,463,1
197,60,401,755,1
198,200,406,630,2
199,30,262,523,1
200,60,351,570,1
201,90,296,374,2
202,30,326,760,1
203,160,417,535,2
204,250,312,791,1
205,250,559,384,2
206,250,348,476,1
