trial,dist,RT,interstim,NumberofLED
1,250,584,302,1
2,160,346,769,1
3,200,500,638,1
4,200,530,554,2
5,30,437,672,1
6,90,396,470,1
7,250,0,431,1
8,200,472,579,2
9,120,384,538,1
10,60,341,564,2
11,120,333,645,2
12,160,319,716,1
13,160,475,326,2
14,90,356,479,1
15,160,355,632,2
16,250,359,754,1
17,90,282,749,1
18,30,398,310,1
19,90,439,362,2
20,250,379,594,1
21,90,302,689,2
22,250,458,483,1
23,30,441,428,1
24,120,366,322,1
25,160,448,328,1
26,60,304,691,2
27,90,349,779,2
28,60,437,528,1
29,200,418,617,1
30,120,380,584,1
31,90,335,638,1
32,60,333,646,2
33,120,461,303,1
34,60,487,364,1
35,200,469,336,2
36,120,299,648,1
37,120,360,502,2
38,250,407,630,2
39,120,352,483,1
40,30,348,760,2
41,160,332,515,2
42,250,391,515,1
43,30,373,704,2
44,250,362,698,1
45,200,531,426,1
46,200,839,303,1
47,200,621,584,2
48,160,321,470,1
49,200,0,363,1
50,250,372,348,1
51,60,317,679,1
52,250,348,615,2
53,30,257,798,1
54,90,473,513,1
55,60,342,568,2
56,200,0,428,1
57,160,358,421,2
58,160,448,757,1
59,90,300,615,1
60,160,388,530,2
61,30,450,712,1
62,90,422,581,1
63,120,414,742,2
64,90,381,616,1
65,160,336,553,1
66,250,392,758,1
67,250,429,551,2
68,200,0,333,2
69,90,366,696,2
70,90,303,432,2
71,60,297,624,1
72,60,480,553,1
73,200,466,765,1
74,120,356,521,1
75,30,539,704,1
76,120,494,618,1
77,160,377,597,1
78,90,278,539,1
79,120,312,799,1
80,250,433,306,1
81,120,382,300,1
82,90,322,399,2
83,200,738,641,1
84,60,392,727,1
85,90,359,382,1
86,160,348,347,1
87,90,357,653,1
88,60,330,557,2
89,30,447,676,1
90,250,365,606,1
91,250,524,713,1
92,160,370,475,2
93,200,0,475,1
94,30,386,324,1
95,120,332,766,1
96,120,420,414,1
97,90,324,751,2
98,30,478,774,2
99,160,545,612,1
100,250,458,577,1
101,30,378,362,2
102,60,408,708,1
103,120,466,331,2
104,60,421,313,1
105,250,378,491,1
106,90,308,639,1
107,120,339,719,2
108,120,347,324,1
109,30,343,576,1
110,160,398,473,1
111,90,261,601,2
112,30,478,360,1
113,60,350,615,1
114,120,311,436,2
115,30,316,324,1
116,120,317,660,1
117,200,587,582,1
118,30,338,319,2
119,60,303,584,1
120,200,0,706,2
121,90,322,578,2
122,90,304,542,1
123,160,426,648,1
124,160,361,483,2
125,30,330,723,2
126,200,582,490,1
127,90,297,436,2
128,120,306,662,1
129,250,403,798,1
130,90,343,748,2
131,30,405,644,1
132,200,0,442,1
133,200,683,705,1
134,200,552,663,1
135,200,888,576,1
136,90,384,718,1
137,200,768,432,1
138,60,0,726,2
139,60,310,761,1
140,120,360,539,1
141,90,310,691,1
142,30,384,506,1
143,200,0,458,1
144,120,315,677,2
145,250,342,696,1
146,30,365,564,1
147,160,369,505,1
148,120,300,643,2
149,250,428,477,1
150,200,567,486,2
151,90,372,742,1
152,250,371,602,2
153,200,421,588,1
154,160,330,711,2
155,30,378,742,1
156,200,504,744,2
157,200,634,636,1
158,120,405,345,1
159,90,436,433,1
160,30,0,323,1
161,200,530,645,1
162,30,482,337,1
163,200,573,456,2
164,30,387,748,1
165,90,407,647,1
166,30,402,404,1
167,120,433,329,2
168,250,420,555,2
169,30,0,764,2
170,250,434,703,2
171,250,521,732,1
172,200,0,767,1
173,90,364,421,1
174,250,0,582,2
175,30,377,753,2
176,60,360,671,1
177,160,354,458,1
178,60,329,662,1
179,120,383,582,2
180,200,589,767,2
181,90,320,513,1
182,250,460,660,1
183,60,369,771,1
184,160,363,600,1
185,120,373,486,1
186,30,372,443,1
187,120,341,739,1
188,250,610,574,1
189,60,464,368,2
190,250,377,409,1
191,200,438,730,1
192,120,354,539,1
193,60,335,341,1
194,200,672,697,1
195,250,382,602,2
196,120,353,693,1
197,250,446,302,2
198,200,0,652,2
199,90,302,744,1
200,30,360,473,2
201,30,0,343,1
202,30,270,782,1
203,30,415,568,1
204,250,481,356,2
205,30,321,670,1
206,160,388,600,2
207,60,368,702,2
208,90,399,787,1
209,200,0,448,1
210,120,395,766,2
211,90,312,749,2
212,200,702,639,2
213,90,421,418,1
214,250,370,657,2
215,30,316,474,1
216,120,380,570,2
