trial,dist,RT,interstim,NumberofLED
1,90,441,741,2
2,160,510,752,2
3,200,726,773,1
4,90,476,334,1
5,120,394,649,2
6,30,402,665,1
7,60,390,787,2
8,120,442,544,2
9,90,342,451,1
10,120,310,375,1
11,60,317,501,1
12,200,566,722,1
13,200,754,514,1
14,120,485,419,1
15,30,333,445,1
16,200,639,413,1
17,60,726,316,1
18,200,859,408,1
19,30,686,674,1
20,30,454,673,1
21,250,507,670,2
22,200,515,607,1
23,120,551,339,1
24,60,643,657,2
25,250,524,605,1
26,90,538,586,1
27,120,405,503,1
28,90,502,307,1
29,30,382,666,1
30,250,676,791,2
31,30,656,696,2
32,200,513,624,2
33,200,540,305,2
34,120,550,522,2
35,120,485,685,2
36,250,509,325,1
37,120,424,504,2
38,250,495,316,1
39,160,705,583,1
40,200,710,318,1
41,90,443,329,2
42,120,458,654,1
43,120,396,339,1
44,120,394,601,1
45,160,433,628,1
46,30,458,743,1
47,30,494,562,2
48,60,449,591,1
49,200,508,576,1
50,90,352,642,1
51,90,421,440,1
52,60,427,513,1
53,120,410,592,1
54,120,389,761,2
55,90,399,692,2
56,250,573,353,1
57,200,502,737,1
58,200,473,635,2
59,200,524,497,2
60,200,556,314,1
61,200,421,533,1
62,60,366,771,1
63,160,373,686,1
64,120,387,396,1
65,60,387,706,2
66,120,487,593,2
67,30,510,404,2
68,200,601,547,2
69,250,620,573,1
70,250,649,437,1
71,60,615,316,1
72,30,546,722,2
73,250,685,474,1
74,250,629,793,2
75,60,365,789,1
76,90,608,638,2
77,160,546,544,1
78,200,579,599,1
79,250,645,404,1
80,160,588,578,1
81,200,504,747,2
82,250,516,554,2
83,30,758,474,1
84,250,949,672,1
85,30,511,444,2
86,160,629,790,2
87,120,474,675,1
88,250,581,525,1
89,200,582,308,1
90,160,505,361,1
91,30,565,656,1
92,120,573,469,2
93,160,527,570,1
94,120,573,756,2
95,160,602,759,2
96,60,931,444,1
97,250,492,468,1
98,120,512,748,1
99,200,506,713,2
100,250,600,376,1
101,160,584,495,1
102,30,576,495,2
103,160,446,556,1
104,120,443,600,2
105,120,377,444,1
106,160,463,373,2
107,160,480,642,2
108,160,541,637,1
109,160,606,457,2
110,60,471,500,1
111,90,441,436,2
112,90,344,338,1
113,160,604,655,1
114,250,857,537,1
115,60,415,623,1
116,120,578,420,1
117,60,427,453,2
118,60,383,402,1
119,250,594,676,1
120,120,756,427,1
121,90,508,422,1
122,120,391,458,1
123,200,372,349,1
124,120,400,307,1
125,200,436,312,2
126,200,410,785,1
127,120,439,395,1
128,250,372,645,1
129,250,454,536,1
130,120,438,726,1
131,60,404,531,1
132,250,479,394,1
133,90,374,412,1
134,60,358,696,1
135,160,429,554,1
136,160,619,530,1
137,90,461,717,1
138,60,636,334,1
139,30,678,338,2
140,90,357,697,1
141,200,760,726,1
142,90,370,537,1
143,90,434,733,1
144,250,555,666,1
145,200,470,775,2
146,160,518,762,2
147,60,695,321,1
148,30,403,633,1
149,60,487,440,1
150,250,412,589,1
151,120,397,430,1
152,60,518,697,2
153,200,657,389,2
154,160,510,438,2
155,200,631,694,1
156,90,484,793,2
157,30,807,408,1
158,30,541,365,1
159,200,604,746,1
160,30,449,596,1
161,90,416,589,2
162,90,451,764,1
163,200,755,725,2
164,200,480,467,2
165,250,780,439,2
166,120,523,610,1
167,30,431,686,2
168,90,477,710,1
169,90,492,725,1
170,60,650,756,1
171,200,590,539,2
172,200,512,775,1
173,160,459,317,1
174,30,656,708,1
175,60,451,586,2
176,30,383,707,1
177,60,451,344,1
178,60,460,798,1
179,120,436,353,2
180,30,638,740,2
181,160,433,314,1
182,30,458,596,2
183,90,417,795,2
184,60,500,767,1
185,160,550,361,1
186,120,717,301,1
187,30,362,377,1
188,200,375,463,1
189,250,596,748,1
190,200,536,698,2
191,90,425,798,1
192,30,501,748,2
193,250,0,794,2
194,30,494,355,2
195,90,0,567,2
196,160,624,739,2
197,160,650,418,1
198,60,655,303,1
199,160,591,492,1
200,90,467,468,2
201,200,528,709,2
202,160,582,611,1
