trial,dist,RT,interstim,NumberofLED
1,160,478,757,1
2,90,384,776,1
3,200,0,557,2
4,30,442,672,2
5,120,452,714,1
6,200,667,667,1
7,30,704,356,1
8,160,356,596,1
9,120,561,353,1
10,90,444,460,1
11,90,331,777,1
12,60,758,630,2
13,200,543,434,1
14,200,561,463,1
15,160,559,768,1
16,60,449,591,1
17,250,590,360,2
18,200,680,698,1
19,160,674,754,1
20,30,542,308,1
21,160,587,593,2
22,30,597,603,1
23,90,569,787,2
24,250,662,732,2
25,200,492,457,2
26,120,445,691,2
27,160,579,554,2
28,30,613,462,1
29,250,644,490,1
30,30,623,435,2
31,200,830,653,1
32,60,835,625,2
33,30,427,521,1
34,160,669,755,2
35,250,651,658,2
36,60,636,479,1
37,160,497,467,1
38,160,462,442,1
39,120,577,378,1
40,250,575,784,1
41,60,645,533,2
42,60,913,566,1
43,30,714,729,1
44,30,482,641,1
45,160,453,433,1
46,90,386,493,1
47,120,653,613,1
48,200,454,371,1
49,60,523,495,2
50,30,383,691,1
51,60,930,449,1
52,250,641,439,1
53,200,601,760,1
54,200,699,412,1
55,250,474,738,1
56,30,702,512,1
57,30,476,597,1
58,250,0,341,2
59,250,505,740,2
60,200,0,689,2
61,160,529,356,1
62,160,566,649,2
63,250,752,514,1
64,60,801,684,2
65,60,524,595,2
66,160,414,558,2
67,250,609,423,2
68,250,647,393,1
69,250,760,591,2
70,30,479,579,1
71,250,608,483,2
72,30,549,647,2
73,90,599,641,1
74,250,911,499,1
75,160,424,469,1
76,120,493,449,2
77,30,596,473,1
78,120,486,413,2
79,250,822,464,1
80,60,388,518,1
81,120,430,621,1
82,120,529,645,2
83,160,550,526,1
84,120,0,362,2
85,30,676,552,1
86,160,638,563,2
87,30,669,757,1
88,250,962,494,1
89,200,409,711,1
90,200,0,448,2
91,30,580,704,1
92,160,624,469,1
93,60,577,598,1
94,90,598,781,1
95,120,871,512,1
96,250,692,388,1
97,200,0,441,2
98,200,863,542,1
99,30,385,462,1
100,200,0,480,2
101,250,587,545,1
102,250,626,471,1
103,160,460,676,1
104,120,393,654,1
105,160,576,404,1
106,90,361,667,1
107,90,295,732,1
108,250,374,790,1
109,120,460,553,2
110,200,0,692,1
111,30,828,387,1
112,250,447,357,1
113,90,550,479,1
114,60,460,639,1
115,160,595,548,1
116,160,447,516,1
117,120,302,770,1
118,160,576,408,2
119,200,673,686,1
120,250,887,350,1
121,60,497,382,1
122,200,735,310,1
123,160,512,557,1
124,120,490,593,2
125,60,769,552,2
126,160,980,563,1
127,200,614,410,1
128,60,0,742,1
129,250,792,431,1
130,30,648,561,2
131,120,734,792,1
132,30,889,382,2
133,200,548,670,1
134,250,879,415,1
135,160,633,440,1
136,30,423,707,2
137,90,527,417,1
138,60,761,459,1
139,30,491,693,2
140,90,0,787,2
141,30,557,610,1
142,30,750,623,1
143,60,458,682,1
144,200,0,433,1
145,250,549,580,1
146,90,501,374,2
147,90,481,630,1
148,250,759,482,1
149,250,551,556,1
150,120,663,397,1
151,120,526,712,2
152,120,501,533,1
153,30,528,727,1
154,160,519,475,1
155,160,456,540,1
156,160,395,736,1
157,30,530,370,2
158,250,683,305,1
159,90,530,675,1
160,160,498,453,2
161,90,501,504,1
162,200,407,487,1
163,90,342,779,1
164,60,424,798,1
165,200,0,479,2
166,120,443,465,1
167,250,449,407,1
168,30,395,567,1
169,250,471,410,1
170,90,430,511,1
171,90,382,326,1
172,60,471,490,1
173,160,367,445,1
174,30,475,749,2
175,160,513,486,1
176,160,0,385,1
177,120,580,500,2
178,200,568,605,1
179,30,372,586,1
180,90,393,631,1
181,90,0,780,2
182,60,653,617,1
183,120,617,349,2
184,250,571,357,1
185,250,0,751,1
186,120,472,705,1
187,90,461,377,2
188,60,577,728,1
189,60,663,509,1
190,60,0,536,1
191,250,601,695,2
192,120,629,534,2
193,250,587,699,1
194,200,999,707,1
195,120,436,408,1
196,200,0,595,1
197,120,503,345,1
198,120,501,793,2
199,60,486,781,2
200,250,684,441,2
201,250,606,457,1
202,30,0,714,1
203,90,501,736,1
204,90,484,759,2
205,120,595,319,1
206,250,543,677,1
207,250,646,381,1
208,160,451,391,1
209,90,690,505,1
210,60,530,335,2
211,60,545,324,1
212,250,636,630,2
213,60,457,568,1
214,120,592,774,1
215,250,727,652,1
216,30,361,649,2
217,200,501,667,1
218,30,389,525,1
