trial,dist,RT,interstim,NumberofLED
1,160,759,450,2
2,160,340,618,1
3,200,569,513,1
4,60,503,610,1
5,160,380,369,1
6,120,301,664,1
7,160,503,516,2
8,120,633,427,2
9,30,473,440,1
10,90,367,682,1
11,30,706,327,2
12,30,499,363,1
13,200,0,602,2
14,250,777,642,2
15,160,507,375,1
16,160,537,346,1
17,160,354,666,1
18,250,396,692,1
19,90,546,733,1
20,90,401,759,1
21,160,556,371,2
22,30,422,579,1
23,90,416,457,1
24,250,599,799,2
25,30,617,322,2
26,160,654,377,2
27,30,458,776,1
28,30,546,368,1
29,120,593,620,2
30,200,509,678,1
31,200,0,612,2
32,120,544,390,1
33,120,684,305,2
34,30,605,758,1
35,120,515,787,1
36,160,555,621,1
37,200,465,320,1
38,90,480,358,2
39,200,656,743,1
40,200,0,385,2
41,160,694,420,2
42,250,658,558,2
43,30,452,616,1
44,120,583,326,1
45,160,698,351,1
46,90,375,672,1
47,90,526,442,2
48,160,417,687,1
49,60,487,526,1
50,90,461,512,1
51,90,441,624,1
52,120,591,767,2
53,250,887,471,1
54,250,523,433,2
55,160,387,425,1
56,30,469,565,1
57,30,570,378,1
58,90,506,594,1
59,120,0,543,1
60,60,472,530,1
61,200,0,471,2
62,120,468,757,1
63,120,499,665,2
64,30,506,411,1
65,200,0,360,2
66,120,498,524,1
67,160,553,391,2
68,250,710,745,1
69,200,852,399,2
70,60,388,693,1
71,160,515,577,1
72,60,456,584,2
73,250,469,480,1
74,200,659,374,1
75,30,415,474,1
76,120,427,510,1
77,60,474,417,1
78,120,376,500,1
79,60,386,356,1
80,30,370,650,1
81,30,381,588,1
82,60,576,786,1
83,120,616,497,2
84,90,412,531,1
85,250,819,744,1
86,120,348,361,1
87,250,549,726,2
88,160,478,366,1
89,30,369,429,1
90,120,581,688,1
91,60,481,534,2
92,30,0,713,2
93,120,416,597,2
94,200,827,778,1
95,30,601,458,2
96,30,605,654,1
97,200,450,710,1
98,120,475,560,2
99,250,573,515,1
100,160,786,305,1
101,160,628,639,2
102,200,676,605,1
103,160,616,306,1
104,90,417,756,1
105,160,533,347,2
106,60,741,548,1
107,120,604,354,1
108,250,686,700,2
109,120,556,480,2
110,200,0,642,2
111,120,514,798,1
112,200,513,553,1
113,250,720,725,2
114,200,868,692,2
115,160,606,593,1
116,250,603,425,1
117,120,527,382,2
118,160,405,441,1
119,90,541,479,2
120,120,459,412,2
121,60,576,319,1
122,160,310,667,1
123,200,430,457,1
124,250,626,437,2
125,30,348,451,1
126,30,465,604,2
127,60,585,586,1
128,160,566,639,1
129,250,535,481,2
130,250,627,505,2
131,90,617,406,2
132,60,549,706,1
133,90,447,390,2
134,30,456,341,1
135,250,497,338,1
136,250,606,328,1
137,160,500,524,2
138,90,417,488,2
139,250,0,447,2
140,60,0,666,2
141,120,499,366,2
142,160,487,499,2
143,160,527,584,2
144,30,723,577,1
145,250,572,375,2
146,90,414,600,2
147,200,0,457,2
148,60,560,346,2
149,90,403,548,1
150,120,484,702,1
151,90,447,669,1
152,30,506,587,1
153,60,615,414,1
154,120,467,770,1
155,250,492,630,1
156,120,417,609,1
157,250,738,456,1
158,60,755,788,2
159,90,613,507,2
160,60,462,727,2
161,30,382,765,2
162,160,580,558,2
163,250,531,760,1
164,250,686,438,2
165,30,591,406,2
166,200,467,598,1
167,200,975,709,2
168,250,572,451,1
169,200,0,329,2
170,250,641,613,1
171,90,536,668,2
172,90,684,787,1
173,200,0,351,2
174,30,412,422,1
175,30,607,691,2
176,200,753,517,2
177,60,515,550,1
178,90,520,781,1
179,160,553,452,2
180,200,747,415,1
181,90,409,646,1
182,60,411,595,1
183,200,716,313,1
184,120,492,473,1
185,30,375,775,1
186,250,486,686,1
187,200,0,640,2
188,120,573,617,2
189,60,630,491,1
190,160,473,711,2
191,30,436,377,2
192,160,584,616,1
193,30,475,312,1
194,160,476,453,1
195,90,455,473,2
196,120,532,730,1
197,120,455,781,2
198,200,0,618,2
199,30,502,513,1
200,250,663,694,1
201,200,841,510,1
202,200,635,635,1
203,60,471,404,1
204,30,460,470,1
205,60,390,666,1
206,90,376,460,1
207,250,428,338,1
208,250,445,717,1
209,250,545,405,1
210,160,436,348,2
211,90,402,412,2
212,250,588,493,1
213,90,441,696,1
214,200,572,798,1
215,200,0,480,2
216,250,401,598,1
