trial, dist, RT, interstim, NumberofLED
1,120,360,713,2
2,160,414,452,2
3,60,304,409,1
4,90,290,668,2
5,90,281,621,1
6,60,423,456,1
7,120,270,635,1
8,30,434,566,2
9,90,364,304,1
10,250,337,302,1
11,250,339,524,1
12,120,300,766,1
13,30,370,531,2
14,90,552,590,1
15,200,298,530,1
16,30,421,404,2
17,160,369,471,1
18,120,347,334,1
19,250,0,304,2
20,250,269,700,1
21,30,446,693,1
22,30,380,354,2
23,60,341,309,1
24,90,324,696,1
25,160,308,596,1
26,120,393,615,2
27,120,0,572,2
28,30,394,567,2
29,160,313,597,2
30,90,0,432,1
31,160,274,363,1
32,60,411,593,2
33,200,457,661,1
34,200,423,466,2
35,60,366,332,2
36,200,315,608,1
37,250,351,731,1
38,120,341,408,1
39,90,353,723,2
40,90,382,682,1
41,90,417,613,2
42,120,287,542,2
43,250,563,457,1
44,200,325,543,1
45,30,367,795,1
46,250,0,620,2
47,200,338,746,1
48,60,360,343,1
49,250,343,747,1
50,120,397,388,1
51,30,333,784,1
52,250,320,344,1
53,250,437,425,1
54,90,396,538,1
55,250,0,301,2
56,200,367,735,1
57,200,419,496,1
58,90,320,464,1
59,250,387,492,1
60,160,406,667,2
61,250,383,495,1
62,250,395,432,1
63,60,345,747,1
64,200,356,515,2
65,200,399,740,2
66,250,422,742,1
67,60,432,414,2
68,250,473,371,1
69,200,418,598,1
70,200,510,755,2
71,90,370,319,1
72,60,337,592,2
73,30,352,723,2
74,60,357,499,1
75,60,399,341,1
76,250,0,373,2
77,30,339,627,2
78,30,393,364,1
79,160,439,563,1
80,30,371,697,1
81,160,326,532,2
82,90,298,664,2
83,160,343,758,2
84,160,370,775,1
85,160,363,634,1
86,250,435,414,1
87,120,342,711,2
88,30,351,665,2
89,200,582,761,1
90,250,459,734,2
91,30,340,564,2
92,160,345,723,2
93,60,319,400,2
94,160,562,687,1
95,250,373,650,2
96,160,454,407,1
97,120,788,377,1
98,30,448,427,2
99,30,393,744,2
100,30,340,321,2
101,120,297,734,2
102,30,300,664,2
103,60,352,342,1
104,160,256,691,2
105,60,330,625,2
106,90,458,560,1
107,60,298,668,2
108,60,340,598,2
109,30,427,666,2
110,60,0,680,1
111,60,323,305,1
112,120,299,701,2
113,200,310,570,2
114,200,334,421,2
115,250,512,600,1
116,200,0,391,1
117,250,343,756,1
118,90,288,585,2
119,250,0,342,2
120,250,517,736,1
121,60,450,357,1
122,120,444,572,2
123,120,401,739,1
124,120,451,488,1
125,60,342,507,2
126,160,442,353,1
127,160,453,767,1
128,160,377,684,2
129,250,380,384,1
130,30,390,685,1
131,200,434,674,1
132,60,326,790,1
133,200,411,410,2
134,60,456,713,1
135,120,464,697,2
136,60,354,445,1
137,160,406,502,2
138,90,320,580,1
139,30,578,367,1
140,200,272,608,2
141,30,333,415,1
142,60,353,703,1
143,200,360,525,2
144,250,375,722,1
145,30,342,573,1
146,160,358,566,2
147,90,335,749,1
148,30,352,364,1
149,90,290,620,1
150,30,0,663,1
151,120,363,644,2
152,120,319,748,1
153,160,351,731,2
154,250,0,350,2
155,160,309,526,1
156,90,326,664,1
157,250,473,535,2
158,160,484,706,1
159,200,330,460,2
160,200,413,702,1
161,120,579,769,2
162,90,326,419,1
163,120,340,578,1
164,30,380,649,2
165,250,298,504,1
166,250,410,401,1
167,120,358,756,2
168,250,380,554,1
169,200,360,499,1
170,200,299,724,1
171,120,294,443,1
172,60,0,555,1
173,200,306,462,1
174,200,390,365,2
175,60,309,640,1
176,250,604,329,2
177,30,383,335,2
178,30,298,550,1
179,30,345,305,1
180,120,308,712,2
181,60,380,440,1
182,250,328,528,1
183,200,359,755,2
184,160,375,400,1
185,200,384,618,2
186,160,350,592,2
187,160,552,508,1
188,160,463,351,2
189,250,450,506,1
190,60,333,401,1
191,250,576,445,2
192,60,293,437,2
193,250,323,324,1
194,200,400,739,1
195,120,420,300,2
196,30,399,368,1
197,250,553,710,1
198,200,419,752,1
199,160,274,572,1
200,30,278,476,2
201,250,0,533,2
202,60,305,317,2
203,60,318,539,1
204,250,400,571,1
205,160,345,631,1
206,60,288,472,2
207,90,310,637,1
208,200,0,783,1
209,200,457,393,1
210,30,337,496,2
211,90,309,326,1
212,250,324,461,1
213,60,275,691,1
214,60,355,788,1
