trial,dist,RT,interstim,NumberofLED
1,250,0,302,1
2,160,0,769,1
3,200,495,638,1
4,200,0,554,2
5,30,645,672,1
6,90,328,470,1
7,250,376,431,1
8,200,0,579,2
9,120,408,538,1
10,60,394,564,2
11,120,376,645,2
12,160,480,716,1
13,160,450,326,2
14,90,280,479,1
15,160,334,632,2
16,250,320,754,1
17,90,333,749,1
18,30,0,310,1
19,90,342,362,2
20,250,451,594,1
21,90,334,689,2
22,250,677,483,1
23,30,452,428,1
24,120,721,322,1
25,160,372,328,1
26,60,344,691,2
27,90,427,779,2
28,60,369,528,1
29,200,511,617,1
30,120,371,584,1
31,90,356,638,1
32,60,385,646,2
33,120,556,303,1
34,60,400,364,1
35,200,729,336,2
36,120,409,648,1
37,120,417,502,2
38,250,415,630,2
39,120,379,483,1
40,30,400,760,2
41,160,422,515,2
42,250,428,515,1
43,30,412,704,2
44,250,414,698,1
45,200,561,426,1
46,200,517,303,1
47,200,422,584,2
48,160,318,470,1
49,200,442,363,1
50,250,442,348,1
51,60,484,679,1
52,250,431,615,2
53,30,472,798,1
54,90,331,513,1
55,60,401,568,2
56,200,490,428,1
57,160,410,421,2
58,160,406,757,1
59,90,368,615,1
60,160,404,530,2
61,30,380,712,1
62,90,321,581,1
63,120,364,742,2
64,90,362,616,1
65,160,378,553,1
66,250,633,758,1
67,250,467,551,2
68,200,0,333,2
69,90,324,696,2
70,90,372,432,2
71,60,345,624,1
72,60,300,553,1
73,200,0,765,1
74,120,408,521,1
75,30,452,704,1
76,120,394,618,1
77,160,403,597,1
78,90,365,539,1
79,120,359,799,1
80,250,574,306,1
81,120,380,300,1
82,90,412,399,2
83,200,746,641,1
84,60,523,727,1
85,90,430,382,1
86,160,512,347,1
87,90,376,653,1
88,60,431,557,2
89,30,391,676,1
90,250,482,606,1
91,250,408,713,1
92,160,413,475,2
93,200,596,475,1
94,30,410,324,1
95,120,387,766,1
96,120,420,414,1
97,90,336,751,2
98,30,570,774,2
99,160,513,612,1
100,250,561,577,1
101,30,475,362,2
102,60,441,708,1
103,120,465,331,2
104,60,430,313,1
105,250,670,491,1
106,90,375,639,1
107,120,377,719,2
108,120,322,324,1
109,30,379,576,1
110,160,377,473,1
111,90,333,601,2
112,30,384,360,1
113,60,506,615,1
114,120,434,436,2
115,30,468,324,1
116,120,350,660,1
117,200,882,582,1
118,30,539,319,2
119,60,370,584,1
120,200,0,706,2
121,90,402,578,2
122,90,401,542,1
123,160,573,648,1
124,160,502,483,2
125,30,643,723,2
126,200,0,490,1
127,90,467,436,2
128,120,405,662,1
129,250,569,798,1
130,90,483,748,2
131,30,587,644,1
132,200,925,442,1
133,200,620,705,1
134,200,670,663,1
135,200,933,576,1
136,90,416,718,1
137,200,0,432,1
138,60,465,726,2
139,60,333,761,1
140,120,414,539,1
141,90,526,691,1
142,30,499,506,1
143,200,867,458,1
144,120,538,677,2
145,250,506,696,1
146,30,465,564,1
147,160,423,505,1
148,120,396,643,2
149,250,550,477,1
150,200,669,486,2
151,90,325,742,1
152,250,528,602,2
153,200,769,588,1
154,160,404,711,2
155,30,311,742,1
156,200,545,744,2
157,200,582,636,1
158,120,481,345,1
159,90,372,433,1
160,30,517,323,1
161,200,690,645,1
162,30,595,337,1
163,200,527,456,2
164,30,437,748,1
165,90,390,647,1
166,30,426,404,1
167,120,429,329,2
168,250,415,555,2
169,30,590,764,2
170,250,428,703,2
171,250,547,732,1
172,200,808,767,1
173,90,356,421,1
174,250,432,582,2
175,30,535,753,2
176,60,334,671,1
177,160,605,458,1
178,60,485,662,1
179,120,387,582,2
180,200,862,767,2
181,90,395,513,1
182,250,521,660,1
183,60,439,771,1
184,160,409,600,1
185,120,503,486,1
186,30,431,443,1
187,120,353,739,1
188,250,0,574,1
189,60,453,368,2
190,250,464,409,1
191,200,451,730,1
192,120,371,539,1
193,60,360,341,1
194,200,0,697,1
195,250,597,602,2
196,120,473,693,1
197,250,631,302,2
198,200,851,652,2
199,90,486,744,1
200,30,500,473,2
201,30,390,343,1
202,30,389,782,1
203,30,450,568,1
204,250,571,356,2
205,30,406,670,1
206,160,447,600,2
207,60,465,702,2
208,90,379,787,1
209,200,919,448,1
210,120,411,766,2
211,90,348,749,2
212,200,0,639,2
213,90,484,418,1
