trial,dist,RT,interstim,NumberofLED
1,90,0,706,2
2,200,784,756,2
3,120,563,700,2
4,90,586,524,1
5,60,605,777,2
6,30,520,591,2
7,60,400,381,1
8,60,790,787,2
9,160,560,386,1
10,250,0,426,2
11,160,506,751,2
12,160,565,534,1
13,160,583,560,1
14,90,362,608,2
15,160,450,568,1
16,90,466,688,1
17,30,441,493,1
18,250,730,437,2
19,30,518,628,1
20,120,573,781,1
21,90,453,795,2
22,200,564,634,2
23,120,391,601,1
24,120,419,492,2
25,60,372,577,1
26,30,666,310,1
27,120,603,466,1
28,90,469,484,1
29,90,413,316,1
30,120,501,359,1
31,160,470,403,1
32,160,466,655,1
33,200,503,519,2
34,90,432,596,1
35,120,438,624,1
36,160,393,476,1
37,120,419,475,2
38,60,732,749,1
39,250,786,349,1
40,250,902,470,1
41,160,740,676,2
42,30,567,408,1
43,30,630,509,1
44,120,488,585,2
45,120,695,365,1
46,200,649,432,1
47,60,630,648,1
48,200,453,524,1
49,90,485,584,1
50,250,552,688,1
51,250,617,374,1
52,60,577,565,2
53,160,447,647,1
54,90,415,719,1
55,30,546,421,2
56,120,544,618,1
57,90,447,495,1
58,30,531,753,2
59,250,734,777,2
60,200,511,666,2
61,250,539,755,1
62,250,514,311,1
63,30,550,647,2
64,60,584,384,1
65,250,593,472,1
66,200,556,717,1
67,60,557,303,1
68,200,526,513,1
69,120,515,348,1
70,160,393,566,1
71,200,360,492,1
72,160,438,613,2
73,160,567,522,1
74,30,574,668,1
75,90,609,755,1
76,30,513,737,2
77,60,436,411,1
78,120,477,534,1
79,90,454,423,2
80,30,541,797,1
81,60,360,435,1
82,200,486,612,1
83,120,425,329,1
84,60,528,458,2
85,60,416,492,1
86,90,510,339,2
87,160,346,667,1
88,160,428,738,1
89,160,566,751,1
90,60,455,708,2
91,160,421,306,1
92,120,432,336,1
93,250,401,418,1
94,200,535,653,1
95,120,454,636,2
96,30,636,627,2
97,30,537,519,1
98,30,530,750,2
99,30,585,625,2
100,160,503,707,1
101,30,666,671,2
102,90,460,606,2
103,200,654,353,1
104,60,463,610,1
105,60,607,600,1
106,250,757,631,1
107,30,418,693,1
108,120,602,393,1
109,60,415,504,1
110,160,506,456,1
111,200,535,638,1
112,250,584,759,1
113,120,485,679,1
114,60,702,596,2
115,30,474,789,1
116,90,385,318,1
117,160,414,425,1
118,200,404,420,2
119,250,406,641,1
120,30,469,649,1
121,90,416,342,2
122,120,562,684,2
123,120,476,761,2
124,90,373,380,2
125,60,409,660,2
126,160,652,431,2
127,90,449,716,1
128,120,451,571,2
129,250,620,433,1
130,250,0,358,2
131,30,493,454,2
132,30,442,514,2
133,250,522,659,1
134,60,606,473,2
135,160,539,397,1
136,120,371,782,1
137,250,408,605,2
138,90,362,479,1
139,120,421,755,2
140,90,447,739,2
141,60,401,506,2
142,250,430,476,1
143,30,387,390,2
144,60,491,592,2
145,200,392,750,2
146,120,383,392,2
147,160,445,515,1
148,60,429,306,1
149,120,0,400,1
150,60,412,761,1
151,200,428,421,1
152,90,337,467,2
153,200,502,324,2
154,200,382,619,1
155,30,349,791,1
156,200,448,599,2
157,120,354,485,1
158,120,478,721,1
159,30,407,612,1
160,120,584,672,2
161,160,739,394,1
162,30,752,766,1
163,200,579,630,2
164,30,559,755,1
165,30,447,780,1
166,30,603,775,1
167,30,861,637,2
168,200,0,424,2
169,200,633,673,1
170,30,494,531,2
171,200,698,396,1
172,90,355,466,2
173,60,590,788,1
174,160,588,573,1
175,90,414,464,1
176,30,615,367,2
177,120,573,653,1
178,160,433,325,1
179,120,440,683,1
180,250,664,660,1
181,200,478,703,2
182,160,762,545,1
183,120,477,703,2
184,250,453,435,2
185,90,396,775,1
186,60,359,765,2
187,90,437,751,1
188,200,412,614,1
189,30,542,305,2
190,160,585,514,1
191,160,465,355,2
192,250,573,305,1
193,120,468,771,2
194,200,0,585,2
195,200,451,686,1
196,200,477,561,1
197,90,395,745,1
198,250,444,722,1
199,200,0,505,1
200,60,516,527,1
201,60,465,474,1
202,60,499,304,2
203,30,616,478,1
204,200,624,705,2
205,60,534,681,1
206,120,492,641,1
207,30,636,762,1
