trial,dist,RT,interstim,NumberofLED
1,200,0,722,1
2,120,0,780,1
3,160,514,484,2
4,250,447,362,1
5,60,359,342,1
6,200,411,446,2
7,30,0,303,1
8,90,388,692,1
9,160,309,641,1
10,160,386,511,2
11,200,586,380,1
12,250,596,795,1
13,160,438,480,2
14,160,461,652,1
15,60,424,744,2
16,200,441,366,1
17,200,439,537,2
18,250,518,727,1
19,160,404,708,1
20,120,419,416,2
21,250,432,571,1
22,250,476,630,1
23,90,340,696,1
24,60,403,714,2
25,60,416,429,1
26,60,414,415,2
27,160,308,517,1
28,30,318,639,1
29,60,473,493,2
30,160,285,503,1
31,90,359,360,1
32,30,352,656,2
33,30,176,735,1
34,120,389,329,2
35,250,601,450,2
36,250,0,630,1
37,160,473,438,1
38,250,537,375,2
39,200,357,644,1
40,30,355,436,1
41,120,393,380,2
42,250,632,320,2
43,120,342,752,1
44,60,326,625,1
45,120,354,523,1
46,30,327,682,1
47,160,438,699,2
48,90,411,304,1
49,200,737,650,1
50,160,489,737,1
51,250,364,530,1
52,250,472,491,1
53,250,432,462,1
54,160,438,370,2
55,160,318,467,1
56,160,429,630,1
57,200,492,502,1
58,30,334,606,1
59,30,262,667,1
60,200,277,394,1
61,160,247,725,1
62,90,284,689,1
63,90,408,475,2
64,200,359,319,1
65,250,0,361,2
66,250,555,682,1
67,30,388,469,2
68,250,597,359,2
69,90,351,719,1
70,200,367,355,1
71,120,282,659,1
72,200,394,685,2
73,250,435,689,2
74,30,377,374,1
75,200,487,788,1
76,90,430,548,2
77,200,338,693,1
78,60,489,348,1
79,90,362,630,2
80,200,350,384,1
81,250,0,309,2
82,90,284,703,1
83,30,481,381,1
84,200,441,648,1
85,60,416,600,2
86,90,452,612,1
87,60,319,749,1
88,120,344,707,1
89,160,306,654,1
90,90,292,795,1
91,200,422,354,2
92,160,441,336,1
93,120,411,446,2
94,160,594,325,2
95,90,401,389,1
96,200,572,571,1
97,250,587,492,1
98,90,495,544,2
99,90,343,374,1
100,120,424,311,1
101,90,462,368,1
102,60,435,582,1
103,200,464,473,2
104,60,267,664,1
105,90,362,413,1
106,200,450,425,2
107,160,412,636,1
108,200,505,546,2
109,60,0,600,2
110,30,440,648,1
111,90,447,589,2
112,120,365,631,2
113,90,407,356,1
114,120,525,551,1
115,120,548,567,2
116,90,369,561,1
117,200,468,389,2
118,60,448,426,1
119,160,472,651,2
120,120,260,719,1
121,60,260,655,1
122,200,559,536,2
123,90,339,616,1
124,120,373,666,1
125,120,412,400,2
126,160,505,709,2
127,200,395,731,2
128,250,442,668,2
129,250,0,328,1
130,120,428,693,2
131,60,397,715,2
132,60,390,502,2
133,90,345,417,2
134,200,416,692,2
135,120,441,783,1
136,250,405,459,2
137,250,377,658,1
138,60,337,604,1
139,90,401,610,2
140,120,432,329,1
141,120,418,390,1
142,120,286,709,1
143,250,490,339,1
144,30,366,359,1
145,250,406,555,1
146,90,368,504,2
147,200,340,324,1
148,60,453,655,2
149,60,348,663,1
150,200,491,569,2
151,200,605,350,1
152,120,368,303,1
153,250,425,662,1
154,200,397,509,2
155,250,496,637,1
156,30,343,395,1
157,120,360,447,2
158,90,365,661,1
159,160,370,541,1
160,30,366,676,2
161,120,425,309,1
162,90,278,489,1
163,90,533,684,1
164,120,507,439,1
165,250,0,467,1
166,30,319,630,1
167,250,583,358,1
168,120,343,781,1
169,60,352,711,1
170,60,512,433,1
171,90,439,683,2
172,250,0,328,2
173,60,335,416,1
174,200,469,761,1
175,200,698,364,2
176,160,496,545,2
177,250,591,456,1
178,60,362,632,1
179,30,451,416,1
180,60,365,551,1
181,120,637,316,1
182,200,715,566,2
183,160,537,610,1
184,160,384,378,1
185,120,389,665,1
186,90,329,669,1
187,160,459,751,2
188,90,396,732,1
189,90,444,566,2
190,30,348,705,2
191,30,465,752,1
192,60,305,738,1
193,120,382,323,1
194,160,391,437,2
195,250,486,527,1
196,250,473,417,2
197,60,337,672,1
198,30,368,712,1
199,90,413,794,2
200,200,346,500,1
201,60,343,722,1
202,160,437,760,2
203,200,465,576,1
204,160,391,461,1
205,160,435,760,2
206,60,376,386,1
207,60,352,460,1
208,90,370,521,2
209,60,318,711,1
210,60,513,341,1
