trial,dist,RT,interstim,NumberofLED
1,160,553,564,2
2,60,399,787,2
3,250,714,601,1
4,200,429,734,1
5,90,240,559,1
6,250,646,523,2
7,120,877,549,1
8,160,361,618,1
9,200,344,766,1
10,60,403,591,1
11,160,480,727,1
12,60,513,397,2
13,250,376,413,1
14,160,310,637,1
15,120,412,514,1
16,160,480,336,2
17,30,336,407,1
18,200,364,351,1
19,30,597,422,1
20,250,613,357,2
21,120,696,668,1
22,30,434,480,1
23,60,459,764,1
24,200,381,665,1
25,120,526,445,1
26,90,383,505,2
27,60,433,332,1
28,30,410,556,1
29,60,627,360,1
30,90,0,339,1
31,250,542,341,2
32,200,319,507,1
33,160,359,590,1
34,90,426,399,2
35,90,460,529,1
36,160,314,690,1
37,90,401,761,2
38,30,334,526,1
39,60,420,366,2
40,30,339,536,1
41,160,461,793,2
42,120,352,427,1
43,60,397,695,2
44,200,436,603,2
45,200,448,515,2
46,120,330,667,2
47,160,370,637,2
48,200,405,555,1
49,90,267,464,1
50,200,461,723,1
51,30,338,421,1
52,60,365,758,2
53,120,404,549,1
54,120,413,538,2
55,60,312,551,1
56,60,346,459,1
57,60,417,316,2
58,120,0,588,2
59,60,529,584,1
60,120,481,701,2
61,90,517,741,2
62,160,423,541,2
63,60,355,363,1
64,60,439,457,1
65,160,343,683,1
66,200,414,592,1
67,30,567,602,1
68,250,0,541,2
69,30,369,636,1
70,250,364,612,1
71,60,435,536,1
72,30,369,357,1
73,200,367,449,1
74,30,410,624,1
75,60,588,317,2
76,160,570,741,1
77,250,467,382,1
78,160,378,326,1
79,160,415,719,1
80,90,393,533,1
81,30,371,654,2
82,160,366,504,1
83,200,405,555,1
84,160,323,546,1
85,90,312,713,1
86,160,491,412,1
87,60,450,788,2
88,60,323,622,1
89,90,416,493,2
90,30,442,708,2
91,250,721,374,2
92,90,454,725,1
93,250,392,599,1
94,250,843,431,2
95,250,535,566,2
96,200,461,622,1
97,200,462,319,1
98,30,363,671,1
99,60,430,409,1
100,200,354,302,1
101,60,384,598,1
102,30,355,690,1
103,120,401,546,1
104,120,336,405,1
105,200,463,314,2
106,120,921,433,1
107,30,389,463,2
108,250,494,527,1
109,160,403,773,1
110,160,0,389,2
111,120,507,476,1
112,250,0,661,2
113,200,507,586,1
114,120,624,586,1
115,160,545,356,1
116,60,530,607,1
117,90,581,305,2
118,200,583,522,1
119,60,0,393,1
120,120,730,435,1
121,60,536,798,2
122,30,582,306,1
123,120,438,304,1
124,60,501,749,2
125,90,399,653,1
126,90,565,375,2
127,120,405,587,2
128,250,463,698,1
129,250,484,381,1
130,60,425,764,2
131,120,540,325,2
132,200,435,558,2
133,90,467,450,2
134,160,541,489,1
135,60,377,689,1
136,30,359,586,2
137,250,406,310,1
138,250,830,430,2
139,60,339,439,2
140,120,517,408,1
141,160,451,354,1
142,160,327,747,1
143,160,463,633,2
144,160,518,789,1
145,250,401,785,1
146,120,440,648,2
147,200,428,450,2
148,160,355,618,2
149,120,342,564,2
150,120,447,445,1
151,160,379,402,1
152,200,345,479,1
153,200,433,540,2
154,200,384,327,1
155,120,469,450,2
156,160,355,716,1
157,60,458,784,1
158,160,439,675,1
159,60,361,490,1
160,60,378,326,1
161,120,345,743,1
162,200,448,416,2
163,160,385,798,2
164,160,413,511,1
165,120,387,699,2
166,30,401,332,1
167,60,412,458,1
168,60,377,683,2
169,30,365,491,1
170,200,380,556,1
171,90,407,484,2
172,30,620,340,2
173,120,508,392,1
174,60,351,576,1
175,60,431,428,2
176,90,315,753,1
177,250,598,597,1
178,90,504,429,1
179,90,316,720,1
180,30,458,347,1
181,90,431,414,1
182,90,268,786,1
183,90,360,738,1
184,90,383,594,2
185,200,283,727,1
186,60,352,371,1
187,250,0,761,2
188,30,503,486,1
189,60,406,527,1
190,200,320,714,1
191,160,418,366,1
192,90,476,305,1
193,200,362,733,1
194,30,393,461,1
195,160,290,696,1
196,250,577,460,2
197,160,468,409,1
198,30,441,321,1
199,90,344,549,1
200,250,527,688,2
201,30,342,404,1
202,90,418,646,2
203,120,451,715,2
204,160,407,548,1
205,250,418,619,1
206,120,347,747,1
207,200,0,777,2
208,90,485,565,2
