trial,dist,RT,interstim,NumberofLED
1,160,0,757,1
2,90,588,776,1
3,200,0,557,2
4,30,385,672,2
5,120,282,714,1
6,200,443,667,1
7,30,620,356,1
8,160,275,596,1
9,120,338,353,1
10,90,310,460,1
11,90,264,777,1
12,60,0,630,2
13,200,415,434,1
14,200,513,463,1
15,160,308,768,1
16,60,759,591,1
17,250,528,360,2
18,200,511,698,1
19,160,334,754,1
20,30,350,308,1
21,160,0,593,2
22,30,329,603,1
23,90,497,787,2
24,250,479,732,2
25,200,0,457,2
26,120,437,691,2
27,160,417,554,2
28,30,470,462,1
29,250,512,490,1
30,30,402,435,2
31,200,279,653,1
32,60,0,625,2
33,30,298,521,1
34,160,430,755,2
35,250,527,658,2
36,60,560,479,1
37,160,368,467,1
38,160,303,442,1
39,120,395,378,1
40,250,442,784,1
41,60,0,533,2
42,60,724,566,1
43,30,515,729,1
44,30,330,641,1
45,160,460,433,1
46,90,322,493,1
47,120,452,613,1
48,200,330,371,1
49,60,0,495,2
50,30,391,691,1
51,60,558,449,1
52,250,333,439,1
53,200,323,760,1
54,200,586,412,1
55,250,280,738,1
56,30,394,512,1
57,30,282,597,1
58,250,519,341,2
59,250,410,740,2
60,200,0,689,2
61,160,491,356,1
62,160,476,649,2
63,250,544,514,1
64,60,0,684,2
65,60,0,595,2
66,160,457,558,2
67,250,0,423,2
68,250,549,393,1
69,250,0,591,2
70,30,365,579,1
71,250,486,483,2
72,30,437,647,2
73,90,345,641,1
74,250,387,499,1
75,160,357,469,1
76,120,561,449,2
77,30,0,473,1
78,120,577,413,2
79,250,381,464,1
80,60,0,518,1
81,120,371,621,1
82,120,479,645,2
83,160,463,526,1
84,120,532,362,2
85,30,339,552,1
86,160,469,563,2
87,30,314,757,1
88,250,418,494,1
89,200,507,711,1
90,200,0,448,2
91,30,412,704,1
92,160,444,469,1
93,60,661,598,1
94,90,462,781,1
95,120,435,512,1
96,250,392,388,1
97,200,0,441,2
98,200,317,542,1
99,30,331,462,1
100,200,0,480,2
101,250,392,545,1
102,250,0,471,1
103,160,596,676,1
104,120,460,654,1
105,160,327,404,1
106,90,528,667,1
107,90,438,732,1
108,250,282,790,1
109,120,447,553,2
110,200,543,692,1
111,30,358,387,1
112,250,590,357,1
113,90,359,479,1
114,60,293,639,1
115,160,289,548,1
116,160,521,516,1
117,120,391,770,1
118,160,593,408,2
119,200,489,686,1
120,250,364,350,1
121,60,732,382,1
122,200,658,310,1
123,160,359,557,1
124,120,432,593,2
125,60,0,552,2
126,160,388,563,1
127,200,358,410,1
128,60,734,742,1
129,250,380,431,1
130,30,382,561,2
131,120,359,792,1
132,30,409,382,2
133,200,467,670,1
134,250,385,415,1
135,160,316,440,1
136,30,362,707,2
137,90,424,417,1
138,60,759,459,1
139,30,448,693,2
140,90,433,787,2
141,30,390,610,1
142,30,397,623,1
143,60,422,682,1
144,200,771,433,1
145,250,491,580,1
146,90,449,374,2
147,90,469,630,1
148,250,799,482,1
149,250,736,556,1
150,120,714,397,1
151,120,491,712,2
152,120,409,533,1
153,30,322,727,1
154,160,451,475,1
155,160,468,540,1
156,160,361,736,1
157,30,407,370,2
158,250,564,305,1
159,90,321,675,1
160,160,518,453,2
161,90,396,504,1
162,200,629,487,1
163,90,293,779,1
164,60,391,798,1
165,200,0,479,2
166,120,556,465,1
167,250,498,407,1
168,30,354,567,1
169,250,589,410,1
170,90,480,511,1
171,90,349,326,1
172,60,447,490,1
173,160,388,445,1
174,30,394,749,2
175,160,347,486,1
176,160,368,385,1
177,120,417,500,2
178,200,536,605,1
179,30,358,586,1
180,90,328,631,1
181,90,0,780,2
182,60,329,617,1
183,120,435,349,2
184,250,450,357,1
185,250,691,751,1
186,120,403,705,1
187,90,0,377,2
188,60,751,728,1
189,60,327,509,1
190,60,0,536,1
191,250,434,695,2
192,120,531,534,2
193,250,531,699,1
194,200,385,707,1
195,120,570,408,1
196,200,377,595,1
197,120,351,345,1
198,120,352,793,2
199,60,0,781,2
200,250,0,441,2
201,250,416,457,1
202,30,390,714,1
203,90,358,736,1
204,90,401,759,2
205,120,593,319,1
206,250,298,677,1
207,250,472,381,1
208,160,329,391,1
209,90,399,505,1
210,60,0,335,2
211,60,766,324,1
212,250,0,630,2
213,60,300,568,1
214,120,268,774,1
215,250,286,652,1
216,30,374,649,2
217,200,480,667,1
218,30,313,525,1
219,120,337,321,1
220,200,363,584,1
221,160,372,602,1
222,160,359,586,1
223,250,343,773,1
224,160,288,754,1
225,160,305,592,1
226,60,0,331,1
227,120,337,702,1
228,60,433,308,1
229,120,341,450,1
