trial,dist,RT,interstim,NumberofLED
1,160,0,643,1
2,200,0,607,2
3,200,0,469,2
4,90,370,548,2
5,200,319,377,1
6,90,427,308,2
7,60,0,676,2
8,120,0,405,1
9,200,307,527,1
10,120,355,551,1
11,160,321,377,1
12,30,316,596,1
13,200,272,623,1
14,60,664,321,1
15,200,356,629,1
16,60,495,601,1
17,120,568,472,2
18,250,0,539,2
19,250,449,565,1
20,160,404,563,2
21,200,317,796,1
22,250,351,555,1
23,90,316,480,1
24,30,373,366,1
25,90,205,687,1
26,200,0,710,2
27,120,347,498,1
28,30,442,774,2
29,60,298,750,1
30,120,306,421,1
31,160,436,424,1
32,250,346,508,1
33,250,340,589,1
34,90,375,614,1
35,30,290,563,1
36,60,565,410,1
37,30,421,673,2
38,250,428,774,1
39,250,268,755,1
40,160,341,486,1
41,30,364,660,2
42,160,269,550,1
43,250,432,650,2
44,250,444,364,1
45,160,342,769,1
46,60,0,351,2
47,60,520,418,1
48,160,303,503,1
49,30,401,557,1
50,160,431,480,2
51,120,880,652,1
52,30,365,448,1
53,60,0,329,2
54,30,0,454,1
55,90,309,759,1
56,250,374,618,1
57,250,391,659,1
58,200,386,347,1
59,30,456,699,2
60,160,458,371,1
61,250,332,733,1
62,120,362,365,1
63,60,621,669,1
64,30,0,638,2
65,60,304,772,1
66,90,537,637,2
67,120,272,712,1
68,250,0,450,2
69,200,524,354,1
70,90,401,307,1
71,90,454,671,2
72,90,402,521,1
73,90,532,319,2
74,160,334,749,1
75,120,381,479,1
76,120,316,718,1
77,90,797,361,1
78,90,332,587,1
79,120,529,601,2
80,30,440,635,1
81,120,670,555,1
82,30,387,780,1
83,120,506,468,2
84,60,583,347,1
85,200,349,583,1
86,120,419,512,2
87,200,383,695,1
88,90,331,591,1
89,120,481,500,2
90,60,321,575,1
91,90,340,364,1
92,120,413,604,2
93,200,459,596,1
94,60,552,628,2
95,160,430,404,1
96,60,506,773,2
97,200,910,479,1
98,60,0,431,1
99,200,0,715,2
100,160,654,630,1
101,60,462,733,2
102,160,576,386,2
103,160,454,583,1
104,90,470,358,1
105,120,413,437,1
106,30,533,429,2
107,200,335,623,1
108,250,523,463,1
109,90,354,760,1
110,250,723,445,1
111,250,379,709,1
112,200,504,396,1
113,120,401,471,1
114,120,410,745,2
115,120,391,785,1
116,90,346,334,1
117,160,503,347,1
118,120,464,474,1
119,250,476,772,1
120,250,510,327,2
121,60,656,403,2
122,90,483,671,2
123,250,516,710,1
124,90,369,781,1
125,250,423,350,1
126,120,297,792,1
127,160,416,409,2
128,250,357,683,1
129,250,393,678,2
130,200,0,302,2
131,90,338,520,1
132,120,343,530,1
133,200,474,610,1
134,60,419,414,1
135,90,413,736,2
136,250,815,596,1
137,250,549,484,1
138,160,300,517,1
139,200,0,701,2
140,30,406,692,2
141,30,359,622,2
142,30,300,728,1
143,60,566,486,1
144,90,547,574,2
145,250,0,670,2
146,90,411,326,2
147,90,549,637,1
148,90,318,710,1
149,200,359,687,1
150,160,380,507,1
151,60,0,626,2
152,160,348,641,1
153,90,423,601,1
154,60,0,418,2
155,60,573,367,2
156,90,546,629,2
157,200,486,542,1
158,120,398,418,1
159,120,357,692,1
160,160,449,501,2
161,250,543,526,1
162,160,335,629,1
163,120,415,741,1
164,120,425,725,2
165,60,0,333,2
166,30,407,731,2
167,120,353,658,1
168,250,328,482,1
169,160,327,601,1
170,120,0,568,2
171,90,293,510,1
172,120,390,584,2
173,200,0,404,2
174,250,576,595,2
175,120,422,396,1
176,250,411,649,1
177,250,415,453,1
178,200,378,604,1
179,60,704,318,1
180,30,343,699,1
181,90,464,365,1
182,30,330,426,1
183,30,317,424,1
184,30,250,736,1
185,60,521,446,2
186,60,428,520,1
187,90,512,756,2
188,160,881,359,1
189,60,0,473,2
190,250,340,533,1
191,90,412,559,2
192,200,0,345,2
193,30,443,778,2
194,90,280,699,1
195,90,357,685,1
196,90,448,365,2
197,90,481,364,1
198,30,315,443,1
199,250,471,745,2
200,200,610,594,1
201,160,358,563,1
202,120,253,703,1
203,30,472,572,1
204,160,434,328,2
205,200,328,366,1
206,200,0,390,2
207,30,422,442,2
208,90,354,543,2
209,120,319,658,1
210,30,564,508,1
211,160,543,500,2
212,250,410,709,1
213,120,397,324,1
214,30,395,322,1
215,160,0,661,2
216,160,447,400,2
217,90,346,659,2
218,90,266,642,1
219,200,487,473,1
220,90,323,676,1
221,250,389,343,1
222,160,404,598,2
223,250,393,486,2
224,90,425,324,1
225,250,497,481,1
226,160,694,735,1
