trial,dist,RT,interstim,NumberofLED
1,160,0,643,1
2,200,0,607,2
3,200,0,469,2
4,90,499,548,2
5,200,402,377,1
6,90,547,308,2
7,60,540,676,2
8,120,491,405,1
9,200,497,527,1
10,120,341,551,1
11,160,411,377,1
12,30,346,596,1
13,200,273,623,1
14,60,418,321,1
15,200,301,629,1
16,60,634,601,1
17,120,531,472,2
18,250,0,539,2
19,250,408,565,1
20,160,443,563,2
21,200,423,796,1
22,250,396,555,1
23,90,373,480,1
24,30,371,366,1
25,90,321,687,1
26,200,0,710,2
27,120,385,498,1
28,30,482,774,2
29,60,505,750,1
30,120,376,421,1
31,160,395,424,1
32,250,682,508,1
33,250,564,589,1
34,90,361,614,1
35,30,570,563,1
36,60,443,410,1
37,30,434,673,2
38,250,576,774,1
39,250,498,755,1
40,160,485,486,1
41,30,472,660,2
42,160,405,550,1
43,250,436,650,2
44,250,454,364,1
45,160,400,769,1
46,60,475,351,2
47,60,501,418,1
48,160,487,503,1
49,30,540,557,1
50,160,442,480,2
51,120,317,652,1
52,30,322,448,1
53,60,498,329,2
54,30,332,454,1
55,90,337,759,1
56,250,354,618,1
57,250,354,659,1
58,200,388,347,1
59,30,410,699,2
60,160,371,371,1
61,250,355,733,1
62,120,329,365,1
63,60,373,669,1
64,30,441,638,2
65,60,335,772,1
66,90,421,637,2
67,120,317,712,1
68,250,402,450,2
69,200,515,354,1
70,90,385,307,1
71,90,399,671,2
72,90,357,521,1
73,90,440,319,2
74,160,499,749,1
75,120,375,479,1
76,120,297,718,1
77,90,318,361,1
78,90,329,587,1
79,120,418,601,2
80,30,321,635,1
81,120,316,555,1
82,30,385,780,1
83,120,411,468,2
84,60,868,347,1
85,200,455,583,1
86,120,444,512,2
87,200,326,695,1
88,90,306,591,1
89,120,425,500,2
90,60,294,575,1
91,90,396,364,1
92,120,439,604,2
93,200,360,596,1
94,60,540,628,2
95,160,355,404,1
96,60,0,773,2
97,200,577,479,1
98,60,576,431,1
99,200,0,715,2
100,160,297,630,1
101,60,497,733,2
102,160,565,386,2
103,160,358,583,1
104,90,367,358,1
105,120,384,437,1
106,30,438,429,2
107,200,488,623,1
108,250,518,463,1
109,90,317,760,1
110,250,806,445,1
111,250,0,709,1
112,200,0,396,1
113,120,410,471,1
114,120,401,745,2
115,120,389,785,1
116,90,396,334,1
117,160,463,347,1
118,120,299,474,1
119,250,280,772,1
120,250,530,327,2
121,60,0,403,2
122,90,412,671,2
123,250,490,710,1
124,90,341,781,1
125,250,445,350,1
126,120,409,792,1
127,160,442,409,2
128,250,562,683,1
129,250,446,678,2
130,200,0,302,2
131,90,740,520,1
132,120,568,530,1
133,200,425,610,1
134,60,0,414,1
135,90,487,736,2
136,250,378,596,1
137,250,431,484,1
138,160,356,517,1
139,200,0,701,2
140,30,419,692,2
141,30,368,622,2
142,30,348,728,1
143,60,617,486,1
144,90,393,574,2
145,250,335,670,2
146,90,404,326,2
147,90,434,637,1
148,90,298,710,1
149,200,367,687,1
150,160,376,507,1
151,60,469,626,2
152,160,358,641,1
153,90,368,601,1
154,60,476,418,2
155,60,464,367,2
156,90,378,629,2
157,200,472,542,1
158,120,381,418,1
159,120,309,692,1
160,160,525,501,2
161,250,469,526,1
162,160,319,629,1
163,120,433,741,1
164,120,407,725,2
165,60,581,333,2
166,30,351,731,2
167,120,358,658,1
168,250,351,482,1
169,160,304,601,1
170,120,445,568,2
171,90,388,510,1
172,120,430,584,2
173,200,0,404,2
174,250,496,595,2
175,120,431,396,1
176,250,384,649,1
177,250,496,453,1
178,200,469,604,1
179,60,760,318,1
180,30,396,699,1
181,90,409,365,1
182,30,404,426,1
183,30,344,424,1
184,30,314,736,1
185,60,0,446,2
186,60,367,520,1
187,90,450,756,2
188,160,475,359,1
189,60,400,473,2
190,250,447,533,1
191,90,349,559,2
192,200,0,345,2
193,30,369,778,2
194,90,319,699,1
195,90,327,685,1
196,90,423,365,2
197,90,444,364,1
198,30,342,443,1
199,250,394,745,2
200,200,595,594,1
201,160,395,563,1
202,120,347,703,1
203,30,404,572,1
204,160,453,328,2
205,200,551,366,1
206,200,0,390,2
207,30,549,442,2
208,90,356,543,2
209,120,327,658,1
210,30,340,508,1
211,160,364,500,2
212,250,261,709,1
213,120,571,324,1
214,30,412,322,1
215,160,416,661,2
216,160,411,400,2
217,90,383,659,2
