trial, dist, RT, interstim, NumberofLED
1,160,341,792,1
2,90,264,625,1
3,30,246,777,1
4,30,0,482,1
5,200,268,586,1
6,160,368,741,1
7,60,425,762,2
8,250,354,353,2
9,60,315,565,1
10,30,0,762,2
11,250,438,527,1
12,90,281,465,1
13,30,0,388,2
14,250,0,774,2
15,30,296,645,1
16,120,301,669,2
17,250,399,536,2
18,160,446,669,1
19,200,0,447,1
20,200,316,553,1
21,60,486,468,2
22,30,467,429,1
23,60,293,525,1
24,120,354,397,2
25,120,424,338,2
26,200,377,467,2
27,160,333,591,1
28,30,0,785,2
29,120,380,487,1
30,120,337,514,1
31,90,401,446,2
32,90,300,594,2
33,30,0,307,1
34,200,257,681,1
35,250,349,366,2
36,120,344,328,1
37,120,248,643,1
38,120,474,509,2
39,60,414,612,1
40,250,514,485,1
41,200,452,333,2
42,160,388,312,1
43,160,574,559,2
44,30,516,304,1
45,250,456,696,2
46,200,486,304,2
47,90,265,527,1
48,30,0,791,2
49,160,300,340,2
50,120,285,645,1
51,120,310,515,1
52,200,325,387,2
53,160,404,705,2
54,200,471,454,2
55,60,303,509,1
56,120,398,747,2
57,120,302,692,1
58,160,345,723,2
59,200,409,460,2
60,200,357,337,1
61,120,504,487,1
62,200,493,756,1
63,90,307,553,1
64,160,396,696,1
65,120,380,329,1
66,120,276,434,1
67,160,296,524,1
68,250,342,780,1
69,120,618,316,1
70,60,328,450,1
71,120,293,454,1
72,120,291,756,1
73,160,265,593,1
74,160,273,624,1
75,120,511,503,2
76,200,297,350,1
77,120,347,606,2
78,200,277,625,1
79,120,255,445,1
80,200,249,799,1
81,30,299,433,1
82,160,416,587,1
83,60,300,671,1
84,60,244,429,1
85,30,0,504,2
86,200,352,514,2
87,250,398,765,1
88,60,458,781,2
89,200,302,768,2
90,60,312,601,1
91,90,261,554,1
92,200,294,602,1
93,250,383,750,1
94,30,0,384,1
95,160,241,635,1
96,30,0,705,2
97,160,451,390,1
98,60,260,687,1
99,160,412,550,2
100,250,292,649,1
101,120,296,369,1
102,160,317,360,1
103,90,0,379,2
104,160,0,497,1
105,250,284,748,1
106,250,402,556,2
107,250,378,681,2
108,60,256,681,1
109,200,276,653,1
110,90,365,736,2
111,160,0,538,1
112,60,301,583,1
113,120,474,455,1
114,200,421,727,1
115,200,370,382,2
116,200,309,618,1
117,60,358,798,2
118,30,383,537,1
119,200,324,721,1
120,90,404,628,2
121,60,270,462,1
122,200,347,437,2
123,250,420,645,2
124,160,405,520,1
125,200,408,704,2
126,200,370,770,2
127,250,413,589,1
128,160,369,669,2
129,250,336,534,2
130,160,344,576,1
131,160,361,369,2
132,250,396,762,1
133,60,301,570,1
134,250,448,638,1
135,160,242,744,1
136,30,0,455,2
137,160,284,676,2
138,30,0,667,1
139,160,294,776,1
140,60,279,745,1
141,160,540,683,2
142,160,402,537,1
143,90,371,378,1
144,160,380,507,2
145,250,369,458,2
146,120,342,744,2
147,200,331,436,2
148,200,361,456,2
149,200,0,596,1
150,60,410,725,2
151,30,352,721,1
152,90,367,763,2
153,30,250,792,1
154,120,304,441,2
155,120,417,443,2
156,30,657,430,1
157,160,293,793,1
158,120,0,449,1
159,30,0,309,2
160,60,292,377,1
161,30,0,552,2
162,30,0,632,1
163,60,428,521,1
164,30,0,510,1
165,160,295,638,1
166,200,387,300,1
167,250,360,456,1
168,160,0,353,2
169,120,415,609,1
170,120,435,736,2
171,120,0,616,2
172,160,390,799,1
173,30,0,474,2
174,120,387,384,1
175,120,337,608,1
176,120,282,725,1
177,60,271,691,1
178,120,308,578,1
179,250,400,403,1
180,120,273,564,1
181,90,390,744,1
182,160,341,668,1
183,90,442,441,2
184,60,480,689,2
185,60,276,337,1
186,160,298,741,1
187,30,0,503,2
188,60,236,724,1
189,30,0,599,1
190,90,232,720,1
191,160,354,491,1
192,200,333,330,1
193,90,328,722,1
194,30,272,477,1
195,30,0,789,2
196,160,270,773,1
197,200,292,518,1
198,200,0,374,2
199,30,0,768,2
200,30,293,382,1
201,160,397,692,1
202,90,249,521,1
203,250,380,543,1
204,250,471,704,2
205,120,325,525,1
206,160,274,468,2
207,120,343,302,1
208,250,323,761,1
209,120,430,446,2
210,60,366,329,1
211,30,0,737,2
212,250,528,756,1
213,160,435,575,2
214,30,350,507,1
215,200,453,453,1
216,60,292,551,1
217,90,449,540,1
218,90,294,350,1
219,160,522,794,1
220,200,465,354,1
221,60,288,323,1
222,160,296,350,1
223,160,261,417,1
224,90,305,432,1
225,90,0,693,2
226,250,352,424,1
227,120,311,309,2
228,160,383,358,2
229,60,638,486,1
230,120,0,698,1
231,60,391,783,2
232,90,299,705,1
233,120,296,346,1
