trial, dist, RT, interstim, NumberofLED
1,120,0,634,2
2,250,412,779,1
3,90,0,541,2
4,200,0,501,1
5,250,410,303,1
6,200,577,318,1
7,200,350,361,1
8,60,285,779,1
9,90,279,690,1
10,160,429,342,1
11,200,356,374,2
12,120,387,567,2
13,60,371,674,2
14,200,296,406,1
15,90,387,415,2
16,120,334,639,1
17,90,271,553,1
18,120,397,646,2
19,60,472,661,1
20,30,311,494,1
21,200,0,565,2
22,30,296,779,1
23,60,481,740,1
24,30,351,348,1
25,200,419,354,2
26,30,0,410,1
27,90,371,553,2
28,30,369,349,1
29,160,410,707,2
30,60,319,703,1
31,250,362,427,1
32,30,376,445,1
33,160,349,662,2
34,160,297,751,1
35,90,471,798,1
36,60,291,388,1
37,60,316,466,1
38,120,286,307,1
39,120,0,334,2
40,250,329,732,1
41,30,0,746,2
42,90,374,419,1
43,90,632,355,1
44,160,316,782,2
45,60,374,541,2
46,60,338,789,1
47,90,291,465,1
48,120,324,395,1
49,60,279,654,1
50,120,376,778,1
51,160,415,406,2
52,30,0,654,1
53,60,390,792,1
54,200,542,475,2
55,200,756,593,2
56,250,652,576,1
57,30,331,653,1
58,30,0,705,1
59,30,0,524,1
60,120,303,644,1
61,90,464,503,2
62,30,309,608,1
63,60,382,441,2
64,30,0,481,1
65,60,320,651,2
66,90,326,697,2
67,160,368,304,1
68,250,0,462,1
69,30,0,733,1
70,90,357,707,1
71,90,313,684,1
72,200,388,781,1
73,120,327,353,1
74,160,301,374,1
75,200,515,532,1
76,30,315,543,1
77,160,550,648,2
78,60,412,603,2
79,200,258,534,1
80,90,355,448,1
81,30,0,631,1
82,30,0,388,2
83,30,360,345,1
84,30,288,474,1
85,30,323,617,1
86,30,0,314,1
87,250,357,304,1
88,250,465,696,2
89,160,356,754,1
90,200,400,514,1
91,160,349,721,1
92,120,391,344,1
93,90,256,550,1
94,90,305,490,1
95,60,379,312,2
96,30,306,756,1
97,120,392,717,2
98,250,0,314,2
99,120,357,585,1
100,60,336,493,2
101,120,364,599,1
102,90,356,468,1
103,30,0,452,1
104,200,458,738,1
105,90,0,649,1
106,160,342,564,1
107,90,319,508,1
108,90,415,515,2
109,60,398,326,1
110,250,381,477,2
111,160,387,425,2
112,200,623,466,1
113,250,363,685,1
114,200,367,615,1
115,30,0,671,1
116,200,451,664,1
117,200,358,714,2
118,160,311,633,1
119,60,388,463,1
120,90,454,344,2
121,60,284,605,1
122,30,0,707,2
123,30,0,333,1
124,90,400,603,1
125,160,346,457,1
126,90,338,436,1
127,120,387,445,1
128,160,539,699,1
129,250,423,587,2
130,90,262,794,1
131,250,504,479,1
132,120,432,318,1
133,60,275,750,1
134,160,331,435,2
135,90,289,650,1
136,90,324,435,1
137,160,303,328,2
138,200,408,493,2
139,120,0,605,1
140,90,242,324,1
141,160,517,647,2
142,160,389,722,1
143,30,287,672,1
144,60,344,584,1
145,30,0,688,2
146,160,387,388,2
147,200,420,562,1
148,90,0,419,2
149,30,0,644,1
150,250,433,748,2
151,200,380,420,1
152,160,344,586,1
153,30,0,670,1
154,120,397,612,1
155,250,419,756,1
156,200,339,398,2
157,90,326,777,2
158,200,364,610,1
159,160,429,758,1
160,90,384,527,1
161,250,397,339,2
162,120,0,559,2
163,160,0,635,2
164,60,415,435,2
165,60,366,370,2
166,250,474,502,1
167,30,0,703,1
168,90,468,755,1
169,60,434,389,2
170,250,547,359,1
171,120,545,417,2
172,200,630,458,1
173,120,621,450,2
174,250,343,346,1
175,200,332,672,1
176,60,364,433,1
177,30,0,332,2
178,120,359,375,1
179,90,363,707,1
180,90,428,713,2
181,60,386,489,2
182,60,403,388,2
183,30,453,569,1
184,250,366,758,1
185,90,399,399,1
186,120,309,443,1
187,60,353,513,1
188,250,0,478,2
189,250,552,560,2
190,30,325,729,1
191,60,322,752,2
192,200,528,544,1
193,160,379,779,1
194,160,395,501,2
195,200,540,458,2
196,160,536,463,1
197,60,380,755,1
198,200,0,630,2
199,30,0,523,1
200,60,353,570,1
201,90,410,374,2
202,30,0,760,1
203,160,462,535,2
204,250,424,791,1
205,250,575,384,2
206,250,965,476,1
207,60,419,619,2
208,200,462,305,1
209,30,0,487,1
210,200,595,663,1
211,200,372,415,1
212,250,524,666,1
213,250,493,454,1
214,90,462,716,2
215,160,415,426,2
216,90,354,504,1
217,200,387,417,2
218,120,429,793,1
219,200,588,338,1
220,30,0,578,1
221,160,443,600,2
222,160,367,608,2
223,90,422,631,1
224,90,414,575,1
225,120,353,673,1
226,120,369,712,2
227,30,0,455,1
228,200,339,565,1
229,60,434,341,2
230,90,436,733,1
231,120,445,306,1
232,30,0,489,1
233,30,342,650,1
234,200,0,585,1
235,90,567,624,1
236,60,391,727,2
237,30,0,531,1
238,250,0,797,2
239,30,0,489,1
240,200,312,540,1
241,60,372,478,1
242,60,472,364,2
243,30,0,382,1
244,250,468,726,2
