trial, dist, RT, interstim, NumberofLED
1,90,273,669,1
2,250,351,628,1
3,120,429,761,2
4,200,356,311,2
5,30,320,528,1
6,200,481,392,2
7,200,682,767,1
8,120,337,683,2
9,30,419,755,1
10,90,549,791,2
11,120,330,624,2
12,200,315,755,1
13,90,245,628,1
14,250,0,717,2
15,250,340,792,1
16,250,374,364,1
17,120,342,729,1
18,60,330,470,1
19,60,371,707,1
20,200,0,739,1
21,120,0,440,2
22,30,297,752,1
23,30,395,331,2
24,200,320,513,1
25,120,338,382,2
26,90,382,686,1
27,90,589,590,1
28,30,599,672,2
29,90,377,704,2
30,160,418,782,1
31,90,308,720,1
32,60,383,561,2
33,160,367,448,2
34,250,305,677,1
35,90,432,359,2
36,120,303,384,1
37,60,381,495,2
38,90,407,374,2
39,60,313,568,1
40,250,495,580,1
41,160,412,546,2
42,200,476,665,2
43,200,379,332,2
44,120,327,798,1
45,90,391,304,2
46,120,327,600,1
47,60,340,379,2
48,200,404,315,1
49,160,328,499,1
50,250,0,732,2
51,30,316,472,2
52,250,576,602,2
53,250,441,590,1
54,250,639,517,1
55,30,342,364,2
56,90,399,311,1
57,120,318,748,1
58,200,471,587,1
59,250,378,597,1
60,120,313,792,1
61,60,394,634,2
62,90,433,568,2
63,160,373,333,1
64,90,392,346,2
65,120,402,385,2
66,30,264,573,1
67,120,301,758,1
68,30,323,496,1
69,120,422,605,1
70,120,336,431,1
71,200,470,508,1
72,60,447,390,2
73,250,518,305,1
74,120,551,499,2
75,160,466,713,1
76,90,324,797,1
77,250,553,781,1
78,120,491,315,1
79,90,397,515,1
80,200,470,729,1
81,160,373,443,1
82,60,311,330,1
83,160,390,490,1
84,200,0,688,1
85,30,305,569,1
86,90,395,618,2
87,200,466,312,1
88,60,0,336,1
89,160,411,311,2
90,60,406,667,2
91,250,0,571,2
92,120,357,477,1
93,30,315,702,2
94,30,461,593,2
95,90,347,435,2
96,90,414,573,1
97,90,430,666,1
98,90,319,312,2
99,30,305,526,1
100,90,377,662,1
101,30,315,776,2
102,30,441,357,1
103,250,442,508,1
104,250,559,728,1
105,160,456,493,1
106,90,459,306,2
107,30,387,604,2
108,120,235,759,1
109,160,281,779,1
110,160,463,521,1
111,90,425,723,1
112,30,323,692,2
113,30,294,308,1
114,120,318,703,2
115,60,496,505,2
116,250,595,619,1
117,250,462,652,1
118,160,516,435,1
119,60,284,544,1
120,250,392,595,1
121,160,322,598,1
122,250,340,798,1
123,200,0,491,1
124,200,410,531,2
125,60,366,364,2
126,60,399,613,2
127,120,348,380,2
128,160,428,772,1
129,90,257,719,1
130,120,265,383,1
131,60,302,343,1
132,250,269,563,1
133,120,266,538,1
134,90,404,432,2
135,160,302,616,1
136,60,398,779,2
137,200,288,674,1
138,250,0,331,2
139,120,389,720,1
140,250,0,384,2
141,250,363,520,1
142,120,346,510,1
143,160,521,796,1
144,60,376,346,1
145,200,0,646,1
146,200,305,492,1
147,90,569,421,2
148,200,323,571,1
149,60,353,663,2
150,30,385,477,1
151,250,0,681,1
152,90,280,785,1
153,200,267,733,1
154,120,350,594,2
155,90,264,676,1
156,60,528,740,1
157,60,325,427,2
158,30,301,328,1
159,120,341,592,1
160,90,419,446,2
161,250,368,497,1
162,90,303,413,1
163,30,250,724,1
164,200,440,464,2
165,250,375,460,1
166,250,0,682,2
167,60,329,398,1
168,30,303,595,1
169,90,373,719,1
170,90,354,786,2
171,30,324,425,1
172,250,487,513,1
173,250,435,665,2
174,120,504,342,2
175,60,363,374,1
176,200,533,598,1
177,160,424,316,1
178,200,338,622,1
179,90,400,544,1
180,30,429,795,1
181,90,385,393,1
182,120,318,577,1
183,90,425,767,1
184,250,632,438,1
185,90,277,475,1
186,90,358,760,1
187,90,431,511,1
188,30,363,614,1
189,60,376,785,2
190,120,483,624,2
191,60,348,426,1
192,200,507,393,1
193,30,458,427,2
194,120,369,424,1
195,60,372,668,1
196,200,395,322,1
197,250,463,332,1
198,250,636,319,2
199,250,478,591,2
200,90,374,720,2
201,90,419,549,2
202,250,424,710,1
203,160,566,733,2
204,200,656,633,1
205,90,445,393,1
206,160,635,489,2
207,30,0,507,1
208,120,237,717,1
209,30,328,642,1
210,60,320,619,1
211,30,317,643,1
212,90,623,437,1
213,30,584,594,2
214,120,423,548,1
