trial, dist, RT, interstim, NumberofLED
1,120,331,634,2
2,250,238,779,1
3,90,407,541,2
4,200,484,501,1
5,250,403,303,1
6,200,259,318,1
7,200,257,361,1
8,60,267,779,1
9,90,324,690,1
10,160,0,342,1
11,200,520,374,2
12,120,573,567,2
13,60,394,674,2
14,200,235,406,1
15,90,362,415,2
16,120,260,639,1
17,90,362,553,1
18,120,523,646,2
19,60,0,661,1
20,30,270,494,1
21,200,343,565,2
22,30,251,779,1
23,60,320,740,1
24,30,345,348,1
25,200,413,354,2
26,30,489,410,1
27,90,371,553,2
28,30,321,349,1
29,160,376,707,2
30,60,334,703,1
31,250,304,427,1
32,30,553,445,1
33,160,442,662,2
34,160,357,751,1
35,90,331,798,1
36,60,341,388,1
37,60,272,466,1
38,120,327,307,1
39,120,382,334,2
40,250,289,732,1
41,30,342,746,2
42,90,528,419,1
43,90,305,355,1
44,160,618,782,2
45,60,330,541,2
46,60,218,789,1
47,90,310,465,1
48,120,330,395,1
49,60,348,654,1
50,120,330,778,1
51,160,299,406,2
52,30,260,654,1
53,60,257,792,1
54,200,325,475,2
55,200,316,593,2
56,250,366,576,1
57,30,465,653,1
58,30,382,705,1
59,30,391,524,1
60,120,267,644,1
61,90,325,503,2
62,30,286,608,1
63,60,325,441,2
64,30,326,481,1
65,60,348,651,2
66,90,418,697,2
67,160,315,304,1
68,250,448,462,1
69,30,584,733,1
70,90,285,707,1
71,90,303,684,1
72,200,357,781,1
73,120,373,353,1
74,160,317,374,1
75,200,0,532,1
76,30,320,543,1
77,160,413,648,2
78,60,438,603,2
79,200,372,534,1
80,90,334,448,1
81,30,351,631,1
82,30,434,388,2
83,30,375,345,1
84,30,507,474,1
85,30,539,617,1
86,30,424,314,1
87,250,496,304,1
88,250,540,696,2
89,160,347,754,1
90,200,519,514,1
91,160,380,721,1
92,120,362,344,1
93,90,640,550,1
94,90,331,490,1
95,60,453,312,2
96,30,295,756,1
97,120,363,717,2
98,250,0,314,2
99,120,484,585,1
100,60,395,493,2
101,120,323,599,1
102,90,284,468,1
103,30,366,452,1
104,200,323,738,1
105,90,301,649,1
106,160,328,564,1
107,90,518,508,1
108,90,397,515,2
109,60,322,326,1
110,250,659,477,2
111,160,468,425,2
112,200,525,466,1
113,250,401,685,1
114,200,314,615,1
115,30,375,671,1
116,200,528,664,1
117,200,422,714,2
118,160,337,633,1
119,60,268,463,1
120,90,406,344,2
121,60,285,605,1
122,30,353,707,2
123,30,343,333,1
124,90,310,603,1
125,160,384,457,1
126,90,385,436,1
127,120,349,445,1
128,160,380,699,1
129,250,585,587,2
130,90,304,794,1
131,250,376,479,1
132,120,395,318,1
133,60,383,750,1
134,160,428,435,2
135,90,354,650,1
136,90,341,435,1
137,160,388,328,2
138,200,495,493,2
139,120,357,605,1
140,90,394,324,1
141,160,376,647,2
142,160,363,722,1
143,30,369,672,1
144,60,280,584,1
145,30,351,688,2
146,160,446,388,2
147,200,0,562,1
148,90,650,419,2
149,30,548,644,1
150,250,472,748,2
151,200,400,420,1
152,160,346,586,1
153,30,302,670,1
154,120,281,612,1
155,250,616,756,1
156,200,437,398,2
157,90,371,777,2
158,200,357,610,1
159,160,382,758,1
160,90,575,527,1
161,250,0,339,2
162,120,340,559,2
163,160,372,635,2
164,60,312,435,2
165,60,0,370,2
166,250,307,502,1
167,30,312,703,1
168,90,265,755,1
169,60,430,389,2
170,250,414,359,1
171,120,415,417,2
172,200,0,458,1
173,120,311,450,2
174,250,0,346,1
175,200,354,672,1
176,60,348,433,1
177,30,355,332,2
178,120,362,375,1
179,90,303,707,1
180,90,0,713,2
181,60,252,489,2
182,60,420,388,2
183,30,377,569,1
184,250,389,758,1
185,90,367,399,1
186,120,310,443,1
187,60,337,513,1
188,250,0,478,2
189,250,0,560,2
190,30,319,729,1
191,60,400,752,2
192,200,0,544,1
193,160,318,779,1
194,160,299,501,2
195,200,327,458,2
196,160,361,463,1
197,60,254,755,1
198,200,253,630,2
199,30,479,523,1
200,60,375,570,1
201,90,0,374,2
202,30,0,760,1
203,160,367,535,2
204,250,405,791,1
205,250,0,384,2
206,250,501,476,1
207,60,423,619,2
208,200,397,305,1
209,30,339,487,1
210,200,612,663,1
211,200,381,415,1
212,250,352,666,1
213,250,375,454,1
214,90,234,716,2
215,160,442,426,2
216,90,397,504,1
