trial,dist,RT,interstim,NumberofLED
1,30,331,425,1
2,30,278,413,1
3,90,0,301,2
4,30,363,725,2
5,200,260,583,2
6,90,337,319,2
7,60,295,779,2
8,60,263,396,2
9,160,255,701,2
10,250,553,535,2
11,30,317,548,1
12,60,324,426,1
13,60,286,586,1
14,90,292,536,1
15,200,366,485,2
16,160,470,706,1
17,250,453,556,1
18,90,359,362,2
19,250,0,602,1
20,250,312,408,2
21,30,295,717,1
22,250,573,307,1
23,60,369,622,2
24,90,0,706,2
25,160,282,784,2
26,200,0,472,1
27,200,332,780,2
28,90,359,641,2
29,30,0,400,2
30,90,364,316,2
31,90,394,511,1
32,90,326,326,2
33,250,380,662,1
34,60,372,515,1
35,90,418,696,1
36,120,408,592,2
37,250,321,650,2
38,60,326,765,2
39,120,337,527,2
40,250,541,312,1
41,200,513,302,2
42,200,409,515,1
43,250,430,578,2
44,120,331,557,2
45,60,325,318,2
46,250,350,360,2
47,250,430,585,2
48,250,509,799,1
49,200,0,704,2
50,120,368,408,2
51,160,384,722,1
52,200,365,547,1
53,160,324,766,1
54,90,345,303,1
55,90,289,360,1
56,250,412,364,2
57,200,0,365,2
58,120,416,746,1
59,60,310,478,1
60,30,290,575,2
61,90,306,418,2
62,200,0,622,2
63,60,371,462,1
64,120,356,466,2
65,160,0,350,1
66,90,389,619,1
67,30,346,317,1
68,200,0,764,2
69,60,433,407,1
70,30,0,451,1
71,250,374,423,1
72,160,385,419,2
73,160,331,700,2
74,200,306,646,1
75,250,279,494,1
76,250,315,524,1
77,30,331,422,1
78,160,311,349,1
79,120,354,729,2
80,200,338,376,2
81,250,545,790,1
82,200,347,656,2
83,120,341,322,2
84,160,382,468,1
85,90,405,670,1
86,60,436,743,1
87,120,321,753,1
88,60,331,355,1
89,60,291,633,1
90,250,453,540,1
91,90,298,696,1
92,250,471,600,2
93,160,374,523,1
94,30,298,615,1
95,200,359,613,2
96,60,280,546,1
97,160,374,475,2
98,250,363,502,2
99,60,298,636,2
100,90,350,564,1
101,120,399,308,2
102,160,549,711,1
103,30,372,555,1
104,250,410,582,1
105,60,306,746,2
106,30,298,389,2
107,120,0,443,2
108,30,0,599,2
109,90,286,450,2
110,90,333,335,2
111,160,388,416,1
112,60,398,751,2
113,160,335,762,2
114,250,435,460,2
115,160,237,701,2
116,90,292,512,1
117,120,369,785,1
118,60,296,594,2
119,200,452,307,1
120,90,446,359,2
121,90,347,355,2
122,30,288,498,2
123,60,278,372,2
124,200,270,473,2
125,120,0,318,1
126,30,0,470,2
127,200,333,754,1
128,30,0,705,1
129,250,462,642,2
130,250,422,662,1
131,160,336,604,1
132,60,322,506,1
133,60,320,625,1
134,250,474,790,2
135,30,360,366,2
136,30,299,490,2
137,90,293,521,2
138,160,457,339,1
139,200,349,496,1
140,120,336,355,2
141,200,378,654,2
142,120,368,407,1
143,200,407,321,1
144,30,331,673,2
145,200,388,588,2
146,200,338,550,1
147,60,453,573,1
148,60,308,706,1
149,250,453,389,2
150,90,266,635,2
151,250,0,681,2
152,200,279,696,2
153,160,309,645,2
154,200,354,427,2
155,200,363,673,2
156,160,360,582,1
157,120,470,729,2
158,160,483,540,2
159,30,332,497,2
160,90,410,396,1
161,30,325,663,1
162,60,316,765,2
163,120,358,600,1
164,30,370,464,1
165,30,335,403,2
166,160,339,514,1
167,90,310,680,1
168,160,402,367,1
169,200,369,432,1
170,90,358,502,1
171,250,527,788,1
172,60,300,446,2
173,120,389,416,2
174,30,301,485,2
175,250,556,567,1
176,120,365,623,1
177,30,345,626,1
178,120,297,392,1
179,60,334,608,1
180,200,350,538,2
181,120,450,657,1
182,30,0,389,2
183,160,448,551,2
184,160,336,552,2
185,30,336,485,2
186,30,287,705,1
187,120,313,750,2
188,60,416,324,1
189,120,366,317,1
190,60,0,716,1
191,120,353,673,2
192,60,0,529,2
193,120,357,761,1
194,30,325,403,2
195,160,312,552,2
196,160,412,325,1
197,60,307,392,1
198,90,376,315,2
199,160,476,502,1
200,200,0,344,2
201,120,354,426,1
202,250,421,736,1
203,250,470,769,2
204,90,341,324,2
205,200,455,605,1
206,160,395,448,2
207,250,480,464,1
208,60,406,373,1
209,60,506,613,2
210,250,505,438,1
211,200,397,511,1
212,200,435,603,2
213,160,356,679,2
214,30,334,715,1
215,90,250,700,1
216,60,380,715,2
217,250,400,627,2
218,90,300,649,2
219,90,290,773,2
220,60,314,374,2
221,30,339,554,1
