trial,dist,RT,interstim,NumberofLED
1,200,0,529,2
2,60,0,791,2
3,160,393,381,1
4,200,0,424,2
5,30,460,687,1
6,250,403,449,1
7,120,338,643,1
8,90,417,361,2
9,30,401,554,1
10,160,453,642,2
11,30,278,477,1
12,250,448,562,1
13,160,568,459,2
14,120,513,326,2
15,30,296,490,1
16,60,352,611,1
17,250,382,731,1
18,250,462,380,1
19,30,564,376,2
20,60,485,465,1
21,250,435,646,1
22,250,489,654,2
23,90,273,673,1
24,60,288,647,1
25,250,382,564,1
26,30,403,729,2
27,60,0,795,2
28,30,444,586,2
29,120,434,363,1
30,250,524,760,2
31,120,399,548,1
32,160,416,391,1
33,160,445,304,1
34,30,338,473,1
35,90,416,321,1
36,90,632,341,1
37,120,519,732,2
38,90,387,459,1
39,120,417,632,1
40,60,0,688,2
41,30,512,640,2
42,30,0,681,1
43,160,431,718,1
44,200,540,587,1
45,120,498,605,2
46,30,863,356,1
47,250,698,723,1
48,120,501,488,1
49,250,585,619,1
50,90,338,769,1
51,200,986,355,1
52,90,421,310,1
53,160,489,751,2
54,120,377,496,1
55,250,400,633,1
56,200,365,577,1
57,200,0,721,2
58,160,456,353,1
59,90,350,511,1
60,90,387,553,1
61,90,470,463,2
62,90,341,581,1
63,160,315,471,1
64,250,696,592,2
65,90,652,449,2
66,30,367,716,1
67,60,0,501,2
68,250,532,654,1
69,120,423,764,1
70,160,533,388,1
71,200,0,712,2
72,160,512,748,2
73,120,534,497,2
74,60,462,499,1
75,90,388,636,1
76,90,471,487,2
77,160,398,749,1
78,60,0,761,1
79,30,0,738,1
80,200,772,752,1
81,120,672,342,2
82,120,765,562,2
83,60,726,410,1
84,250,602,332,1
85,90,525,761,2
86,90,459,461,2
87,120,401,780,2
88,200,872,335,1
89,60,544,436,1
90,160,442,555,1
91,160,416,524,1
92,60,407,592,1
93,60,718,447,1
94,60,0,328,1
95,200,0,443,2
96,160,511,305,1
97,200,0,370,2
98,160,319,673,1
99,120,506,321,1
100,120,747,633,2
101,160,552,774,1
102,90,625,301,1
103,200,532,343,1
104,90,499,562,2
105,120,348,470,1
106,250,532,544,1
107,90,390,514,1
108,200,363,783,1
109,60,508,320,1
110,30,349,345,1
111,250,592,678,2
112,160,471,435,1
113,200,398,610,1
114,200,0,498,1
115,120,0,522,2
116,30,392,652,1
117,200,692,424,1
118,90,391,393,1
119,30,509,358,1
120,250,0,304,1
121,60,657,571,1
122,250,514,532,1
123,60,425,716,1
124,30,357,322,1
125,160,354,501,1
126,60,344,521,1
127,90,336,408,1
128,160,353,771,1
129,250,357,778,1
130,160,530,396,2
131,90,396,748,1
132,250,435,678,1
133,200,462,697,1
134,160,521,766,2
135,30,383,385,1
136,250,823,338,2
137,160,548,698,2
138,30,485,575,2
139,120,567,356,2
140,160,515,450,1
141,30,363,634,1
142,30,496,333,2
143,90,462,437,2
144,200,0,715,2
145,250,277,760,1
146,90,398,778,2
147,90,393,644,1
148,250,385,791,1
149,200,442,671,1
150,160,408,617,2
151,250,674,393,2
152,250,634,749,1
153,200,0,475,2
154,250,396,361,1
155,200,0,547,2
156,60,495,522,1
157,160,315,714,1
158,30,303,531,1
159,120,419,356,1
160,160,550,402,2
161,160,439,548,2
162,120,532,418,2
163,200,0,703,2
164,200,0,799,2
165,200,0,540,1
166,160,363,497,1
167,60,655,409,1
168,160,524,750,1
169,90,394,439,1
170,160,635,478,2
171,90,346,341,1
172,200,965,531,1
173,30,364,363,1
174,200,0,441,2
175,90,324,659,1
176,90,301,413,1
177,60,0,406,2
178,200,341,456,1
179,120,632,550,2
180,200,731,767,1
181,90,0,450,2
182,250,572,735,1
183,120,375,646,1
184,60,413,762,1
185,90,341,641,1
186,250,384,335,1
187,60,469,635,2
188,30,541,490,1
189,90,462,584,2
190,200,733,530,1
191,200,341,570,1
192,30,414,509,2
193,90,268,710,1
194,250,675,691,1
195,30,429,315,2
196,30,314,782,1
197,90,482,736,2
198,200,0,740,1
199,160,348,562,1
200,200,372,600,1
201,90,501,669,1
202,250,0,339,2
203,250,476,408,2
204,30,461,750,1
205,250,430,413,1
206,200,0,456,2
207,60,345,503,1
208,30,348,695,1
209,160,574,311,1
210,250,320,681,1
211,30,337,323,1
212,250,383,788,1
213,200,0,433,2
214,160,346,370,1
215,90,326,670,1
216,60,0,798,2
217,250,487,651,2
218,160,458,612,1
219,30,278,625,1
220,30,397,768,1
221,30,417,584,1
222,160,485,463,2
223,30,324,346,1
224,30,350,541,1
225,90,342,370,1
226,60,0,639,2
227,200,0,340,1
228,200,337,768,1
229,200,839,380,1
230,90,0,616,2
231,60,626,425,2
232,160,441,632,1
233,160,485,640,2
234,160,417,791,2
