trial,dist,RT,interstim,NumberofLED
1,200,381,416,1
2,60,262,585,2
3,250,272,726,1
4,120,287,678,2
5,200,389,362,1
6,200,345,329,2
7,200,344,464,1
8,250,0,770,1
9,60,399,364,1
10,30,268,473,2
11,60,256,545,1
12,200,0,750,2
13,160,327,637,1
14,30,317,621,2
15,90,328,624,2
16,200,386,744,1
17,200,542,637,2
18,250,500,469,1
19,60,411,551,1
20,90,317,692,2
21,60,0,339,1
22,250,373,531,2
23,30,388,735,2
24,90,342,688,2
25,30,0,451,2
26,250,392,672,2
27,160,397,335,1
28,60,402,716,1
29,120,337,504,1
30,30,351,745,1
31,160,366,514,1
32,120,329,763,1
33,160,312,735,1
34,120,391,505,2
35,120,405,431,1
36,90,250,717,1
37,30,320,443,1
38,160,351,798,1
39,30,317,606,1
40,90,284,558,1
41,160,310,535,2
42,120,340,384,1
43,60,223,783,1
44,30,289,475,1
45,200,472,590,2
46,250,0,798,1
47,30,319,779,2
48,200,748,338,1
49,250,438,301,1
50,90,291,559,1
51,250,354,476,1
52,200,521,753,1
53,160,389,729,1
54,250,372,471,1
55,200,362,547,1
56,250,366,469,1
57,200,500,359,1
58,200,380,751,1
59,60,303,303,1
60,250,372,348,1
61,160,378,335,1
62,120,371,365,1
63,30,298,587,1
64,120,266,662,1
65,120,345,376,1
66,60,263,679,1
67,90,207,762,1
68,200,376,776,1
69,120,326,786,1
70,250,408,351,1
71,200,440,583,1
72,250,395,679,2
73,160,319,734,2
74,250,328,771,1
75,60,403,547,1
76,120,334,349,1
77,90,331,709,2
78,90,0,365,1
79,250,380,662,2
80,30,309,689,1
81,120,339,366,2
82,200,330,764,1
83,30,333,699,2
84,120,351,595,2
85,160,320,704,1
86,200,0,398,2
87,160,361,715,1
88,200,439,313,2
89,90,277,740,1
90,120,342,626,1
91,160,352,553,1
92,250,443,340,1
93,60,391,477,1
94,30,335,477,1
95,90,289,374,1
96,60,288,382,2
97,90,264,713,1
98,160,347,385,1
99,250,359,506,1
100,250,337,574,1
101,160,275,674,1
102,120,357,793,2
103,120,431,424,1
104,90,283,609,1
105,250,389,458,1
106,160,298,524,2
107,30,304,328,1
108,160,318,504,1
109,60,356,516,1
110,90,228,720,1
111,90,265,632,1
112,60,304,321,1
113,30,281,476,2
114,60,309,330,1
115,60,254,587,1
116,200,497,342,1
117,160,325,652,1
118,90,320,400,2
119,30,370,498,2
120,200,310,729,1
121,90,266,557,1
122,200,370,681,1
123,90,400,495,1
124,200,0,795,1
125,90,281,425,1
126,30,277,614,1
127,160,320,437,1
128,200,277,721,1
129,250,478,698,1
130,120,368,507,2
131,60,426,563,1
132,90,297,794,1
133,160,249,765,1
134,90,337,311,1
135,250,439,427,1
136,90,319,476,1
137,30,344,718,2
138,200,515,668,1
139,120,377,753,1
140,250,369,634,2
141,90,245,679,1
142,30,415,401,1
143,160,361,654,1
144,250,413,536,1
145,250,497,606,1
146,30,418,612,1
147,200,0,498,1
148,30,367,562,1
149,30,338,493,1
150,160,284,729,1
151,160,358,475,1
152,160,339,494,1
153,90,215,714,1
154,250,339,768,1
155,120,354,562,1
156,250,363,351,1
157,250,471,317,1
158,250,285,732,1
159,60,300,416,1
160,30,280,422,1
161,30,379,623,2
162,60,356,695,1
163,120,328,494,1
164,200,418,674,2
165,250,374,440,2
166,120,331,638,2
167,200,615,578,1
168,30,295,640,1
169,90,306,573,2
170,200,321,793,1
171,250,406,548,1
172,120,318,320,2
173,30,318,462,1
174,30,364,736,2
175,60,380,343,2
176,200,348,407,1
177,60,287,505,1
178,60,303,310,1
179,90,350,350,1
180,30,328,552,1
181,90,324,428,1
182,30,318,351,1
183,200,395,696,1
184,120,341,574,2
185,90,344,438,1
186,90,269,628,1
187,120,376,507,1
188,120,371,443,1
189,60,287,404,2
190,60,283,412,1
191,60,324,366,1
192,60,340,728,1
193,30,323,762,2
194,60,303,705,1
195,60,358,472,1
196,250,362,776,2
197,250,521,430,1
198,30,346,502,1
199,200,347,780,1
200,30,294,467,2
201,60,319,737,1
202,160,483,793,1
203,90,276,732,1
204,160,352,434,1
205,250,360,623,2
206,200,651,534,2
207,30,338,641,1
208,160,290,635,1
209,160,230,795,1
