trial,dist,RT,interstim,NumberofLED
1,90,480,706,2
2,200,466,756,2
3,120,413,700,2
4,90,477,524,1
5,60,451,777,2
6,30,691,591,2
7,60,512,381,1
8,60,476,787,2
9,160,396,386,1
10,250,425,426,2
11,160,401,751,2
12,160,432,534,1
13,160,368,560,1
14,90,364,608,2
15,160,354,568,1
16,90,338,688,1
17,30,595,493,1
18,250,612,437,2
19,30,515,628,1
20,120,513,781,1
21,90,425,795,2
22,200,569,634,2
23,120,416,601,1
24,120,636,492,2
25,60,383,577,1
26,30,626,310,1
27,120,361,466,1
28,90,350,484,1
29,90,397,316,1
30,120,394,359,1
31,160,568,403,1
32,160,343,655,1
33,200,366,519,2
34,90,402,596,1
35,120,372,624,1
36,160,419,476,1
37,120,387,475,2
38,60,440,749,1
39,250,381,349,1
40,250,397,470,1
41,160,362,676,2
42,30,449,408,1
43,30,408,509,1
44,120,360,585,2
45,120,452,365,1
46,200,426,432,1
47,60,360,648,1
48,200,643,524,1
49,90,347,584,1
50,250,355,688,1
51,250,377,374,1
52,60,357,565,2
53,160,374,647,1
54,90,347,719,1
55,30,800,421,2
56,120,820,618,1
57,90,784,495,1
58,30,429,753,2
59,250,653,777,2
60,200,924,666,2
61,250,520,755,1
62,250,530,311,1
63,30,549,647,2
64,60,518,384,1
65,250,602,472,1
66,200,537,717,1
67,60,423,303,1
68,200,496,513,1
69,120,588,348,1
70,160,366,566,1
71,200,516,492,1
72,160,666,613,2
73,160,399,522,1
74,30,342,668,1
75,90,332,755,1
76,30,401,737,2
77,60,408,411,1
78,120,353,534,1
79,90,407,423,2
80,30,384,797,1
81,60,449,435,1
82,200,384,612,1
83,120,556,329,1
84,60,397,458,2
85,60,363,492,1
86,90,490,339,2
87,160,639,667,1
88,160,400,738,1
89,160,322,751,1
90,60,462,708,2
91,160,610,306,1
92,120,327,336,1
93,250,447,418,1
94,200,377,653,1
95,120,395,636,2
96,30,0,627,2
97,30,535,519,1
98,30,0,750,2
99,30,465,625,2
100,160,519,707,1
101,30,508,671,2
102,90,453,606,2
103,200,525,353,1
104,60,553,610,1
105,60,402,600,1
106,250,549,631,1
107,30,551,693,1
108,120,645,393,1
109,60,508,504,1
110,160,375,456,1
111,200,435,638,1
112,250,432,759,1
113,120,486,679,1
114,60,518,596,2
115,30,838,789,1
116,90,366,318,1
117,160,374,425,1
118,200,456,420,2
119,250,632,641,1
120,30,412,649,1
121,90,387,342,2
122,120,482,684,2
123,120,394,761,2
124,90,411,380,2
125,60,391,660,2
126,160,515,431,2
127,90,422,716,1
128,120,394,571,2
129,250,425,433,1
130,250,696,358,2
131,30,522,454,2
132,30,482,514,2
133,250,400,659,1
134,60,387,473,2
135,160,384,397,1
136,120,422,782,1
137,250,468,605,2
138,90,436,479,1
139,120,402,755,2
140,90,451,739,2
141,60,531,506,2
142,250,439,476,1
143,30,590,390,2
144,60,513,592,2
145,200,518,750,2
146,120,536,392,2
147,160,529,515,1
148,60,516,306,1
149,120,451,400,1
150,60,455,761,1
151,200,406,421,1
152,90,453,467,2
153,200,418,324,2
154,200,463,619,1
155,30,377,791,1
156,200,971,599,2
157,120,655,485,1
158,120,385,721,1
159,30,725,612,1
160,120,0,672,2
161,160,444,394,1
162,30,412,766,1
163,200,584,630,2
164,30,348,755,1
165,30,382,780,1
166,30,499,775,1
167,30,486,637,2
168,200,458,424,2
169,200,425,673,1
170,30,552,531,2
171,200,905,396,1
172,90,801,466,2
173,60,394,788,1
174,160,734,573,1
175,90,369,464,1
176,30,464,367,2
177,120,363,653,1
178,160,558,325,1
179,120,406,683,1
180,250,558,660,1
181,200,559,703,2
182,160,506,545,1
183,120,505,703,2
184,250,569,435,2
185,90,419,775,1
186,60,651,765,2
187,90,336,751,1
188,200,334,614,1
189,30,566,305,2
190,160,472,514,1
191,160,445,355,2
192,250,458,305,1
193,120,426,771,2
194,200,579,585,2
195,200,547,686,1
196,200,454,561,1
197,90,354,745,1
198,250,580,722,1
199,200,815,505,1
200,60,340,527,1
201,60,508,474,1
202,60,550,304,2
203,30,472,478,1
