trial,dist,RT,interstim,NumberofLED
1,200,0,451,1
2,30,0,434,1
3,60,310,446,1
4,120,294,488,1
5,30,334,734,1
6,200,395,403,1
7,200,0,370,1
8,60,375,674,1
9,250,0,576,1
10,200,359,422,1
11,200,373,442,2
12,250,338,585,1
13,200,356,591,1
14,30,303,432,1
15,200,495,501,2
16,60,0,469,1
17,250,0,313,2
18,200,404,440,1
19,60,342,597,1
20,250,0,584,1
21,200,0,361,2
22,250,480,357,1
23,30,324,473,1
24,30,355,353,1
25,160,401,479,2
26,90,335,448,2
27,160,0,372,2
28,60,540,539,1
29,60,368,354,2
30,120,312,677,2
31,30,324,307,1
32,160,373,379,1
33,160,337,521,1
34,160,328,431,1
35,120,260,639,1
36,160,310,566,1
37,30,360,472,1
38,120,356,365,1
39,200,452,340,1
40,90,337,406,1
41,90,316,335,2
42,250,0,630,1
43,200,356,613,1
44,30,298,638,2
45,30,340,353,2
46,60,268,609,1
47,250,455,693,1
48,30,327,758,2
49,90,322,646,2
50,160,379,513,1
51,60,340,542,2
52,160,347,701,2
53,120,330,674,2
54,30,468,513,2
55,30,400,318,1
56,90,298,704,2
57,60,290,454,1
58,120,363,486,1
59,30,327,523,1
60,250,408,496,2
61,160,486,466,1
62,160,405,325,1
63,120,397,479,1
64,200,347,674,1
65,200,365,610,1
66,30,0,555,1
67,30,284,363,1
68,250,337,310,1
69,30,367,658,2
70,60,296,575,1
71,90,365,407,2
72,90,357,788,1
73,30,347,686,1
74,160,380,396,1
75,30,317,581,2
76,200,403,603,2
77,160,381,342,2
78,200,367,577,1
79,120,286,643,1
80,120,395,470,2
81,30,327,678,1
82,250,444,559,1
83,160,360,344,2
84,60,347,309,1
85,160,437,303,1
86,250,440,349,1
87,120,395,723,1
88,30,304,600,1
89,120,280,797,1
90,250,476,779,1
91,250,370,403,1
92,250,371,473,1
93,250,363,629,2
94,200,343,580,2
95,120,313,497,1
96,90,249,699,1
97,60,320,662,2
98,30,301,530,1
99,160,301,594,1
100,60,255,743,1
101,90,284,498,1
102,30,278,682,2
103,60,403,627,1
104,120,389,452,1
105,60,342,302,1
106,60,279,766,1
107,160,361,424,2
108,200,376,395,2
109,160,367,469,1
110,30,293,764,2
111,250,365,430,2
112,120,340,547,1
113,60,274,599,2
114,200,379,418,2
115,90,293,568,2
116,250,308,797,1
117,90,316,533,1
118,200,305,529,2
119,30,311,533,1
120,90,298,360,2
121,90,253,784,1
122,200,350,455,1
123,160,319,583,1
124,250,0,722,1
125,30,305,577,1
126,30,296,468,1
127,160,330,616,1
128,60,316,648,1
129,250,472,301,1
130,30,292,522,1
131,90,258,640,1
132,60,332,674,1
133,60,316,518,1
134,90,272,534,1
135,30,283,584,2
136,120,315,577,1
137,120,322,477,1
138,200,345,523,2
139,60,360,336,1
140,200,556,739,1
141,250,471,399,1
142,160,0,315,1
143,250,382,350,1
144,200,442,610,2
145,250,441,631,1
146,60,395,482,1
147,60,0,304,2
148,250,437,389,1
149,200,323,533,2
150,90,260,704,2
151,60,311,484,2
152,120,386,371,1
153,120,606,426,1
154,200,323,734,2
155,90,302,318,1
156,120,312,692,1
157,120,317,387,1
158,120,284,523,1
159,250,394,550,1
160,160,304,699,2
161,200,429,671,1
162,120,340,340,1
163,120,357,589,1
164,120,340,386,1
165,200,300,452,1
166,250,0,473,1
167,200,341,627,1
168,160,407,573,2
169,250,442,772,2
170,250,493,371,1
171,250,356,691,2
172,200,393,482,2
173,160,365,491,1
174,120,296,724,1
175,30,371,465,1
176,200,330,747,1
177,200,397,696,1
178,200,330,783,1
179,60,305,520,1
180,90,0,632,1
181,60,317,392,1
182,120,321,549,1
183,160,342,788,1
184,200,397,553,1
185,160,450,524,2
186,120,305,664,2
187,60,304,633,1
188,120,449,439,1
189,250,393,347,1
190,90,238,596,1
191,30,422,309,2
192,120,368,524,1
193,120,394,785,2
194,120,348,475,1
195,200,366,706,1
196,200,461,601,1
197,60,329,603,2
198,120,405,583,1
199,160,318,767,1
200,60,367,408,1
201,250,380,472,1
202,250,347,600,1
203,250,384,392,1
204,90,0,379,2
205,250,343,682,1
206,120,353,325,2
207,200,0,562,1
208,250,382,505,2
209,200,404,736,2
210,160,351,587,1
211,250,401,339,2
212,200,372,686,2
213,120,329,669,1
214,250,421,342,1
215,30,302,766,2
216,30,288,574,1
217,250,444,758,2
218,160,404,478,1
