trial,dist,RT,interstim,NumberofLED
1,200,355,758,2
2,250,320,592,1
3,60,299,490,2
4,60,344,550,2
5,250,379,579,1
6,250,353,406,1
7,60,316,563,1
8,60,0,696,2
9,90,309,489,1
10,200,343,553,1
11,30,374,392,1
12,250,332,352,1
13,200,333,423,1
14,250,405,753,2
15,200,477,394,1
16,200,322,714,1
17,60,326,507,1
18,200,296,446,1
19,160,326,765,1
20,160,348,633,2
21,200,420,436,1
22,250,450,381,2
23,30,0,450,2
24,250,303,639,1
25,90,397,467,2
26,60,344,762,2
27,60,345,650,1
28,60,327,633,1
29,120,436,724,1
30,200,364,581,1
31,60,330,495,2
32,90,361,614,2
33,60,341,590,1
34,90,347,575,2
35,250,350,363,2
36,30,345,777,2
37,200,359,766,1
38,200,375,596,1
39,120,366,328,2
40,120,352,305,2
41,200,395,595,2
42,60,336,491,1
43,250,329,579,2
44,160,287,453,1
45,30,343,435,2
46,90,308,430,1
47,30,292,717,1
48,30,309,442,2
49,90,373,615,1
50,90,321,692,1
51,30,394,514,2
52,30,320,520,1
53,60,290,463,1
54,250,376,492,1
55,60,318,631,1
56,90,306,651,1
57,90,336,673,2
58,30,280,380,1
59,120,352,367,2
60,120,476,655,1
61,90,287,351,2
62,200,277,717,1
63,200,344,475,2
64,250,328,447,1
65,60,320,698,1
66,60,393,442,2
67,90,335,395,2
68,250,314,458,1
69,60,284,703,1
70,30,262,608,1
71,160,394,313,1
72,60,378,351,1
73,120,394,347,1
74,200,357,521,1
75,160,317,576,1
76,200,414,542,2
77,120,0,398,2
78,200,442,490,1
79,60,392,751,1
80,160,446,485,1
81,120,341,711,2
82,60,299,565,2
83,200,383,373,1
84,90,315,640,2
85,200,357,464,1
86,30,328,698,1
87,160,355,754,2
88,90,313,728,1
89,30,304,579,1
90,60,315,392,1
91,200,435,573,2
92,160,287,582,1
93,200,369,630,1
94,90,291,583,1
95,250,347,551,2
96,60,294,580,1
97,60,280,540,1
98,90,0,512,2
99,160,318,394,1
100,60,297,418,2
101,160,338,404,2
102,60,322,401,2
103,60,333,497,2
104,120,318,350,1
105,90,354,712,2
106,90,394,532,1
107,120,355,655,1
108,200,341,485,1
109,160,367,689,2
110,250,310,461,1
111,120,375,519,2
112,160,301,704,1
113,160,317,706,1
114,60,325,718,2
115,90,301,376,1
116,160,358,388,1
117,60,314,568,1
118,200,379,496,1
119,120,308,740,1
120,200,318,445,1
121,90,272,700,1
122,250,369,451,2
123,120,417,683,2
124,120,443,378,1
125,60,294,325,2
126,200,356,780,1
127,60,264,793,1
128,200,338,604,1
129,250,317,751,1
130,60,305,725,1
131,90,366,526,2
132,250,380,350,1
133,160,368,798,2
134,60,370,461,1
135,160,457,333,1
136,120,368,456,2
137,30,350,370,2
138,120,339,494,1
139,90,316,582,1
140,250,360,713,1
141,90,285,643,1
142,60,294,586,1
143,90,301,448,1
144,120,324,613,2
145,250,320,336,1
146,60,305,756,1
147,200,345,624,1
148,160,304,525,1
149,90,258,394,1
150,90,244,752,1
151,90,305,527,1
152,250,419,317,2
153,60,422,739,2
154,250,453,439,1
155,30,345,728,2
156,160,367,672,2
157,160,324,301,1
158,60,336,393,2
159,200,328,718,1
160,60,334,572,2
161,250,352,410,2
162,160,354,769,2
163,250,492,608,1
164,250,341,599,1
165,120,271,672,1
166,160,374,340,1
167,250,368,325,1
168,200,355,542,2
169,30,287,353,1
170,90,337,416,2
171,30,340,349,1
172,160,448,332,1
173,120,319,585,1
174,120,416,551,2
175,160,336,760,2
176,120,0,615,2
177,60,357,793,2
178,90,279,607,1
179,160,369,654,1
180,250,385,348,1
181,60,311,673,2
182,120,373,571,1
183,90,355,677,1
184,60,326,790,1
185,120,346,353,2
186,60,341,330,1
187,200,402,370,1
188,60,345,550,2
189,250,372,365,1
190,250,403,421,2
191,200,377,480,2
192,90,298,442,1
193,90,327,319,2
194,200,366,729,2
195,250,418,641,1
196,250,358,466,1
197,90,316,667,1
198,30,338,758,1
199,200,347,535,1
200,60,294,655,2
201,30,315,419,1
202,60,332,532,1
203,30,301,724,1
204,160,438,521,1
205,60,351,482,1
