trial,dist,RT,interstim,NumberofLED
1,200,0,723,2
2,250,0,596,1
3,250,0,770,1
4,60,0,740,1
5,160,0,707,1
6,250,350,685,1
7,30,287,657,1
8,250,324,792,1
9,160,337,777,1
10,30,316,604,1
11,120,321,495,1
12,200,475,517,2
13,160,334,469,2
14,200,526,795,1
15,60,307,370,1
16,90,346,489,1
17,30,286,684,1
18,250,360,622,1
19,160,259,719,1
20,30,270,741,1
21,30,318,561,1
22,250,384,408,2
23,30,365,712,1
24,90,241,621,1
25,200,403,586,1
26,200,387,486,2
27,60,371,613,2
28,60,368,310,2
29,250,379,374,2
30,90,316,502,1
31,160,286,702,1
32,60,344,645,2
33,60,313,304,2
34,30,307,649,1
35,250,453,302,2
36,200,360,428,1
37,250,347,737,2
38,30,352,382,2
39,200,325,594,1
40,120,287,457,2
41,60,285,795,2
42,200,346,745,1
43,90,353,749,1
44,160,367,437,1
45,200,393,672,2
46,250,350,619,2
47,90,0,303,1
48,200,386,522,1
49,250,341,770,1
50,250,355,738,1
51,200,378,448,2
52,30,284,572,1
53,90,298,518,1
54,200,418,450,2
55,250,406,360,1
56,30,348,416,1
57,250,0,578,1
58,90,245,498,1
59,120,376,647,2
60,120,308,507,1
61,120,359,720,2
62,120,350,757,1
63,90,348,436,1
64,120,294,582,1
65,250,375,464,1
66,90,232,713,1
67,120,371,441,2
68,250,350,424,2
69,160,411,331,1
70,200,339,737,1
71,60,289,489,1
72,200,396,389,1
73,60,395,395,2
74,30,390,396,1
75,200,341,395,2
76,160,0,641,2
77,60,299,765,2
78,120,370,778,2
79,160,301,770,1
80,60,434,704,2
81,250,327,546,2
82,250,0,623,1
83,60,538,728,1
84,160,433,426,1
85,250,377,512,2
86,200,412,747,1
87,200,565,746,2
88,30,292,441,2
89,30,309,522,1
90,200,340,739,2
91,120,274,723,1
92,120,316,596,1
93,30,381,478,2
94,160,502,627,1
95,200,387,428,1
96,250,411,763,2
97,90,317,591,2
98,250,484,514,1
99,30,342,453,1
100,30,343,396,1
101,30,280,727,1
102,160,323,512,2
103,90,343,794,1
104,90,306,507,1
105,30,305,368,2
106,200,322,643,1
107,200,387,706,2
108,160,394,741,2
109,90,335,736,2
110,90,382,417,2
111,200,429,721,1
112,60,346,625,1
113,120,272,730,1
114,120,316,777,1
115,60,297,542,1
116,90,290,433,1
117,120,354,540,1
118,90,311,367,1
119,120,334,705,1
120,90,314,314,1
121,90,256,473,1
122,250,476,677,1
123,60,0,742,1
124,120,329,451,1
125,120,0,673,2
126,160,299,426,1
127,60,0,614,2
128,120,299,677,1
129,250,534,648,2
130,160,331,710,2
131,60,310,449,1
132,30,276,470,2
133,60,367,398,1
134,30,0,385,2
135,160,323,529,1
136,90,294,708,2
137,200,0,758,1
138,160,327,639,1
139,160,353,499,1
140,30,301,755,2
141,250,378,423,1
142,160,352,525,1
143,30,420,605,1
144,200,445,539,1
145,250,436,311,2
146,30,360,386,1
147,60,334,318,2
148,200,293,698,1
149,160,396,501,1
150,160,375,424,1
151,200,422,518,2
152,30,341,440,2
153,60,409,674,1
154,30,518,473,2
155,90,382,325,1
156,30,342,478,1
157,30,353,731,2
158,160,358,749,2
159,30,321,584,2
160,160,0,648,1
161,60,410,715,1
162,60,362,624,2
163,250,452,513,1
164,30,582,387,2
165,160,429,513,2
166,60,366,505,1
167,30,397,776,1
168,60,322,756,2
169,120,312,654,1
170,60,276,691,1
171,250,366,706,2
172,90,366,523,1
173,30,404,556,1
174,60,374,563,1
175,200,363,638,1
176,160,373,775,2
177,120,402,602,1
178,200,366,634,1
179,160,278,484,2
180,200,330,768,1
181,90,325,562,1
182,60,313,520,2
183,120,340,585,1
184,250,0,458,1
185,60,353,767,2
186,30,297,794,1
187,30,359,744,1
188,90,312,701,1
189,30,321,422,1
190,200,423,590,1
191,30,330,684,1
192,30,324,646,1
193,250,495,796,1
194,120,333,459,1
195,90,388,760,2
196,30,278,641,1
197,30,286,494,2
198,200,363,530,1
199,250,330,548,1
200,30,274,567,1
201,90,289,684,1
202,200,411,725,1
203,120,328,564,1
204,250,379,723,1
205,90,276,776,1
206,60,321,604,1
207,30,361,684,2
208,90,0,309,1
209,30,354,542,1
210,60,349,433,1
211,200,405,338,1
212,200,367,344,2
213,250,341,681,1
214,30,307,585,1
215,120,367,637,2
216,60,298,723,1
217,30,315,389,1
