trial,dist,RT,interstim,NumberofLED
1,250,414,302,1
2,160,351,769,1
3,200,0,638,1
4,200,0,554,2
5,30,402,672,1
6,90,309,470,1
7,250,386,431,1
8,200,420,579,2
9,120,378,538,1
10,60,323,564,2
11,120,286,645,2
12,160,243,716,1
13,160,361,326,2
14,90,292,479,1
15,160,397,632,2
16,250,346,754,1
17,90,290,749,1
18,30,357,310,1
19,90,412,362,2
20,250,291,594,1
21,90,0,689,2
22,250,350,483,1
23,30,434,428,1
24,120,365,322,1
25,160,455,328,1
26,60,323,691,2
27,90,450,779,2
28,60,405,528,1
29,200,423,617,1
30,120,345,584,1
31,90,374,638,1
32,60,325,646,2
33,120,324,303,1
34,60,326,364,1
35,200,517,336,2
36,120,357,648,1
37,120,431,502,2
38,250,586,630,2
39,120,507,483,1
40,30,398,760,2
41,160,412,515,2
42,250,391,515,1
43,30,410,704,2
44,250,390,698,1
45,200,0,426,1
46,200,597,303,1
47,200,465,584,2
48,160,340,470,1
49,200,508,363,1
50,250,417,348,1
51,60,345,679,1
52,250,389,615,2
53,30,232,798,1
54,90,336,513,1
55,60,338,568,2
56,200,413,428,1
57,160,317,421,2
58,160,388,757,1
59,90,378,615,1
60,160,318,530,2
61,30,288,712,1
62,90,290,581,1
63,120,301,742,2
64,90,336,616,1
65,160,322,553,1
66,250,441,758,1
67,250,414,551,2
68,200,365,333,2
69,90,288,696,2
70,90,354,432,2
71,60,281,624,1
72,60,324,553,1
73,200,0,765,1
74,120,343,521,1
75,30,318,704,1
76,120,361,618,1
77,160,393,597,1
78,90,326,539,1
79,120,304,799,1
80,250,0,306,1
81,120,322,300,1
82,90,0,399,2
83,200,488,641,1
84,60,361,727,1
85,90,313,382,1
86,160,352,347,1
87,90,323,653,1
88,60,324,557,2
89,30,396,676,1
90,250,441,606,1
91,250,486,713,1
92,160,322,475,2
93,200,391,475,1
94,30,378,324,1
95,120,313,766,1
96,120,331,414,1
97,90,317,751,2
98,30,363,774,2
99,160,0,612,1
100,250,492,577,1
101,30,377,362,2
102,60,516,708,1
103,120,412,331,2
104,60,401,313,1
105,250,374,491,1
106,90,319,639,1
107,120,272,719,2
108,120,327,324,1
109,30,325,576,1
110,160,305,473,1
111,90,0,601,2
112,30,362,360,1
113,60,383,615,1
114,120,361,436,2
115,30,261,324,1
116,120,331,660,1
117,200,512,582,1
118,30,317,319,2
119,60,255,584,1
120,200,0,706,2
121,90,267,578,2
122,90,294,542,1
123,160,525,648,1
124,160,282,483,2
125,30,383,723,2
126,200,636,490,1
127,90,353,436,2
128,120,270,662,1
129,250,372,798,1
130,90,266,748,2
131,30,412,644,1
132,200,838,442,1
133,200,0,705,1
134,200,410,663,1
135,200,432,576,1
136,90,295,718,1
137,200,0,432,1
138,60,0,726,2
139,60,290,761,1
140,120,297,539,1
141,90,343,691,1
142,30,322,506,1
143,200,388,458,1
144,120,311,677,2
145,250,363,696,1
146,30,387,564,1
147,160,480,505,1
148,120,288,643,2
149,250,343,477,1
150,200,0,486,2
151,90,0,742,1
152,250,498,602,2
153,200,337,588,1
154,160,363,711,2
155,30,231,742,1
156,200,364,744,2
157,200,333,636,1
158,120,358,345,1
159,90,266,433,1
160,30,388,323,1
161,200,437,645,1
162,30,394,337,1
163,200,0,456,2
164,30,280,748,1
165,90,361,647,1
166,30,355,404,1
167,120,337,329,2
168,250,377,555,2
169,30,314,764,2
170,250,377,703,2
171,250,0,732,1
172,200,0,767,1
173,90,285,421,1
174,250,432,582,2
175,30,360,753,2
176,60,332,671,1
177,160,519,458,1
178,60,292,662,1
179,120,341,582,2
180,200,410,767,2
181,90,308,513,1
182,250,492,660,1
183,60,387,771,1
184,160,368,600,1
185,120,0,486,1
186,30,0,443,1
187,120,288,739,1
188,250,451,574,1
189,60,0,368,2
190,250,424,409,1
191,200,0,730,1
192,120,336,539,1
193,60,300,341,1
194,200,374,697,1
195,250,434,602,2
196,120,0,693,1
197,250,379,302,2
198,200,0,652,2
199,90,282,744,1
200,30,404,473,2
201,30,438,343,1
202,30,321,782,1
203,30,299,568,1
204,250,487,356,2
205,30,275,670,1
206,160,340,600,2
207,60,0,702,2
208,90,314,787,1
209,200,461,448,1
210,120,304,766,2
211,90,350,749,2
212,200,446,639,2
213,90,331,418,1
214,250,388,657,2
215,30,345,474,1
216,120,323,570,2
217,250,329,377,2
218,200,0,417,1
219,160,366,790,2
220,120,402,368,1
221,250,497,405,1
222,250,404,683,2
223,30,309,489,1
224,160,379,352,2
225,60,342,632,2
226,250,435,358,1
