,,,,
trial,dist,RT,interstim,NumberofLED
1,250,282,688,1
2,30,284,600,1
3,200,454,550,1
4,60,395,430,2
5,90,405,335,1
6,30,361,611,1
7,30,313,751,2
8,160,301,535,1
9,200,335,712,1
10,90,374,655,1
11,250,376,745,2
12,160,345,682,1
13,120,290,662,1
14,200,340,484,1
15,200,347,493,2
16,250,302,411,1
17,250,316,508,1
18,30,300,651,1
19,160,246,673,1
20,90,263,496,1
21,120,275,539,1
22,250,344,582,1
23,60,313,474,1
24,160,289,456,1
25,60,318,558,1
26,120,287,710,2
27,60,332,576,1
28,60,266,340,1
29,60,308,377,1
30,250,348,570,1
31,60,350,409,1
32,30,300,529,1
33,60,409,518,2
34,250,440,723,1
35,250,335,594,1
36,120,243,579,1
37,250,318,561,1
38,90,346,315,1
39,30,293,507,2
40,160,354,609,1
41,120,315,642,2
42,90,379,499,1
43,200,319,772,1
44,200,0,421,2
45,160,281,409,2
46,160,308,308,1
47,120,404,389,2
48,120,418,602,1
49,160,353,425,1
50,160,325,784,2
51,90,242,382,1
52,60,288,624,2
53,120,331,720,2
54,160,411,408,1
55,160,315,589,2
56,160,294,534,1
57,120,308,483,1
58,120,336,616,1
59,160,0,427,2
60,120,337,359,1
61,120,334,442,2
62,60,0,797,2
63,200,324,544,1
64,60,393,570,1
65,200,438,730,1
66,160,487,337,1
67,160,404,340,1
68,200,332,537,1
69,30,371,606,1
70,160,351,513,1
71,160,331,665,1
72,120,308,780,2
73,200,400,443,1
74,60,256,771,1
75,250,355,361,1
76,90,380,387,1
77,250,408,632,1
78,60,322,713,1
79,30,339,436,2
80,160,447,423,1
81,120,338,734,1
82,200,308,681,1
83,160,323,583,1
84,250,389,712,1
85,250,0,560,1
86,120,244,796,1
87,250,311,738,1
88,160,329,654,2
89,250,388,465,2
90,90,393,586,1
91,60,352,373,1
92,120,288,463,2
93,60,270,326,1
94,250,379,524,2
95,160,300,305,1
96,200,391,446,1
97,120,339,642,1
98,120,365,516,1
99,90,321,365,1
100,200,457,727,1
101,90,355,403,1
102,250,342,623,2
103,160,0,591,2
104,60,322,517,2
105,200,342,524,1
106,60,345,401,1
107,30,275,610,1
108,120,0,497,2
109,30,311,783,1
110,200,341,373,1
111,60,336,423,1
112,250,367,399,2
113,90,232,607,1
114,250,321,689,2
115,30,268,561,1
116,60,355,478,2
117,250,344,659,1
118,250,386,385,2
119,120,323,670,1
120,200,426,536,1
121,90,263,746,1
122,250,377,550,2
123,250,358,654,2
124,90,312,524,2
125,200,355,521,2
126,160,349,719,1
127,60,334,435,1
128,30,317,603,2
129,250,327,545,2
130,30,311,342,2
131,30,309,372,1
132,60,308,590,2
133,200,316,645,1
134,30,270,662,1
135,120,297,725,1
136,60,286,607,2
137,90,266,499,1
138,160,294,431,1
139,250,336,416,1
140,60,226,797,1
141,90,275,703,2
142,30,270,611,1
143,200,310,409,1
144,250,366,465,2
145,250,441,786,2
146,30,278,516,1
147,160,355,512,1
148,30,275,371,2
149,200,395,461,2
150,250,0,596,2
151,30,292,509,1
152,30,260,710,1
153,30,329,462,1
154,60,346,654,1
155,120,319,569,1
156,120,295,637,1
157,120,320,308,2
158,30,278,458,2
159,120,362,450,2
160,250,323,371,1
161,120,300,667,1
162,250,333,626,2
163,250,282,418,1
164,90,286,675,1
165,250,0,354,1
166,200,0,317,2
167,30,332,580,1
168,160,305,470,1
169,250,357,602,1
170,30,341,613,1
171,250,358,563,1
172,30,308,714,1
173,120,401,527,2
174,200,337,428,2
175,250,354,516,1
176,160,345,435,1
177,250,399,411,1
178,30,338,661,1
179,200,365,314,1
180,120,320,335,2
181,90,466,598,1
182,200,391,469,1
183,160,397,346,2
184,160,331,479,2
185,200,0,681,2
186,200,343,611,1
187,90,348,618,2
188,90,251,705,1
189,60,337,332,2
190,200,399,406,2
191,60,252,741,1
192,200,358,703,1
193,120,423,773,1
194,60,331,689,1
195,200,410,379,1
196,60,295,463,1
197,200,388,321,1
198,90,316,449,1
199,30,0,561,1
200,250,389,626,1
201,200,363,449,2
202,120,415,418,2
203,250,303,404,1
204,90,0,778,2
205,90,293,717,1
206,120,398,313,1
207,90,268,763,1
208,30,355,439,2
209,250,363,601,2
210,90,257,439,1
211,200,308,425,1
212,200,357,718,1
