trial,dist,RT,interstim,NumberofLED
1,200,0,416,1
2,60,0,585,2
3,250,0,726,1
4,120,0,678,2
5,200,552,362,1
6,200,0,329,2
7,200,389,464,1
8,250,522,770,1
9,60,403,364,1
10,30,344,473,2
11,60,302,545,1
12,200,406,750,2
13,160,370,637,1
14,30,308,621,2
15,90,334,624,2
16,200,342,744,1
17,200,364,637,2
18,250,251,469,1
19,60,336,551,1
20,90,320,692,2
21,60,307,339,1
22,250,338,531,2
23,30,352,735,2
24,90,324,688,2
25,30,331,451,2
26,250,345,672,2
27,160,298,335,1
28,60,307,716,1
29,120,327,504,1
30,30,0,745,1
31,160,318,514,1
32,120,345,763,1
33,160,411,735,1
34,120,319,505,2
35,120,321,431,1
36,90,261,717,1
37,30,390,443,1
38,160,287,798,1
39,30,310,606,1
40,90,250,558,1
41,160,404,535,2
42,120,302,384,1
43,60,242,783,1
44,30,405,475,1
45,200,415,590,2
46,250,379,798,1
47,30,339,779,2
48,200,330,338,1
49,250,0,301,1
50,90,274,559,1
51,250,334,476,1
52,200,0,753,1
53,160,289,729,1
54,250,421,471,1
55,200,411,547,1
56,250,476,469,1
57,200,391,359,1
58,200,455,751,1
59,60,341,303,1
60,250,436,348,1
61,160,360,335,1
62,120,379,365,1
63,30,320,587,1
64,120,314,662,1
65,120,358,376,1
66,60,341,679,1
67,90,254,762,1
68,200,442,776,1
69,120,326,786,1
70,250,441,351,1
71,200,300,583,1
72,250,350,679,2
73,160,307,734,2
74,250,345,771,1
75,60,331,547,1
76,120,312,349,1
77,90,338,709,2
78,90,490,365,1
79,250,410,662,2
80,30,284,689,1
81,120,366,366,2
82,200,316,764,1
83,30,322,699,2
84,120,0,595,2
85,160,272,704,1
86,200,423,398,2
87,160,223,715,1
88,200,370,313,2
89,90,233,740,1
90,120,281,626,1
91,160,343,553,1
92,250,408,340,1
93,60,293,477,1
94,30,358,477,1
95,90,306,374,1
96,60,344,382,2
97,90,259,713,1
98,160,304,385,1
99,250,347,506,1
100,250,428,574,1
101,160,305,674,1
102,120,335,793,2
103,120,278,424,1
104,90,254,609,1
105,250,355,458,1
106,160,368,524,2
107,30,302,328,1
108,160,285,504,1
109,60,285,516,1
110,90,254,720,1
111,90,324,632,1
112,60,289,321,1
113,30,282,476,2
114,60,257,330,1
115,60,380,587,1
116,200,379,342,1
117,160,306,652,1
118,90,345,400,2
119,30,330,498,2
120,200,282,729,1
121,90,242,557,1
122,200,353,681,1
123,90,320,495,1
124,200,378,795,1
125,90,288,425,1
126,30,399,614,1
127,160,287,437,1
128,200,268,721,1
129,250,455,698,1
130,120,344,507,2
131,60,322,563,1
132,90,228,794,1
133,160,338,765,1
134,90,339,311,1
135,250,381,427,1
136,90,283,476,1
137,30,300,718,2
138,200,314,668,1
139,120,262,753,1
140,250,368,634,2
141,90,289,679,1
142,30,314,401,1
143,160,294,654,1
144,250,321,536,1
145,250,320,606,1
146,30,276,612,1
147,200,372,498,1
148,30,328,562,1
149,30,282,493,1
150,160,303,729,1
151,160,343,475,1
152,160,375,494,1
153,90,278,714,1
154,250,374,768,1
155,120,301,562,1
156,250,320,351,1
157,250,358,317,1
158,250,251,732,1
159,60,313,416,1
160,30,0,422,1
161,30,355,623,2
162,60,319,695,1
163,120,240,494,1
164,200,366,674,2
165,250,361,440,2
166,120,324,638,2
167,200,393,578,1
168,30,345,640,1
169,90,287,573,2
170,200,228,793,1
171,250,338,548,1
172,120,356,320,2
173,30,269,462,1
174,30,271,736,2
175,60,0,343,2
176,200,413,407,1
177,60,304,505,1
178,60,334,310,1
179,90,277,350,1
180,30,346,552,1
181,90,296,428,1
182,30,325,351,1
183,200,431,696,1
184,120,374,574,2
185,90,271,438,1
186,90,251,628,1
187,120,325,507,1
188,120,363,443,1
189,60,337,404,2
190,60,411,412,1
191,60,341,366,1
192,60,278,728,1
193,30,323,762,2
194,60,274,705,1
195,60,311,472,1
196,250,365,776,2
197,250,474,430,1
198,30,362,502,1
199,200,348,780,1
200,30,272,467,2
201,60,287,737,1
202,160,354,793,1
203,90,264,732,1
204,160,372,434,1
205,250,380,623,2
206,200,371,534,2
207,30,399,641,1
208,160,319,635,1
209,160,275,795,1
210,160,336,593,2
211,250,466,426,1
