trial,dist,RT,interstim,NumberofLED
1,120,499,599,2
2,30,258,783,1
3,30,392,321,1
4,200,0,544,2
5,160,492,431,1
6,250,301,597,1
7,160,433,455,2
8,250,480,522,1
9,160,312,478,1
10,250,433,540,2
11,60,326,477,1
12,90,233,732,1
13,30,288,720,1
14,200,297,595,1
15,250,489,391,2
16,30,441,414,2
17,60,273,730,1
18,160,404,675,2
19,30,280,468,1
20,120,278,602,1
21,60,0,543,2
22,30,293,453,1
23,60,0,502,2
24,120,419,330,1
25,60,700,473,1
26,160,530,634,2
27,90,324,369,1
28,30,0,379,2
29,250,407,357,1
30,200,0,771,2
31,120,445,634,1
32,250,647,476,1
33,160,482,376,2
34,120,456,325,1
35,90,331,590,1
36,250,459,539,1
37,90,330,790,1
38,200,494,740,1
39,250,414,600,1
40,30,387,384,1
41,90,444,593,2
42,250,403,673,1
43,200,533,525,1
44,160,416,619,1
45,250,699,778,2
46,200,411,478,1
47,120,314,551,1
48,30,434,475,2
49,200,533,309,1
50,30,378,677,1
51,90,342,340,1
52,60,299,706,1
53,90,461,494,2
54,160,284,433,1
55,120,369,322,1
56,160,303,694,1
57,160,354,411,1
58,60,800,470,1
59,60,0,304,1
60,120,452,496,2
61,90,537,372,2
62,250,0,648,1
63,160,685,402,1
64,160,522,469,2
65,250,612,417,1
66,160,537,321,1
67,250,615,703,1
68,250,619,575,1
69,120,474,361,2
70,30,576,336,1
71,200,0,360,2
72,90,454,319,1
73,60,0,401,2
74,250,345,749,1
75,30,368,498,1
76,200,728,642,1
77,90,505,515,2
78,250,397,538,1
79,60,0,700,2
80,200,553,314,1
81,160,428,466,1
82,250,443,446,1
83,90,379,700,1
84,90,0,760,2
85,60,0,665,2
86,250,519,363,1
87,30,364,796,1
88,120,441,409,2
89,120,320,550,1
90,90,315,361,1
91,60,964,724,1
92,90,383,711,1
93,160,405,751,1
94,160,410,534,1
95,30,534,689,2
96,250,670,439,2
97,160,442,768,1
98,120,504,669,1
99,200,497,497,1
100,250,544,324,1
101,200,0,775,2
102,200,661,579,1
103,90,412,749,1
104,160,450,395,1
105,30,513,658,2
106,30,535,675,1
107,160,649,559,1
108,60,0,771,2
109,250,630,373,1
110,90,315,433,1
111,30,591,627,1
112,90,315,740,1
113,250,563,709,1
114,30,381,527,1
115,250,643,337,2
116,120,409,709,1
117,30,443,333,1
118,60,0,504,2
119,60,303,428,1
120,250,443,566,1
121,60,0,525,2
122,30,273,580,1
123,200,0,392,2
124,60,0,676,2
125,250,365,305,1
126,90,294,582,1
127,120,275,766,1
128,90,503,772,2
129,250,382,484,1
130,200,342,779,1
131,160,301,402,1
132,160,450,438,2
133,200,453,350,1
134,160,500,712,1
135,60,394,346,1
136,60,359,687,1
137,90,336,569,1
138,200,0,638,2
139,200,463,522,1
140,120,369,366,1
141,30,448,427,2
142,30,344,308,1
143,250,472,476,1
144,90,467,363,2
145,250,330,663,1
146,120,413,518,2
147,90,461,756,1
148,120,331,592,1
149,90,372,604,1
150,60,286,773,1
151,60,0,411,2
152,160,378,356,1
153,250,0,605,2
154,160,326,793,1
155,60,375,353,1
156,60,0,557,2
157,200,0,707,2
158,60,301,466,1
159,250,354,624,1
160,200,310,603,1
161,60,307,791,1
162,60,0,561,2
163,160,466,540,2
164,90,400,723,1
165,90,325,711,1
166,120,484,667,2
167,30,325,507,1
168,200,396,469,1
169,160,314,690,1
170,250,0,634,2
171,120,386,627,1
172,120,330,649,1
173,30,337,421,1
174,160,449,711,2
175,30,460,550,1
176,90,409,593,2
177,120,519,788,1
178,250,845,402,1
179,90,448,537,2
180,60,0,780,2
181,60,402,525,1
182,200,499,337,1
183,60,418,330,1
184,160,595,426,2
185,30,380,313,1
186,90,546,407,2
187,160,470,387,2
188,30,473,482,2
189,30,419,617,1
190,250,559,398,2
191,90,447,309,1
192,120,485,748,2
193,60,0,756,1
194,90,439,731,2
195,60,389,577,1
196,200,379,638,1
197,250,786,582,2
198,120,502,549,2
199,60,0,536,1
200,30,553,629,1
201,200,0,639,2
202,160,789,453,1
203,30,513,375,2
204,90,447,493,1
205,250,0,678,1
206,60,0,685,1
207,120,544,698,2
208,120,701,435,1
209,250,509,546,2
210,200,467,669,1
211,200,0,502,2
212,250,465,540,1
213,120,362,447,1
214,200,409,483,1
215,250,441,772,1
216,90,440,602,2
217,60,0,544,2
218,60,0,468,1
219,120,490,718,2
220,30,534,308,1
221,30,369,379,1
222,160,487,344,2
223,120,418,487,2
224,160,355,397,1
225,200,505,572,2
226,200,0,472,2
227,250,0,701,1
228,120,758,515,1
229,120,415,305,1
230,30,528,694,1
231,200,0,630,2
232,90,357,370,1
233,90,441,431,2
234,90,428,536,2
235,90,340,568,1
236,30,346,451,1
237,30,297,797,1
