trial,dist,RT,interstim,NumberofLED
1,160,519,643,1
2,200,417,607,2
3,200,444,469,2
4,90,401,548,2
5,200,415,377,1
6,90,410,308,2
7,60,338,676,2
8,120,327,405,1
9,200,415,527,1
10,120,422,551,1
11,160,428,377,1
12,30,351,596,1
13,200,281,623,1
14,60,364,321,1
15,200,329,629,1
16,60,430,601,1
17,120,367,472,2
18,250,379,539,2
19,250,426,565,1
20,160,457,563,2
21,200,268,796,1
22,250,421,555,1
23,90,323,480,1
24,30,327,366,1
25,90,314,687,1
26,200,441,710,2
27,120,497,498,1
28,30,615,774,2
29,60,346,750,1
30,120,432,421,1
31,160,489,424,1
32,250,549,508,1
33,250,375,589,1
34,90,395,614,1
35,30,320,563,1
36,60,344,410,1
37,30,477,673,2
38,250,470,774,1
39,250,571,755,1
40,160,510,486,1
41,30,398,660,2
42,160,365,550,1
43,250,456,650,2
44,250,400,364,1
45,160,266,769,1
46,60,419,351,2
47,60,366,418,1
48,160,533,503,1
49,30,373,557,1
50,160,447,480,2
51,120,415,652,1
52,30,298,448,1
53,60,462,329,2
54,30,330,454,1
55,90,329,759,1
56,250,354,618,1
57,250,396,659,1
58,200,408,347,1
59,30,403,699,2
60,160,475,371,1
61,250,378,733,1
62,120,514,365,1
63,60,496,669,1
64,30,471,638,2
65,60,502,772,1
66,90,437,637,2
67,120,0,712,1
68,250,524,450,2
69,200,398,354,1
70,90,412,307,1
71,90,402,671,2
72,90,398,521,1
73,90,0,319,2
74,160,323,749,1
75,120,332,479,1
76,120,349,718,1
77,90,388,361,1
78,90,351,587,1
79,120,446,601,2
80,30,448,635,1
81,120,315,555,1
82,30,436,780,1
83,120,492,468,2
84,60,388,347,1
85,200,472,583,1
86,120,476,512,2
87,200,389,695,1
88,90,360,591,1
89,120,455,500,2
90,60,309,575,1
91,90,411,364,1
92,120,398,604,2
93,200,579,596,1
94,60,406,628,2
95,160,380,404,1
96,60,404,773,2
97,200,345,479,1
98,60,390,431,1
99,200,414,715,2
100,160,369,630,1
101,60,389,733,2
102,160,524,386,2
103,160,383,583,1
104,90,371,358,1
105,120,770,437,1
106,30,427,429,2
107,200,317,623,1
108,250,349,463,1
109,90,372,760,1
110,250,496,445,1
111,250,506,709,1
112,200,528,396,1
113,120,412,471,1
114,120,545,745,2
115,120,385,785,1
116,90,451,334,1
117,160,378,347,1
118,120,423,474,1
119,250,429,772,1
120,250,596,327,2
121,60,463,403,2
122,90,419,671,2
123,250,351,710,1
124,90,319,781,1
125,250,383,350,1
126,120,341,792,1
127,160,670,409,2
128,250,328,683,1
129,250,495,678,2
130,200,0,302,2
131,90,471,520,1
132,120,501,530,1
133,200,365,610,1
134,60,423,414,1
135,90,0,736,2
136,250,395,596,1
137,250,552,484,1
138,160,505,517,1
139,200,442,701,2
140,30,413,692,2
141,30,436,622,2
142,30,389,728,1
143,60,424,486,1
144,90,400,574,2
145,250,0,670,2
146,90,441,326,2
147,90,383,637,1
148,90,423,710,1
149,200,411,687,1
150,160,461,507,1
151,60,404,626,2
152,160,359,641,1
153,90,333,601,1
154,60,429,418,2
155,60,438,367,2
156,90,349,629,2
157,200,524,542,1
158,120,553,418,1
159,120,344,692,1
160,160,452,501,2
161,250,381,526,1
162,160,458,629,1
163,120,542,741,1
164,120,398,725,2
165,60,496,333,2
166,30,384,731,2
167,120,656,658,1
168,250,755,482,1
169,160,497,601,1
170,120,538,568,2
171,90,684,510,1
172,120,412,584,2
173,200,525,404,2
174,250,346,595,2
175,120,448,396,1
176,250,439,649,1
177,250,325,453,1
178,200,284,604,1
179,60,445,318,1
180,30,347,699,1
181,90,447,365,1
182,30,373,426,1
183,30,340,424,1
184,30,373,736,1
185,60,418,446,2
186,60,358,520,1
187,90,391,756,2
188,160,539,359,1
189,60,408,473,2
190,250,552,533,1
191,90,371,559,2
192,200,601,345,2
193,30,403,778,2
194,90,394,699,1
195,90,337,685,1
196,90,404,365,2
197,90,431,364,1
198,30,413,443,1
199,250,425,745,2
200,200,466,594,1
201,160,357,563,1
202,120,360,703,1
203,30,401,572,1
204,160,474,328,2
205,200,434,366,1
