trial, dist, RT, interstim, NumberofLED
1,90,0,748,2
2,120,302,448,2
3,120,206,629,1
4,120,270,625,1
5,120,354,493,1
6,60,0,677,2
7,120,385,541,2
8,90,382,470,2
9,30,308,516,1
10,120,440,751,1
11,120,367,774,1
12,160,388,454,1
13,90,307,485,1
14,120,340,401,2
15,60,357,407,2
16,90,206,629,1
17,200,234,794,1
18,90,514,305,1
19,250,539,350,1
20,160,0,592,1
21,160,268,715,1
22,30,325,680,1
23,30,393,547,2
24,250,177,714,1
25,60,235,624,1
26,200,616,391,1
27,120,280,609,1
28,30,327,390,1
29,60,291,594,1
30,200,449,364,2
31,30,196,656,1
32,90,522,562,2
33,200,257,447,1
34,250,0,392,2
35,60,346,393,2
36,30,282,457,1
37,200,0,407,2
38,60,328,475,1
39,30,351,457,1
40,90,422,530,1
41,30,484,766,2
42,250,313,788,1
43,120,246,787,1
44,200,310,559,1
45,60,315,705,1
46,90,306,431,1
47,160,344,660,1
48,120,181,763,1
49,90,374,592,2
50,250,366,342,1
51,120,429,703,2
52,200,222,792,1
53,160,416,370,2
54,120,407,580,2
55,60,366,572,2
56,60,500,470,2
57,60,306,591,1
58,60,419,346,1
59,200,397,712,1
60,160,420,462,2
61,250,335,626,1
62,60,327,392,1
63,200,328,639,1
64,60,410,527,1
65,30,362,474,1
66,160,478,618,2
67,30,489,515,2
68,250,395,405,1
69,60,315,470,2
70,30,330,626,2
71,250,234,643,1
72,120,406,554,1
73,120,323,675,1
74,250,401,624,1
75,250,0,522,2
76,60,332,774,2
77,90,267,760,1
78,90,344,576,1
79,60,289,544,1
80,120,320,478,1
81,30,206,697,1
82,120,277,606,1
83,60,381,403,2
84,90,354,489,1
85,120,352,586,2
86,60,400,365,1
87,60,297,719,1
88,120,428,452,2
89,200,488,318,2
90,90,278,387,1
91,90,278,561,1
92,160,348,356,1
93,250,362,552,1
94,90,372,790,2
95,30,390,773,2
96,200,420,724,2
97,90,400,326,1
98,120,288,425,1
99,160,396,332,2
100,90,436,490,1
101,30,384,411,1
102,160,430,553,2
103,30,347,545,2
104,250,0,534,2
105,120,353,469,2
106,250,0,302,2
107,200,578,617,1
108,120,473,342,2
109,90,0,766,2
110,200,347,724,1
111,200,508,456,1
112,250,368,427,1
113,200,363,693,2
114,120,220,509,1
115,30,417,434,1
116,30,374,346,1
117,160,445,637,2
118,200,453,714,2
119,30,0,377,2
120,90,451,367,1
121,60,345,584,1
122,120,360,346,1
123,200,364,327,1
124,120,425,415,2
125,250,0,659,2
126,160,403,560,1
127,200,407,446,2
128,30,349,758,1
129,250,312,487,1
130,160,232,553,1
131,250,351,751,1
132,30,308,670,2
133,60,361,663,1
134,90,305,436,1
135,120,351,501,1
136,90,394,546,1
137,30,552,614,1
138,90,349,788,1
139,200,336,450,1
140,200,342,566,1
141,160,290,635,1
142,160,256,617,1
143,30,346,368,1
144,160,387,796,1
145,30,382,598,1
146,160,333,436,2
147,200,0,555,1
148,200,389,338,2
149,60,391,660,2
150,200,278,491,1
151,30,337,653,1
152,90,360,478,1
153,160,398,796,2
154,200,0,316,1
155,120,283,429,1
156,250,569,505,1
157,120,418,458,1
158,60,371,497,1
159,120,394,594,2
160,90,0,626,2
161,60,442,317,1
162,160,382,417,1
163,90,362,673,1
164,250,279,508,1
165,160,392,663,2
166,90,0,736,2
167,120,401,305,2
168,120,395,340,2
169,120,347,698,1
170,200,497,302,1
171,120,431,733,2
172,120,775,364,2
173,90,0,491,1
174,60,297,500,1
175,250,314,762,1
176,200,427,669,2
177,200,445,526,1
178,160,436,523,1
179,30,382,475,1
180,160,410,645,1
181,60,371,404,1
182,90,407,579,2
183,160,0,347,2
184,200,308,379,1
185,60,370,704,2
186,200,327,628,1
187,90,538,634,1
188,120,0,347,2
189,200,369,596,2
190,60,428,732,2
191,160,391,741,1
192,120,375,733,1
193,90,468,700,1
194,30,461,509,2
195,30,354,681,1
196,250,374,546,1
197,60,483,383,1
198,60,376,333,1
199,90,308,559,1
200,60,323,564,1
201,160,364,621,1
202,160,421,771,2
203,200,566,699,1
204,160,415,369,1
205,160,372,337,1
206,250,0,763,2
207,30,394,558,1
208,30,333,653,2
209,250,457,687,1
210,30,0,490,1
211,90,0,739,2
212,250,0,587,2
213,160,353,698,1
214,200,243,668,1
215,250,445,417,1
216,200,274,606,1
217,60,354,425,1
218,30,369,676,1
219,120,292,539,1
220,120,350,486,1
221,120,334,359,1
222,160,0,596,2
223,60,448,771,1
