trial,dist,RT,interstim,NumberofLED
1,250,0,302,1
2,160,0,769,1
3,200,0,638,1
4,200,410,554,2
5,30,316,672,1
6,90,316,470,1
7,250,0,431,1
8,200,408,579,2
9,120,425,538,1
10,60,297,564,2
11,120,360,645,2
12,160,399,716,1
13,160,447,326,2
14,90,287,479,1
15,160,326,632,2
16,250,204,754,1
17,90,287,749,1
18,30,373,310,1
19,90,324,362,2
20,250,335,594,1
21,90,301,689,2
22,250,303,483,1
23,30,0,428,1
24,120,338,322,1
25,160,328,328,1
26,60,285,691,2
27,90,319,779,2
28,60,327,528,1
29,200,341,617,1
30,120,353,584,1
31,90,0,638,1
32,60,326,646,2
33,120,337,303,1
34,60,407,364,1
35,200,398,336,2
36,120,275,648,1
37,120,365,502,2
38,250,0,630,2
39,120,372,483,1
40,30,334,760,2
41,160,320,515,2
42,250,321,515,1
43,30,397,704,2
44,250,361,698,1
45,200,0,426,1
46,200,423,303,1
47,200,395,584,2
48,160,350,470,1
49,200,374,363,1
50,250,409,348,1
51,60,366,679,1
52,250,305,615,2
53,30,0,798,1
54,90,325,513,1
55,60,278,568,2
56,200,342,428,1
57,160,360,421,2
58,160,228,757,1
59,90,281,615,1
60,160,298,530,2
61,30,306,712,1
62,90,383,581,1
63,120,349,742,2
64,90,321,616,1
65,160,0,553,1
66,250,360,758,1
67,250,280,551,2
68,200,481,333,2
69,90,385,696,2
70,90,346,432,2
71,60,318,624,1
72,60,320,553,1
73,200,409,765,1
74,120,349,521,1
75,30,394,704,1
76,120,497,618,1
77,160,370,597,1
78,90,360,539,1
79,120,396,799,1
80,250,425,306,1
81,120,401,300,1
82,90,361,399,2
83,200,413,641,1
84,60,446,727,1
85,90,364,382,1
86,160,379,347,1
87,90,343,653,1
88,60,291,557,2
89,30,352,676,1
90,250,367,606,1
91,250,412,713,1
92,160,332,475,2
93,200,340,475,1
94,30,370,324,1
95,120,341,766,1
96,120,391,414,1
97,90,314,751,2
98,30,353,774,2
99,160,298,612,1
100,250,382,577,1
101,30,306,362,2
102,60,327,708,1
103,120,357,331,2
104,60,391,313,1
105,250,364,491,1
106,90,390,639,1
107,120,275,719,2
108,120,364,324,1
109,30,328,576,1
110,160,352,473,1
111,90,298,601,2
112,30,323,360,1
113,60,325,615,1
114,120,309,436,2
115,30,361,324,1
116,120,368,660,1
117,200,467,582,1
118,30,341,319,2
119,60,311,584,1
120,200,432,706,2
121,90,328,578,2
122,90,292,542,1
123,160,412,648,1
124,160,314,483,2
125,30,407,723,2
126,200,0,490,1
127,90,381,436,2
128,120,316,662,1
129,250,406,798,1
130,90,324,748,2
131,30,319,644,1
132,200,426,442,1
133,200,387,705,1
134,200,493,663,1
135,200,401,576,1
136,90,322,718,1
137,200,479,432,1
138,60,328,726,2
139,60,323,761,1
140,120,325,539,1
141,90,368,691,1
142,30,348,506,1
143,200,463,458,1
144,120,362,677,2
145,250,349,696,1
146,30,456,564,1
147,160,336,505,1
148,120,348,643,2
149,250,342,477,1
150,200,0,486,2
151,90,387,742,1
152,250,409,602,2
153,200,425,588,1
154,160,325,711,2
155,30,307,742,1
156,200,450,744,2
157,200,878,636,1
158,120,445,345,1
159,90,320,433,1
160,30,0,323,1
161,200,379,645,1
162,30,358,337,1
163,200,0,456,2
164,30,343,748,1
165,90,352,647,1
166,30,374,404,1
167,120,440,329,2
168,250,367,555,2
169,30,426,764,2
170,250,416,703,2
171,250,362,732,1
172,200,442,767,1
173,90,414,421,1
174,250,439,582,2
175,30,415,753,2
176,60,364,671,1
177,160,404,458,1
178,60,325,662,1
179,120,321,582,2
180,200,0,767,2
181,90,431,513,1
182,250,0,660,1
183,60,269,771,1
184,160,382,600,1
185,120,397,486,1
186,30,350,443,1
187,120,342,739,1
188,250,424,574,1
189,60,0,368,2
190,250,565,409,1
191,200,511,730,1
192,120,626,539,1
193,60,0,341,1
194,200,422,697,1
195,250,378,602,2
196,120,387,693,1
197,250,509,302,2
198,200,417,652,2
199,90,317,744,1
200,30,372,473,2
201,30,343,343,1
202,30,392,782,1
203,30,445,568,1
204,250,467,356,2
205,30,276,670,1
206,160,402,600,2
207,60,355,702,2
208,90,341,787,1
209,200,506,448,1
210,120,299,766,2
211,90,352,749,2
212,200,479,639,2
213,90,353,418,1
214,250,378,657,2
215,30,368,474,1
216,120,365,570,2
217,250,413,377,2
218,200,352,417,1
