trial,dist,RT,interstim,NumberofLED
1,250,0,495,2
2,200,771,758,1
3,200,418,594,1
4,30,502,492,1
5,60,545,327,2
6,60,402,614,2
7,120,338,591,2
8,200,333,557,2
9,60,359,625,1
10,60,370,433,1
11,60,0,695,2
12,160,370,449,2
13,120,494,494,1
14,120,472,305,1
15,160,298,739,2
16,90,0,656,2
17,30,410,702,1
18,30,402,304,2
19,250,0,694,2
20,30,558,545,1
21,90,410,614,2
22,250,607,606,2
23,60,422,451,1
24,160,674,389,1
25,250,532,693,1
26,90,400,524,2
27,200,437,354,2
28,60,438,434,1
29,120,360,747,1
30,60,402,327,1
31,90,379,597,1
32,160,338,411,2
33,250,540,734,2
34,160,376,367,2
35,90,434,465,1
36,30,334,790,2
37,200,395,355,1
38,160,336,399,2
39,200,307,495,2
40,200,500,508,1
41,30,387,755,2
42,160,373,507,2
43,250,429,738,2
44,90,404,736,1
45,160,365,491,2
46,160,525,482,1
47,160,313,413,2
48,120,338,786,1
49,160,492,394,1
50,60,391,316,1
51,60,342,354,2
52,160,408,443,2
53,90,427,509,1
54,120,361,387,2
55,250,613,402,1
56,160,361,481,1
57,160,298,702,1
58,30,371,510,1
59,30,332,771,2
60,30,430,371,1
61,60,419,327,2
62,90,363,689,2
63,60,405,393,2
64,60,540,343,1
65,60,386,318,2
66,200,465,371,1
67,200,407,372,2
68,200,406,685,2
69,60,318,651,2
70,120,356,399,1
71,250,446,571,1
72,90,335,490,1
73,60,559,604,1
74,90,417,396,1
75,120,0,709,2
76,90,550,679,2
77,200,380,688,2
78,60,428,626,2
79,200,410,544,2
80,200,353,438,2
81,250,543,767,1
82,30,295,540,2
83,160,323,612,2
84,30,445,396,1
85,30,299,721,2
86,160,296,645,2
87,30,455,622,2
88,250,0,782,2
89,120,389,747,1
90,160,416,346,1
91,30,528,543,1
92,30,427,719,1
93,30,462,327,1
94,120,360,674,1
95,30,432,359,2
96,160,377,680,1
97,90,363,373,2
98,200,536,645,1
99,120,457,312,2
100,250,472,402,2
101,200,365,309,2
102,30,340,489,1
103,160,342,461,2
104,60,339,415,2
105,200,454,434,1
106,60,298,520,2
107,200,465,488,1
108,120,340,587,1
109,30,0,356,1
110,160,381,423,2
111,200,521,512,1
112,250,554,556,2
113,200,758,361,2
114,60,461,636,1
115,30,388,516,1
116,200,349,569,2
117,200,336,694,1
118,30,329,352,2
119,250,464,377,1
120,90,517,621,1
121,90,381,662,1
122,30,362,546,1
123,200,372,401,2
124,250,0,327,1
125,250,428,622,2
126,60,0,531,1
127,200,429,612,1
128,200,397,706,1
129,250,0,495,1
130,60,496,545,2
131,30,0,758,2
132,250,460,766,2
133,60,530,425,1
134,250,368,589,2
135,30,349,474,2
136,60,380,486,2
137,30,377,392,2
138,120,426,402,1
139,30,321,662,2
140,90,634,418,1
141,250,493,447,1
142,160,357,735,2
143,90,325,360,2
144,160,0,321,1
145,250,703,491,1
146,30,491,790,1
147,60,373,685,2
148,200,354,507,2
149,90,447,469,1
150,200,538,791,2
151,60,439,699,1
152,120,399,656,2
153,250,410,775,2
154,90,542,359,1
155,90,450,332,1
156,160,371,764,2
157,160,515,722,1
158,200,333,475,2
159,90,415,765,1
160,120,396,597,1
161,160,390,406,1
162,250,505,555,2
163,90,502,437,1
164,160,497,388,1
165,160,397,574,2
166,120,492,537,1
167,60,390,778,1
168,200,429,439,1
169,30,336,683,2
170,120,331,658,1
171,250,428,574,2
172,250,332,417,2
173,120,367,474,1
174,200,346,755,1
175,120,335,311,1
176,90,391,303,2
177,60,345,508,1
178,160,362,485,2
179,30,317,448,2
180,60,451,551,1
181,90,356,732,2
182,200,369,638,1
183,90,401,382,1
184,30,370,363,1
185,160,338,657,2
186,120,366,777,2
187,250,525,502,2
188,60,377,316,2
189,60,0,350,1
190,90,342,584,2
191,30,424,559,1
192,160,396,621,1
193,90,415,307,2
194,120,366,443,2
195,250,513,314,1
196,90,493,328,1
197,200,429,385,2
198,30,429,624,1
199,60,334,476,2
200,30,649,373,1
201,250,516,396,1
202,200,405,350,2
203,30,456,736,2
204,160,437,567,1
205,200,413,370,2
206,30,346,530,2
207,90,460,306,2
208,160,400,613,2
209,90,389,348,1
210,250,491,426,2
211,160,0,337,1
212,200,364,355,2
213,120,344,546,1
214,60,451,681,2
