trial,dist,RT,interstim,NumberofLED
1,160,0,643,1
2,200,0,607,2
3,200,379,469,2
4,90,384,548,2
5,200,524,377,1
6,90,385,308,2
7,60,440,676,2
8,120,435,405,1
9,200,683,527,1
10,120,0,551,1
11,160,537,377,1
12,30,293,596,1
13,200,312,623,1
14,60,372,321,1
15,200,274,629,1
16,60,387,601,1
17,120,404,472,2
18,250,422,539,2
19,250,0,565,1
20,160,348,563,2
21,200,287,796,1
22,250,518,555,1
23,90,363,480,1
24,30,365,366,1
25,90,315,687,1
26,200,387,710,2
27,120,680,498,1
28,30,604,774,2
29,60,0,750,1
30,120,0,421,1
31,160,0,424,1
32,250,332,508,1
33,250,299,589,1
34,90,330,614,1
35,30,414,563,1
36,60,299,410,1
37,30,410,673,2
38,250,514,774,1
39,250,362,755,1
40,160,417,486,1
41,30,404,660,2
42,160,314,550,1
43,250,0,650,2
44,250,0,364,1
45,160,279,769,1
46,60,504,351,2
47,60,437,418,1
48,160,312,503,1
49,30,338,557,1
50,160,433,480,2
51,120,382,652,1
52,30,287,448,1
53,60,432,329,2
54,30,411,454,1
55,90,284,759,1
56,250,273,618,1
57,250,347,659,1
58,200,335,347,1
59,30,396,699,2
60,160,311,371,1
61,250,303,733,1
62,120,374,365,1
63,60,383,669,1
64,30,471,638,2
65,60,321,772,1
66,90,480,637,2
67,120,371,712,1
68,250,458,450,2
69,200,399,354,1
70,90,604,307,1
71,90,373,671,2
72,90,325,521,1
73,90,459,319,2
74,160,291,749,1
75,120,349,479,1
76,120,285,718,1
77,90,423,361,1
78,90,337,587,1
79,120,396,601,2
80,30,337,635,1
81,120,321,555,1
82,30,316,780,1
83,120,418,468,2
84,60,341,347,1
85,200,337,583,1
86,120,501,512,2
87,200,424,695,1
88,90,359,591,1
89,120,439,500,2
90,60,265,575,1
91,90,328,364,1
92,120,441,604,2
93,200,457,596,1
94,60,498,628,2
95,160,326,404,1
96,60,358,773,2
97,200,392,479,1
98,60,362,431,1
99,200,467,715,2
100,160,392,630,1
101,60,348,733,2
102,160,462,386,2
103,160,281,583,1
104,90,378,358,1
105,120,474,437,1
106,30,436,429,2
107,200,478,623,1
108,250,359,463,1
109,90,342,760,1
110,250,472,445,1
111,250,375,709,1
112,200,386,396,1
113,120,349,471,1
114,120,463,745,2
115,120,300,785,1
116,90,375,334,1
117,160,424,347,1
118,120,445,474,1
119,250,342,772,1
120,250,551,327,2
121,60,404,403,2
122,90,365,671,2
123,250,369,710,1
124,90,258,781,1
125,250,398,350,1
126,120,249,792,1
127,160,391,409,2
128,250,324,683,1
129,250,430,678,2
130,200,385,302,2
131,90,400,520,1
132,120,437,530,1
133,200,269,610,1
134,60,329,414,1
135,90,0,736,2
136,250,352,596,1
137,250,373,484,1
138,160,380,517,1
139,200,410,701,2
140,30,407,692,2
141,30,328,622,2
142,30,368,728,1
143,60,429,486,1
144,90,400,574,2
145,250,358,670,2
146,90,431,326,2
147,90,486,637,1
148,90,359,710,1
149,200,442,687,1
150,160,390,507,1
151,60,392,626,2
152,160,364,641,1
153,90,381,601,1
154,60,421,418,2
155,60,365,367,2
156,90,323,629,2
157,200,423,542,1
158,120,559,418,1
159,120,344,692,1
160,160,367,501,2
161,250,427,526,1
162,160,476,629,1
163,120,354,741,1
164,120,448,725,2
165,60,398,333,2
166,30,344,731,2
167,120,303,658,1
168,250,583,482,1
169,160,350,601,1
170,120,483,568,2
171,90,361,510,1
172,120,328,584,2
173,200,400,404,2
174,250,393,595,2
175,120,469,396,1
176,250,529,649,1
177,250,513,453,1
178,200,438,604,1
179,60,0,318,1
180,30,301,699,1
181,90,300,365,1
182,30,305,426,1
183,30,318,424,1
184,30,348,736,1
185,60,461,446,2
186,60,358,520,1
187,90,0,756,2
188,160,350,359,1
189,60,419,473,2
190,250,392,533,1
191,90,568,559,2
192,200,373,345,2
193,30,346,778,2
194,90,417,699,1
195,90,374,685,1
196,90,532,365,2
197,90,377,364,1
198,30,310,443,1
199,250,477,745,2
200,200,444,594,1
201,160,397,563,1
202,120,380,703,1
203,30,350,572,1
204,160,460,328,2
205,200,458,366,1
206,200,489,390,2
207,30,380,442,2
208,90,320,543,2
209,120,572,658,1
210,30,356,508,1
211,160,299,500,2
212,250,288,709,1
