trial, dist, RT, interstim, NumberofLED
1,120,0,599,2
2,30,311,783,1
3,30,0,321,1
4,200,365,544,2
5,160,238,431,1
6,250,314,597,1
7,160,374,455,2
8,250,222,522,1
9,160,246,478,1
10,250,0,540,2
11,60,224,477,1
12,90,280,732,1
13,30,189,720,1
14,200,376,595,1
15,250,517,391,2
16,30,0,414,2
17,60,233,730,1
18,160,405,675,2
19,30,266,468,1
20,120,318,602,1
21,60,301,543,2
22,30,228,453,1
23,60,0,502,2
24,120,376,330,1
25,60,322,473,1
26,160,314,634,2
27,90,319,369,1
28,30,356,379,2
29,250,274,357,1
30,200,447,771,2
31,120,254,634,1
32,250,299,476,1
33,160,315,376,2
34,120,340,325,1
35,90,367,590,1
36,250,331,539,1
37,90,195,790,1
38,200,602,740,1
39,250,324,600,1
40,30,252,384,1
41,90,0,593,2
42,250,353,673,1
43,200,402,525,1
44,160,401,619,1
45,250,514,778,2
46,200,492,478,1
47,120,336,551,1
48,30,484,475,2
49,200,435,309,1
50,30,356,677,1
51,90,332,340,1
52,60,432,706,1
53,90,364,494,2
54,160,337,433,1
55,120,318,322,1
56,160,374,694,1
57,160,381,411,1
58,60,333,470,1
59,60,383,304,1
60,120,383,496,2
61,90,414,372,2
62,250,302,648,1
63,160,382,402,1
64,160,548,469,2
65,250,309,417,1
66,160,342,321,1
67,250,442,703,1
68,250,388,575,1
69,120,337,361,2
70,30,386,336,1
71,200,388,360,2
72,90,349,319,1
73,60,393,401,2
74,250,334,749,1
75,30,397,498,1
76,200,0,642,1
77,90,0,515,2
78,250,440,538,1
79,60,367,700,2
80,200,0,314,1
81,160,317,466,1
82,250,361,446,1
83,90,256,700,1
84,90,397,760,2
85,60,359,665,2
86,250,376,363,1
87,30,0,796,1
88,120,497,409,2
89,120,256,550,1
90,90,265,361,1
91,60,273,724,1
92,90,212,711,1
93,160,343,751,1
94,160,387,534,1
95,30,407,689,2
96,250,594,439,2
97,160,506,768,1
98,120,338,669,1
99,200,623,497,1
100,250,389,324,1
101,200,487,775,2
102,200,343,579,1
103,90,374,749,1
104,160,332,395,1
105,30,422,658,2
106,30,270,675,1
107,160,323,559,1
108,60,400,771,2
109,250,378,373,1
110,90,323,433,1
111,30,338,627,1
112,90,270,740,1
113,250,385,709,1
114,30,302,527,1
115,250,0,337,2
116,120,405,709,1
117,30,389,333,1
118,60,294,504,2
119,60,283,428,1
120,250,334,566,1
121,60,365,525,2
122,30,317,580,1
123,200,432,392,2
124,60,383,676,2
125,250,498,305,1
126,90,333,582,1
127,120,331,766,1
128,90,422,772,2
129,250,373,484,1
130,200,511,779,1
131,160,402,402,1
132,160,266,438,2
133,200,580,350,1
134,160,305,712,1
135,60,450,346,1
136,60,273,687,1
137,90,315,569,1
138,200,536,638,2
139,200,337,522,1
140,120,343,366,1
141,30,351,427,2
142,30,300,308,1
143,250,446,476,1
144,90,410,363,2
145,250,325,663,1
146,120,257,518,2
147,90,182,756,1
148,120,341,592,1
149,90,240,604,1
150,60,270,773,1
151,60,353,411,2
152,160,335,356,1
153,250,0,605,2
154,160,460,793,1
155,60,515,353,1
156,60,313,557,2
157,200,378,707,2
158,60,466,466,1
159,250,509,624,1
160,200,464,603,1
161,60,369,791,1
162,60,388,561,2
163,160,353,540,2
164,90,324,723,1
165,90,333,711,1
166,120,474,667,2
167,30,326,507,1
168,200,414,469,1
169,160,391,690,1
170,250,516,634,2
171,120,356,627,1
172,120,333,649,1
173,30,339,421,1
174,160,390,711,2
175,30,374,550,1
176,90,418,593,2
177,120,369,788,1
178,250,478,402,1
179,90,476,537,2
180,60,384,780,2
181,60,240,525,1
182,200,0,337,1
183,60,357,330,1
184,160,492,426,2
185,30,352,313,1
186,90,371,407,2
187,160,462,387,2
188,30,377,482,2
189,30,394,617,1
190,250,0,398,2
191,90,340,309,1
192,120,316,748,2
193,60,310,756,1
194,90,395,731,2
195,60,256,577,1
196,200,336,638,1
197,250,0,582,2
198,120,389,549,2
199,60,407,536,1
200,30,568,629,1
201,200,429,639,2
202,160,446,453,1
203,30,406,375,2
204,90,412,493,1
205,250,419,678,1
206,60,349,685,1
207,120,594,698,2
208,120,451,435,1
209,250,467,546,2
210,200,430,669,1
211,200,354,502,2
212,250,0,540,1
213,120,356,447,1
214,200,347,483,1
215,250,265,772,1
216,90,419,602,2
