trial,dist,RT,interstim,NumberofLED
1,90,620,362,1
2,30,511,617,2
3,120,384,717,1
4,30,410,749,1
5,60,907,683,1
6,160,503,536,1
7,90,388,574,1
8,120,491,514,1
9,200,506,342,1
10,120,543,660,2
11,30,385,674,1
12,160,327,488,1
13,90,339,796,1
14,30,408,396,1
15,250,458,546,2
16,90,338,619,1
17,60,493,535,2
18,90,462,464,2
19,200,457,539,2
20,30,554,690,1
21,120,422,365,1
22,30,471,728,2
23,30,419,354,1
24,200,465,580,2
25,200,449,747,1
26,120,398,372,1
27,200,369,312,2
28,30,0,578,2
29,250,628,334,2
30,90,427,378,1
31,90,347,532,1
32,160,414,679,1
33,250,534,732,1
34,60,435,533,1
35,250,488,635,1
36,30,515,526,1
37,90,444,701,1
38,250,615,790,2
39,120,437,433,2
40,160,507,681,2
41,60,679,786,2
42,120,432,657,1
43,200,517,719,1
44,250,621,483,1
45,90,494,722,2
46,120,395,426,2
47,250,398,355,1
48,160,561,631,1
49,120,478,530,2
50,60,420,553,2
51,60,414,500,2
52,160,461,783,1
53,60,610,301,1
54,30,447,538,2
55,200,482,551,2
56,90,442,364,2
57,90,438,529,1
58,90,363,340,1
59,120,466,753,2
60,250,638,780,1
61,120,391,396,1
62,90,382,676,2
63,90,426,484,2
64,90,567,573,1
65,30,603,797,2
66,250,549,539,2
67,90,346,726,1
68,250,494,701,2
69,120,525,560,1
70,160,417,545,1
71,120,389,602,1
72,60,497,680,1
73,90,361,497,1
74,90,348,374,1
75,30,430,365,1
76,60,332,505,1
77,30,506,372,1
78,120,463,402,1
79,160,476,407,1
80,160,561,361,1
81,60,416,410,2
82,250,586,471,2
83,120,343,461,1
84,160,472,357,2
85,250,393,408,2
86,60,410,416,1
87,160,424,781,2
88,250,471,708,1
89,30,660,382,1
90,250,460,407,2
91,30,405,401,1
92,250,503,721,1
93,90,342,554,1
94,120,386,443,1
95,250,517,381,1
96,120,311,339,1
97,90,311,788,1
98,30,618,683,2
99,250,524,726,2
100,90,418,487,2
101,200,517,370,2
102,250,343,491,1
103,250,511,785,2
104,250,683,330,1
105,120,439,436,2
106,60,440,687,1
107,90,339,726,1
108,120,0,669,2
109,120,479,559,1
110,160,537,324,1
111,200,434,634,1
112,30,525,388,1
113,160,414,554,1
114,30,416,756,1
115,60,0,697,2
116,90,361,528,1
117,120,516,707,2
118,250,577,648,2
119,200,0,791,1
120,90,422,390,1
121,60,401,416,1
122,250,972,485,2
123,120,425,674,1
124,200,591,727,1
125,60,585,508,1
126,250,460,331,1
127,250,563,447,1
128,90,488,670,1
129,250,591,387,2
130,250,403,459,1
131,30,544,670,1
132,160,574,522,1
133,60,455,723,1
134,250,449,584,1
135,200,529,705,1
136,90,553,304,2
137,90,346,547,1
138,250,494,730,1
139,30,454,442,1
140,30,558,308,1
141,160,444,623,1
142,160,541,512,1
143,250,634,417,2
144,60,666,655,2
145,30,501,508,1
146,200,605,484,2
147,200,590,695,1
148,90,448,610,2
149,60,761,676,1
150,200,776,381,1
151,90,500,739,1
152,30,844,370,2
153,90,527,422,2
154,60,526,373,2
155,250,490,749,1
156,60,494,612,2
157,200,509,786,1
158,160,577,384,1
159,90,427,577,1
160,120,451,578,2
161,120,481,795,1
162,200,456,775,1
163,60,406,711,2
164,160,654,434,1
165,60,663,309,1
166,160,472,470,1
167,200,416,554,1
168,200,463,425,1
169,160,490,360,1
170,160,486,392,2
171,120,514,402,2
172,90,350,417,1
173,30,427,532,1
174,90,396,507,1
175,30,409,499,1
176,120,0,405,2
177,90,472,573,2
178,160,416,671,2
179,250,583,743,2
180,250,437,577,1
181,30,398,319,1
182,120,488,417,1
183,60,483,772,1
184,200,651,353,1
185,250,474,509,1
186,30,505,460,1
187,90,421,755,1
188,30,668,716,2
189,200,620,632,1
190,120,509,735,1
191,60,439,377,1
192,60,511,422,1
193,60,406,768,1
194,120,705,517,2
195,60,354,404,1
196,90,394,776,1
197,90,399,511,2
198,120,466,683,1
199,200,480,742,1
200,90,526,411,1
201,250,756,515,1
202,60,500,635,1
203,30,496,510,1
204,60,612,447,1
205,120,472,790,1
