trial, dist, RT, interstim, NumberofLED
1,160,0,757,1
2,90,379,776,1
3,200,377,557,2
4,30,424,672,2
5,120,408,714,1
6,200,404,667,1
7,30,371,356,1
8,160,406,596,1
9,120,327,353,1
10,90,294,460,1
11,90,270,777,1
12,60,307,630,2
13,200,0,434,1
14,200,303,463,1
15,160,298,768,1
16,60,266,591,1
17,250,0,360,2
18,200,285,698,1
19,160,388,754,1
20,30,302,308,1
21,160,377,593,2
22,30,243,603,1
23,90,532,787,2
24,250,0,732,2
25,200,339,457,2
26,120,368,691,2
27,160,333,554,2
28,30,278,462,1
29,250,402,490,1
30,30,303,435,2
31,200,328,653,1
32,60,288,625,2
33,30,302,521,1
34,160,389,755,2
35,250,0,658,2
36,60,339,479,1
37,160,418,467,1
38,160,278,442,1
39,120,387,378,1
40,250,409,784,1
41,60,494,533,2
42,60,344,566,1
43,30,0,729,1
44,30,266,641,1
45,160,277,433,1
46,90,326,493,1
47,120,361,613,1
48,200,344,371,1
49,60,339,495,2
50,30,234,691,1
51,60,369,449,1
52,250,326,439,1
53,200,314,760,1
54,200,622,412,1
55,250,221,738,1
56,30,343,512,1
57,30,305,597,1
58,250,0,341,2
59,250,0,740,2
60,200,369,689,2
61,160,452,356,1
62,160,463,649,2
63,250,399,514,1
64,60,0,684,2
65,60,286,595,2
66,160,371,558,2
67,250,0,423,2
68,250,519,393,1
69,250,0,591,2
70,30,388,579,1
71,250,0,483,2
72,30,443,647,2
73,90,502,641,1
74,250,336,499,1
75,160,465,469,1
76,120,366,449,2
77,30,393,473,1
78,120,340,413,2
79,250,580,464,1
80,60,421,518,1
81,120,380,621,1
82,120,355,645,2
83,160,386,526,1
84,120,466,362,2
85,30,421,552,1
86,160,372,563,2
87,30,557,757,1
88,250,534,494,1
89,200,499,711,1
90,200,343,448,2
91,30,332,704,1
92,160,421,469,1
93,60,382,598,1
94,90,356,781,1
95,120,526,512,1
96,250,438,388,1
97,200,362,441,2
98,200,340,542,1
99,30,372,462,1
100,200,391,480,2
101,250,377,545,1
102,250,384,471,1
103,160,478,676,1
104,120,391,654,1
105,160,365,404,1
106,90,298,667,1
107,90,300,732,1
108,250,364,790,1
109,120,394,553,2
110,200,345,692,1
111,30,358,387,1
112,250,370,357,1
113,90,356,479,1
114,60,329,639,1
115,160,371,548,1
116,160,365,516,1
117,120,310,770,1
118,160,0,408,2
119,200,597,686,1
120,250,276,350,1
121,60,327,382,1
122,200,447,310,1
123,160,290,557,1
124,120,357,593,2
125,60,507,552,2
126,160,350,563,1
127,200,334,410,1
128,60,255,742,1
129,250,440,431,1
130,30,436,561,2
131,120,400,792,1
132,30,393,382,2
133,200,413,670,1
134,250,387,415,1
135,160,390,440,1
136,30,427,707,2
137,90,446,417,1
138,60,265,459,1
139,30,0,693,2
140,90,539,787,2
141,30,250,610,1
142,30,276,623,1
143,60,291,682,1
144,200,493,433,1
145,250,330,580,1
146,90,506,374,2
147,90,314,630,1
148,250,352,482,1
149,250,295,556,1
150,120,327,397,1
151,120,337,712,2
152,120,414,533,1
153,30,218,727,1
154,160,391,475,1
155,160,335,540,1
156,160,339,736,1
157,30,464,370,2
158,250,522,305,1
159,90,274,675,1
160,160,445,453,2
161,90,327,504,1
162,200,337,487,1
163,90,347,779,1
164,60,336,798,1
165,200,0,479,2
166,120,356,465,1
167,250,405,407,1
168,30,285,567,1
169,250,368,410,1
170,90,355,511,1
171,90,339,326,1
172,60,259,490,1
173,160,327,445,1
174,30,356,749,2
175,160,413,486,1
176,160,323,385,1
177,120,339,500,2
178,200,352,605,1
179,30,339,586,1
180,90,332,631,1
181,90,753,780,2
182,60,325,617,1
183,120,430,349,2
184,250,609,357,1
185,250,420,751,1
186,120,349,705,1
187,90,379,377,2
188,60,319,728,1
189,60,349,509,1
190,60,345,536,1
191,250,0,695,2
192,120,430,534,2
193,250,351,699,1
194,200,351,707,1
195,120,468,408,1
196,200,301,595,1
197,120,362,345,1
198,120,373,793,2
199,60,0,781,2
200,250,0,441,2
201,250,394,457,1
202,30,360,714,1
203,90,358,736,1
204,90,428,759,2
205,120,653,319,1
206,250,414,677,1
207,250,449,381,1
208,160,324,391,1
209,90,451,505,1
210,60,416,335,2
211,60,332,324,1
212,250,0,630,2
213,60,358,568,1
214,120,422,774,1
215,250,395,652,1
216,30,316,649,2
217,200,375,667,1
218,30,538,525,1
219,120,432,321,1
