trial,dist,RT,interstim,NumberofLED
1,200,464,451,1
2,30,362,434,1
3,60,362,446,1
4,120,320,488,1
5,30,303,734,1
6,200,383,403,1
7,200,448,370,1
8,60,332,674,1
9,250,369,576,1
10,200,473,422,1
11,200,397,442,2
12,250,0,585,1
13,200,0,591,1
14,30,313,432,1
15,200,472,501,2
16,60,301,469,1
17,250,419,313,2
18,200,344,440,1
19,60,380,597,1
20,250,494,584,1
21,200,424,361,2
22,250,355,357,1
23,30,292,473,1
24,30,320,353,1
25,160,363,479,2
26,90,383,448,2
27,160,358,372,2
28,60,347,539,1
29,60,441,354,2
30,120,352,677,2
31,30,515,307,1
32,160,402,379,1
33,160,384,521,1
34,160,330,431,1
35,120,299,639,1
36,160,324,566,1
37,30,318,472,1
38,120,392,365,1
39,200,389,340,1
40,90,297,406,1
41,90,327,335,2
42,250,328,630,1
43,200,431,613,1
44,30,353,638,2
45,30,367,353,2
46,60,297,609,1
47,250,384,693,1
48,30,324,758,2
49,90,411,646,2
50,160,507,513,1
51,60,393,542,2
52,160,370,701,2
53,120,307,674,2
54,30,314,513,2
55,30,484,318,1
56,90,277,704,2
57,60,378,454,1
58,120,362,486,1
59,30,350,523,1
60,250,401,496,2
61,160,346,466,1
62,160,358,325,1
63,120,369,479,1
64,200,394,674,1
65,200,447,610,1
66,30,404,555,1
67,30,338,363,1
68,250,382,310,1
69,30,379,658,2
70,60,311,575,1
71,90,347,407,2
72,90,354,788,1
73,30,382,686,1
74,160,374,396,1
75,30,317,581,2
76,200,0,603,2
77,160,307,342,2
78,200,423,577,1
79,120,449,643,1
80,120,350,470,2
81,30,340,678,1
82,250,0,559,1
83,160,374,344,2
84,60,367,309,1
85,160,419,303,1
86,250,389,349,1
87,120,431,723,1
88,30,421,600,1
89,120,374,797,1
90,250,521,779,1
91,250,404,403,1
92,250,386,473,1
93,250,422,629,2
94,200,471,580,2
95,120,376,497,1
96,90,306,699,1
97,60,337,662,2
98,30,451,530,1
99,160,430,594,1
100,60,305,743,1
101,90,344,498,1
102,30,342,682,2
103,60,392,627,1
104,120,402,452,1
105,60,329,302,1
106,60,272,766,1
107,160,372,424,2
108,200,418,395,2
109,160,452,469,1
110,30,394,764,2
111,250,389,430,2
112,120,391,547,1
113,60,323,599,2
114,200,464,418,2
115,90,323,568,2
116,250,328,797,1
117,90,324,533,1
118,200,0,529,2
119,30,358,533,1
120,90,346,360,2
121,90,396,784,1
122,200,497,455,1
123,160,428,583,1
124,250,0,722,1
125,30,353,577,1
126,30,347,468,1
127,160,389,616,1
128,60,347,648,1
129,250,557,301,1
130,30,306,522,1
131,90,280,640,1
132,60,328,674,1
133,60,326,518,1
134,90,283,534,1
135,30,366,584,2
136,120,393,577,1
137,120,346,477,1
138,200,508,523,2
139,60,355,336,1
140,200,532,739,1
141,250,420,399,1
142,160,368,315,1
143,250,410,350,1
144,200,594,610,2
145,250,472,631,1
146,60,376,482,1
147,60,409,304,2
148,250,373,389,1
149,200,467,533,2
150,90,364,704,2
151,60,295,484,2
152,120,354,371,1
153,120,372,426,1
154,200,422,734,2
155,90,310,318,1
156,120,337,692,1
157,120,348,387,1
158,120,325,523,1
159,250,633,550,1
160,160,339,699,2
161,200,556,671,1
162,120,372,340,1
163,120,317,589,1
164,120,357,386,1
165,200,459,452,1
166,250,395,473,1
167,200,499,627,1
168,160,350,573,2
169,250,330,772,2
170,250,0,371,1
171,250,384,691,2
172,200,577,482,2
173,160,443,491,1
174,120,419,724,1
175,30,362,465,1
176,200,457,747,1
177,200,429,696,1
178,200,440,783,1
179,60,382,520,1
180,90,345,632,1
181,60,345,392,1
182,120,0,549,1
183,160,365,788,1
184,200,484,553,1
185,160,321,524,2
186,120,323,664,2
187,60,331,633,1
188,120,370,439,1
189,250,453,347,1
190,90,384,596,1
191,30,449,309,2
192,120,421,524,1
193,120,348,785,2
194,120,314,475,1
195,200,391,706,1
196,200,503,601,1
197,60,328,603,2
198,120,407,583,1
199,160,337,767,1
200,60,385,408,1
201,250,382,472,1
202,250,416,600,1
203,250,426,392,1
204,90,381,379,2
205,250,355,682,1
206,120,425,325,2
207,200,395,562,1
208,250,370,505,2
