trial,dist,RT,interstim,NumberofLED
1,60,555,355,2
2,60,312,421,1
3,250,391,361,1
4,30,489,458,1
5,60,542,339,2
6,120,399,524,1
7,30,443,467,1
8,160,349,735,1
9,30,410,424,1
10,120,451,784,2
11,200,694,401,2
12,250,526,756,1
13,200,497,325,2
14,30,400,414,1
15,250,312,584,1
16,200,338,403,1
17,160,281,557,1
18,200,0,567,1
19,250,410,363,1
20,160,333,771,1
21,200,385,320,1
22,200,0,508,2
23,90,314,646,1
24,30,524,523,1
25,90,407,728,2
26,30,526,567,1
27,160,291,706,1
28,90,469,495,1
29,200,502,553,2
30,120,316,452,1
31,90,438,425,2
32,30,469,741,2
33,250,570,590,2
34,200,406,663,1
35,60,429,427,2
36,250,510,394,1
37,30,539,445,1
38,160,428,484,2
39,30,452,559,1
40,60,412,616,2
41,90,359,349,2
42,30,397,523,2
43,200,433,771,2
44,160,390,525,1
45,200,381,792,1
46,60,368,738,1
47,90,365,757,2
48,90,327,459,1
49,250,424,514,1
50,160,376,353,1
51,30,462,737,2
52,250,368,651,1
53,30,406,523,1
54,30,0,719,2
55,200,445,671,2
56,30,400,747,1
57,250,592,675,2
58,250,478,629,1
59,120,406,685,2
60,30,547,632,2
61,90,425,656,1
62,90,446,555,1
63,60,380,384,1
64,160,303,442,1
65,30,402,382,1
66,200,422,514,2
67,90,302,615,1
68,200,524,343,1
69,60,414,310,1
70,160,430,356,1
71,250,417,775,1
72,200,431,348,1
73,250,430,796,2
74,60,599,543,2
75,90,313,632,1
76,120,399,369,1
77,90,361,656,1
78,250,460,572,1
79,90,426,767,2
80,200,720,461,1
81,200,391,313,1
82,90,346,772,1
83,60,589,532,1
84,60,479,687,1
85,120,734,766,1
86,160,0,341,2
87,200,346,737,1
88,120,356,781,1
89,30,425,519,2
90,60,360,381,1
91,200,411,496,1
92,200,624,334,2
93,30,359,719,1
94,160,365,556,1
95,120,494,720,2
96,250,0,412,2
97,250,489,577,1
98,30,711,506,2
99,250,503,460,2
100,250,455,373,1
101,90,415,307,1
102,90,738,433,1
103,120,345,796,2
104,120,446,396,1
105,160,635,411,1
106,200,412,758,1
107,60,319,751,1
108,200,411,464,1
109,200,350,397,1
110,30,380,747,1
111,90,853,467,1
112,120,335,799,1
113,120,373,663,1
114,120,431,431,2
115,90,0,386,1
116,200,346,602,1
117,30,0,376,2
118,90,410,483,2
119,200,448,590,2
120,120,347,450,1
121,90,320,401,1
122,250,469,597,1
123,120,377,696,1
124,160,451,619,2
125,30,464,514,1
126,250,544,409,1
127,160,553,396,2
128,60,474,704,1
129,250,426,436,2
130,200,374,632,1
131,90,332,450,1
132,120,341,746,2
133,90,872,472,1
134,250,469,344,2
135,250,495,405,2
136,200,369,641,2
137,160,333,650,1
138,200,698,776,1
139,90,894,330,2
140,160,380,439,1
141,200,728,714,2
142,120,346,432,1
143,60,402,782,1
144,120,421,525,1
145,200,341,685,1
146,160,390,310,2
147,60,349,461,1
148,160,370,552,1
149,90,545,456,2
150,200,0,479,1
151,200,385,663,1
152,250,486,589,2
153,120,349,515,1
154,30,467,642,1
155,90,383,367,1
156,120,370,547,1
157,90,382,736,2
158,120,358,752,1
159,160,389,729,1
160,60,423,695,1
161,160,0,420,1
162,120,340,622,1
163,120,360,410,1
164,120,678,540,2
165,120,429,585,2
166,200,546,344,1
167,90,596,435,1
168,120,285,795,1
169,160,511,534,1
170,30,348,699,1
171,200,450,355,2
172,120,524,328,1
173,120,328,358,1
174,60,327,362,1
175,90,581,323,2
176,160,425,443,1
177,200,368,391,1
178,90,348,446,2
179,60,364,621,1
180,90,334,525,2
181,160,489,729,2
182,60,465,787,1
183,250,521,720,1
184,30,451,388,1
185,90,403,666,1
186,200,495,486,1
187,60,313,498,1
188,90,343,479,1
189,250,565,784,1
190,250,511,701,1
191,250,490,434,1
192,200,0,437,2
193,160,486,362,1
194,120,557,363,2
195,120,399,790,1
196,250,451,469,1
197,160,363,546,1
198,160,558,653,1
199,250,509,528,1
200,120,480,315,1
201,30,451,603,2
202,60,434,622,2
203,200,491,302,2
204,30,465,581,2
205,250,634,340,1
206,60,439,719,1
207,160,420,622,2
208,160,369,633,2
209,250,535,378,1
210,250,664,450,1
