trial,dist,RT,interstim,NumberofLED
1,90,409,548,1
2,120,439,410,1
3,200,553,317,1
4,60,454,396,2
5,90,425,494,2
6,60,448,668,2
7,160,496,627,2
8,120,467,713,1
9,200,640,364,1
10,120,414,506,1
11,120,460,451,1
12,250,781,489,1
13,200,746,346,1
14,90,476,740,2
15,250,636,691,2
16,90,406,658,1
17,120,411,363,2
18,200,547,561,1
19,120,374,342,1
20,250,736,722,1
21,250,609,745,2
22,200,523,484,2
23,90,480,316,1
24,30,434,590,1
25,160,495,740,1
26,60,515,753,1
27,30,662,781,2
28,90,393,401,1
29,90,416,536,1
30,60,400,548,1
31,60,511,384,1
32,90,444,506,1
33,90,457,521,1
34,60,431,519,1
35,250,553,556,1
36,90,430,536,1
37,60,488,798,1
38,90,412,400,1
39,90,442,571,1
40,250,514,717,1
41,250,573,589,2
42,200,803,662,1
43,160,593,305,2
44,30,570,563,1
45,160,533,710,2
46,60,455,417,2
47,60,505,733,1
48,60,384,775,1
49,250,587,545,2
50,30,455,321,1
51,60,481,412,1
52,120,490,332,1
53,60,457,734,1
54,60,486,740,1
55,160,497,505,2
56,250,567,300,2
57,200,549,456,1
58,90,372,382,1
59,60,485,341,1
60,90,361,473,1
61,160,596,771,2
62,60,371,663,1
63,250,572,535,1
64,160,366,669,1
65,160,470,794,1
66,160,466,480,1
67,60,429,583,2
68,200,670,695,1
69,30,475,765,1
70,200,531,323,1
71,120,367,369,1
72,250,561,785,1
73,90,329,635,2
74,30,708,418,1
75,200,472,784,2
76,90,341,577,1
77,120,477,600,1
78,250,620,659,2
79,160,573,659,1
80,200,390,446,1
81,60,350,780,1
82,60,377,413,1
83,60,454,503,2
84,30,415,356,2
85,90,360,605,1
86,160,460,492,1
87,160,454,706,2
88,60,442,653,1
89,90,412,590,2
90,250,562,621,1
91,250,495,326,2
92,60,475,725,2
93,90,363,718,2
94,30,432,406,1
95,30,542,313,1
96,30,463,678,1
97,250,529,346,2
98,200,613,377,1
99,250,413,513,1
100,250,410,551,2
101,250,494,401,1
102,60,360,714,2
103,120,467,426,2
104,120,400,498,1
105,120,420,501,1
106,160,506,639,1
107,90,386,520,1
108,200,382,374,1
109,160,446,677,2
110,60,365,550,2
111,250,679,378,1
112,90,404,642,1
113,30,525,409,2
114,60,351,484,1
115,60,415,431,1
116,60,382,511,1
117,60,386,341,1
118,60,404,516,1
119,90,408,383,1
120,250,559,365,1
121,90,391,485,1
122,200,599,454,2
123,160,534,449,1
124,30,441,463,1
125,250,459,413,1
126,90,417,597,1
127,30,419,572,1
128,160,524,601,1
129,250,389,486,1
130,160,609,429,1
131,90,438,417,1
132,200,491,570,2
133,200,463,692,2
134,30,464,770,1
135,60,555,303,2
136,200,333,762,1
137,30,517,757,2
138,30,480,305,2
139,60,0,584,2
140,120,399,318,1
141,90,378,470,2
142,250,440,661,2
143,200,400,684,1
144,200,460,522,1
145,200,482,480,2
146,160,473,536,2
147,160,344,641,1
148,200,393,416,2
149,200,738,448,1
150,250,538,784,1
151,160,680,473,2
152,160,348,643,1
153,160,374,702,1
154,250,451,790,1
155,160,576,457,2
156,120,326,420,1
157,60,420,322,1
158,200,480,735,1
159,160,0,414,2
160,160,0,322,1
161,120,0,681,1
162,120,417,693,1
163,30,450,391,1
164,60,412,327,2
165,160,397,512,2
166,60,436,477,2
167,60,562,384,1
168,120,394,679,1
169,120,456,453,2
170,160,335,654,1
171,200,428,697,1
172,160,471,478,2
173,160,545,764,1
174,60,444,535,1
175,200,348,528,1
176,200,607,575,1
177,120,463,794,2
178,200,330,622,1
179,250,0,487,1
180,200,501,309,2
181,160,437,448,1
182,30,413,618,1
183,60,606,331,1
184,160,492,504,1
185,120,452,337,2
186,30,414,467,2
187,160,577,614,1
188,160,0,721,2
189,250,530,766,1
190,90,457,523,1
191,30,466,616,1
192,250,443,519,1
193,200,0,328,2
194,90,441,609,1
195,90,395,502,1
196,200,486,604,1
197,160,602,482,2
198,250,718,478,1
199,200,519,760,2
200,120,599,715,1
201,250,610,656,2
202,250,578,543,1
203,160,773,470,1
204,200,456,792,1
205,120,579,540,1
206,160,711,649,2
207,200,619,726,1
