trial,dist,RT,interstim,NumberofLED
1,120,340,785,1
2,90,361,576,1
3,120,373,568,1
4,250,420,338,1
5,160,0,742,1
6,120,456,729,2
7,250,645,508,2
8,250,601,574,2
9,120,720,500,1
10,30,384,386,2
11,160,373,754,2
12,120,407,733,1
13,120,398,417,1
14,250,494,792,2
15,250,396,683,2
16,250,400,600,2
17,120,370,558,1
18,30,334,772,1
19,200,432,771,2
20,90,421,634,1
21,120,514,423,1
22,200,462,709,1
23,120,417,317,1
24,200,387,693,1
25,30,353,319,1
26,90,385,662,1
27,160,382,485,1
28,90,430,702,1
29,90,423,559,1
30,160,401,441,1
31,90,360,486,1
32,200,470,656,2
33,30,423,518,1
34,120,592,311,2
35,60,466,658,2
36,90,405,696,1
37,60,444,387,2
38,60,445,350,2
39,200,489,738,2
40,90,426,420,1
41,30,450,396,2
42,60,378,531,1
43,160,411,611,1
44,200,531,346,1
45,90,412,619,1
46,120,480,616,1
47,160,448,429,1
48,160,424,472,2
49,30,485,677,1
50,250,513,445,2
51,90,474,752,1
52,30,448,755,1
53,90,387,427,1
54,250,612,635,1
55,60,420,629,2
56,60,660,630,1
57,30,545,338,1
58,90,393,512,1
59,200,789,745,1
60,250,767,336,1
61,120,481,747,1
62,200,543,635,2
63,60,427,453,1
64,250,518,565,1
65,120,487,414,2
66,90,320,762,1
67,200,418,560,2
68,200,420,422,1
69,60,366,566,1
70,60,524,761,2
71,200,632,627,2
72,30,399,777,1
73,60,658,392,2
74,160,458,793,2
75,160,460,417,2
76,250,342,714,1
77,160,552,390,1
78,60,362,795,1
79,60,433,452,1
80,200,515,399,1
81,160,452,336,1
82,30,501,388,1
83,30,629,742,2
84,200,394,759,2
85,160,427,362,1
86,60,335,439,1
87,60,370,721,1
88,200,473,707,1
89,200,494,758,1
90,120,0,575,1
91,30,556,649,2
92,160,345,715,2
93,160,448,415,1
94,60,456,350,1
95,30,451,474,1
96,120,319,778,1
97,60,428,679,1
98,60,343,510,1
99,160,600,431,1
100,120,334,535,1
101,30,414,306,1
102,250,620,302,1
103,250,469,390,2
104,60,369,563,1
105,30,374,723,2
106,160,407,627,1
107,200,561,706,1
108,90,438,476,1
109,30,0,344,2
110,250,391,659,1
111,60,682,518,2
112,200,588,494,1
113,90,403,417,2
114,60,477,755,1
115,250,641,571,1
116,90,433,545,1
117,200,512,467,2
118,120,443,372,1
119,160,439,520,1
120,120,502,541,2
121,90,442,447,1
122,250,417,549,2
123,250,594,667,1
124,120,390,412,1
125,200,396,710,2
126,200,379,495,1
127,160,352,538,1
128,120,403,703,1
129,250,441,730,1
130,160,459,749,2
131,250,555,796,1
132,200,602,486,1
133,90,368,319,2
134,250,478,398,1
135,200,483,444,1
136,120,352,792,1
137,250,462,779,2
138,30,362,713,1
139,30,470,664,2
140,250,394,523,1
141,200,400,421,1
142,90,329,457,1
143,200,421,743,2
144,250,635,730,1
145,200,377,635,1
146,120,398,570,2
147,60,0,702,2
148,250,489,751,1
149,200,668,376,1
150,90,407,323,2
151,120,524,645,1
152,60,449,629,2
153,90,495,385,1
154,90,426,710,1
155,200,864,708,2
156,120,471,365,1
157,60,408,743,1
158,90,411,317,1
159,60,712,461,1
160,250,579,347,2
161,60,691,324,1
162,200,860,479,2
163,160,474,573,1
164,250,560,469,1
165,250,805,414,1
166,30,590,321,1
167,120,447,337,1
168,120,473,723,1
169,120,713,783,2
170,250,728,543,1
171,200,597,422,2
172,200,782,710,2
173,120,658,300,2
174,120,587,592,1
175,160,548,432,1
176,160,488,763,1
177,160,473,509,1
178,30,518,500,1
179,90,458,781,1
180,30,497,659,1
181,200,551,654,2
182,90,356,685,1
183,60,488,389,2
184,160,410,577,1
185,160,429,494,2
186,90,428,414,1
187,200,400,746,1
188,120,428,487,2
189,60,450,751,2
190,200,591,686,1
191,90,401,548,1
192,90,391,345,1
193,200,602,316,1
194,30,542,323,1
195,90,385,675,2
196,60,419,466,1
197,30,450,700,1
198,250,699,344,1
199,60,351,554,1
200,60,454,433,2
201,200,523,633,1
202,120,602,361,1
203,160,491,482,2
204,200,458,338,1
