trial,dist,RT,interstim,NumberofLED
1,60,0,355,2
2,60,547,421,1
3,250,631,361,1
4,30,468,458,1
5,60,429,339,2
6,120,430,524,1
7,30,361,467,1
8,160,343,735,1
9,30,422,424,1
10,120,0,784,2
11,200,514,401,2
12,250,438,756,1
13,200,468,325,2
14,30,495,414,1
15,250,379,584,1
16,200,436,403,1
17,160,367,557,1
18,200,517,567,1
19,250,608,363,1
20,160,505,771,1
21,200,495,320,1
22,200,492,508,2
23,90,356,646,1
24,30,467,523,1
25,90,386,728,2
26,30,379,567,1
27,160,348,706,1
28,90,365,495,1
29,200,407,553,2
30,120,406,452,1
31,90,452,425,2
32,30,649,741,2
33,250,404,590,2
34,200,379,663,1
35,60,475,427,2
36,250,460,394,1
37,30,568,445,1
38,160,509,484,2
39,30,350,559,1
40,60,447,616,2
41,90,365,349,2
42,30,592,523,2
43,200,511,771,2
44,160,829,525,1
45,200,470,792,1
46,60,443,738,1
47,90,498,757,2
48,90,421,459,1
49,250,432,514,1
50,160,443,353,1
51,30,393,737,2
52,250,459,651,1
53,30,385,523,1
54,30,477,719,2
55,200,539,671,2
56,30,355,747,1
57,250,450,675,2
58,250,382,629,1
59,120,447,685,2
60,30,437,632,2
61,90,520,656,1
62,90,381,555,1
63,60,461,384,1
64,160,0,442,1
65,30,554,382,1
66,200,408,514,2
67,90,375,615,1
68,200,467,343,1
69,60,420,310,1
70,160,528,356,1
71,250,557,775,1
72,200,397,348,1
73,250,428,796,2
74,60,436,543,2
75,90,396,632,1
76,120,427,369,1
77,90,417,656,1
78,250,873,572,1
79,90,456,767,2
80,200,450,461,1
81,200,467,313,1
82,90,438,772,1
83,60,454,532,1
84,60,464,687,1
85,120,332,766,1
86,160,493,341,2
87,200,410,737,1
88,120,371,781,1
89,30,0,519,2
90,60,369,381,1
91,200,424,496,1
92,200,459,334,2
93,30,387,719,1
94,160,479,556,1
95,120,451,720,2
96,250,584,412,2
97,250,342,577,1
98,30,439,506,2
99,250,448,460,2
100,250,388,373,1
101,90,313,307,1
102,90,369,433,1
103,120,325,796,2
104,120,412,396,1
105,160,474,411,1
106,200,322,758,1
107,60,419,751,1
108,200,429,464,1
109,200,453,397,1
110,30,408,747,1
111,90,393,467,1
112,120,519,799,1
113,120,336,663,1
114,120,673,431,2
115,90,428,386,1
116,200,993,602,1
117,30,775,376,2
118,90,425,483,2
119,200,716,590,2
120,120,538,450,1
121,90,0,401,1
122,250,890,597,1
123,120,481,696,1
124,160,804,619,2
125,30,562,514,1
126,250,996,409,1
127,160,0,396,2
128,60,422,704,1
129,250,674,436,2
130,200,610,632,1
131,90,396,450,1
132,120,460,746,2
133,90,421,472,1
134,250,635,344,2
135,250,616,405,2
136,200,658,641,2
137,160,0,650,1
138,200,429,776,1
139,90,460,330,2
140,160,505,439,1
141,200,528,714,2
142,120,483,432,1
143,60,446,782,1
144,120,418,525,1
145,200,444,685,1
146,160,689,310,2
147,60,470,461,1
148,160,371,552,1
149,90,407,456,2
150,200,442,479,1
151,200,0,663,1
152,250,421,589,2
153,120,417,515,1
154,30,389,642,1
155,90,425,367,1
156,120,429,547,1
157,90,394,736,2
158,120,462,752,1
159,160,399,729,1
160,60,406,695,1
161,160,446,420,1
162,120,445,622,1
163,120,417,410,1
164,120,450,540,2
165,120,350,585,2
166,200,562,344,1
167,90,455,435,1
168,120,486,795,1
169,160,470,534,1
170,30,397,699,1
171,200,519,355,2
172,120,464,328,1
173,120,442,358,1
174,60,306,362,1
175,90,441,323,2
176,160,404,443,1
177,200,463,391,1
178,90,454,446,2
179,60,351,621,1
180,90,446,525,2
181,160,454,729,2
182,60,341,787,1
183,250,481,720,1
184,30,415,388,1
185,90,618,666,1
186,200,0,486,1
187,60,423,498,1
188,90,401,479,1
189,250,421,784,1
190,250,569,701,1
191,250,534,434,1
192,200,515,437,2
193,160,443,362,1
194,120,435,363,2
195,120,375,790,1
196,250,773,469,1
197,160,587,546,1
198,160,509,653,1
199,250,450,528,1
200,120,489,315,1
201,30,552,603,2
202,60,314,622,2
203,200,434,302,2
204,30,557,581,2
205,250,0,340,1
206,60,398,719,1
207,160,614,622,2
208,160,621,633,2
209,250,660,378,1
210,250,568,450,1
