trial,dist,RT,interstim,NumberofLED
1,30,534,425,2
2,30,538,413,2
3,90,427,301,1
4,30,442,725,1
5,200,415,583,1
6,90,307,319,1
7,60,392,779,1
8,60,670,396,1
9,160,401,701,2
10,250,369,535,2
11,30,296,548,1
12,60,340,426,1
13,60,344,586,1
14,90,336,536,1
15,200,479,485,2
16,160,0,706,2
17,250,408,556,1
18,90,0,362,2
19,250,387,602,1
20,250,418,408,2
21,30,413,717,2
22,250,422,307,1
23,60,370,622,2
24,90,364,706,1
25,160,440,784,1
26,200,0,472,1
27,200,590,780,2
28,90,354,641,1
29,30,0,400,1
30,90,400,316,1
31,90,358,511,1
32,90,318,326,1
33,250,335,662,2
34,60,378,515,2
35,90,321,696,1
36,120,391,592,1
37,250,398,650,2
38,60,429,765,2
39,120,335,527,1
40,250,347,312,1
41,200,434,302,2
42,200,334,515,1
43,250,363,578,2
44,120,389,557,2
45,60,366,318,1
46,250,410,360,2
47,250,420,585,1
48,250,447,799,2
49,200,385,704,1
50,120,402,408,1
51,160,364,722,1
52,200,357,547,2
53,160,374,766,1
54,90,557,303,2
55,90,470,360,2
56,250,416,364,1
57,200,410,365,2
58,120,312,746,1
59,60,422,478,2
60,30,348,575,1
61,90,403,418,1
62,200,344,622,1
63,60,389,462,1
64,120,508,466,1
65,160,338,350,2
66,90,328,619,1
67,30,345,317,1
68,200,448,764,1
69,60,420,407,1
70,30,379,451,1
71,250,375,423,1
72,160,0,419,2
73,160,373,700,1
74,200,442,646,2
75,250,350,494,1
76,250,393,524,1
77,30,315,422,1
78,160,378,349,2
79,120,385,729,1
80,200,384,376,1
81,250,346,790,2
82,200,388,656,2
83,120,328,322,1
84,160,386,468,1
85,90,320,670,1
86,60,285,743,1
87,120,320,753,2
88,60,354,355,1
89,60,373,633,1
90,250,382,540,2
91,90,350,696,1
92,250,362,600,2
93,160,391,523,1
94,30,407,615,2
95,200,449,613,2
96,60,421,546,1
97,160,595,475,2
98,250,468,502,1
99,60,412,636,2
100,90,396,564,2
101,120,638,308,1
102,160,492,711,1
103,30,0,555,2
104,250,0,582,1
105,60,321,746,1
106,30,384,389,1
107,120,375,443,2
108,30,0,599,2
109,90,372,450,1
110,90,581,335,1
111,160,360,416,1
112,60,437,751,2
113,160,365,762,1
114,250,372,460,2
115,160,409,701,1
116,90,447,512,2
117,120,421,785,2
118,60,348,594,1
119,200,550,307,1
120,90,417,359,2
121,90,454,355,1
122,30,330,498,1
123,60,476,372,1
124,200,388,473,1
125,120,355,318,1
126,30,377,470,2
127,200,368,754,1
128,30,435,705,1
129,250,365,642,1
130,250,365,662,1
131,160,422,604,2
132,60,323,506,1
133,60,325,625,1
134,250,423,790,2
135,30,444,366,1
136,30,362,490,2
137,90,366,521,1
138,160,388,339,1
139,200,377,496,1
140,120,329,355,1
141,200,351,654,1
142,120,372,407,1
143,200,404,321,1
144,30,0,673,2
145,200,354,588,1
146,200,348,550,1
147,60,356,573,1
148,60,462,706,1
149,250,384,389,1
150,90,306,635,1
151,250,423,681,1
152,200,310,696,1
153,160,399,645,2
154,200,346,427,1
155,200,366,673,1
156,160,402,582,1
157,120,389,729,1
158,160,341,540,1
159,30,325,497,1
160,90,375,396,2
161,30,335,663,1
162,60,435,765,1
163,120,338,600,1
164,30,458,464,2
165,30,498,403,2
166,160,0,514,1
167,90,346,680,1
168,160,381,367,1
169,200,428,432,1
170,90,337,502,1
171,250,496,788,2
172,60,344,446,1
173,120,396,416,1
174,30,362,485,1
175,250,303,567,2
176,120,377,623,1
177,30,362,626,1
178,120,460,392,2
179,60,412,608,1
180,200,378,538,1
181,120,500,657,1
182,30,409,389,1
183,160,433,551,1
184,160,397,552,2
185,30,354,485,1
186,30,349,705,1
187,120,369,750,2
188,60,451,324,1
189,120,416,317,1
190,60,303,716,1
191,120,369,673,1
192,60,415,529,2
193,120,368,761,2
194,30,404,403,1
195,160,428,552,2
196,160,677,325,1
197,60,398,392,1
198,90,366,315,1
199,160,322,502,1
200,200,502,344,1
201,120,309,426,1
202,250,356,736,1
203,250,323,769,2
204,90,686,324,1
205,200,603,605,1
206,160,375,448,1
207,250,371,464,2
208,60,496,373,1
209,60,277,613,1
210,250,397,438,1
